"","x"
"1",41308.8948105764
"2",46514.2306732901
"3",62132.5686637425
"4",39145.0825956941
"5",36695.5554449183
"6",58624.0021388779
"7",43611.7824185962
"8",56799.1678121807
"9",42418.912545207
"10",53995.5750167732
"11",49520.6213012284
"12",44261.7018461731
"13",42481.2450216333
"14",46161.335280178
"15",50344.4019914866
"16",42960.610616296
"17",47304.0033880539
"18",52186.3876043492
"19",49770.824910757
"20",51609.7558501621
"21",46912.9843568844
"22",55120.1901928754
"23",49325.1724935605
"24",49865.9362727314
"25",55298.6646680198
"26",54668.7969615751
"27",63383.3932673045
"28",51401.0012788986
"29",41656.9095641331
"30",48736.9541363028
"31",41307.7264681875
"32",44734.3044358878
"33",63584.5720839491
"34",46261.2425787252
"35",41999.1590620068
"36",58118.5101874782
"37",39763.1441552521
"38",53375.6661400225
"39",52745.2597430756
"40",48993.1680158275
"41",37288.2392100091
"42",48464.6457655265
"43",38794.9822255577
"44",41697.2386994461
"45",55088.5993645469
"46",57952.6166144358
"47",48583.2632967275
"48",46043.8425216567
"49",46325.820769918
"50",47078.2513072811
"51",45898.7194085956
"52",40287.5478609677
"53",51440.8301705233
"54",53587.4634761282
"55",43741.9857718778
"56",39936.7434249179
"57",37326.3294941643
"58",51501.7428350934
"59",44110.4131243208
"60",44914.3447836866
"61",45721.7515165254
"62",47625.6526693141
"63",55183.0381756478
"64",39324.4560818528
"65",50608.0283820667
"66",41667.3616014548
"67",45886.8516055459
"68",52842.02809858
"69",49625.759999386
"70",40963.5362713004
"71",52218.662287488
"72",55369.5294500235
"73",43359.4105914824
"74",60686.0803423616
"75",45586.543623334
"76",52742.863019994
"77",37356.9397371626
"78",43337.6376813092
"79",51541.4478546646
"80",62146.8175424645
"81",42686.0310218327
"82",60441.8625614276
"83",40684.0241705486
"84",50955.7964177842
"85",45134.4583372979
"86",42297.085036823
"87",42338.5602932061
"88",41413.9056126823
"89",52435.1094991067
"90",54081.167559477
"91",48455.8348242564
"92",45161.5907230513
"93",52352.4513598878
"94",45141.5727840329
"95",48010.7644088508
"96",40488.0258828758
"97",41991.3914855009
"98",44816.6775922625
"99",47852.0560039809
"100",44826.5204009814
"101",43555.0976403626
"102",44749.4288800357
"103",41503.670363267
"104",50820.874842453
"105",52511.9805798585
"106",43113.0421531932
"107",60720.2388120188
"108",54221.3352295758
"109",55925.0128965122
"110",52891.4428505536
"111",45702.9033386513
"112",59290.7191069821
"113",55682.3172861337
"114",48652.8299555588
"115",59505.5777793581
"116",51206.2978599629
"117",42274.8120424613
"118",55771.5506717629
"119",40887.6147500361
"120",58384.9382871569
"121",61054.9439636963
"122",41116.2517963051
"123",42778.9177442552
"124",54878.3129709624
"125",45663.2106581584
"126",46154.4889767896
"127",48209.9844413775
"128",32527.231230746
"129",48353.9721364582
"130",48190.3771346732
"131",61361.1004168238
"132",66907.8949145224
"133",61936.1315731963
"134",37637.5013034389
"135",33593.8280446647
"136",62636.5285966974
"137",50474.5343583108
"138",55704.2780866412
"139",51743.204659812
"140",50152.9669965328
"141",48997.8696252082
"142",59064.0832747126
"143",43681.7101809901
"144",47021.8725473778
"145",53638.6201130675
"146",52042.4055499792
"147",56233.8234394568
"148",46859.2650142047
"149",46909.3199977216
"150",51969.6679664621
"151",38767.2293374632
"152",45108.3450843836
"153",59205.8403058075
"154",47082.951835764
"155",47421.4543578526
"156",50681.0435379988
"157",53479.333303488
"158",43482.0946867453
"159",48334.5956429395
"160",37476.0189770862
"161",50149.4477754318
"162",48608.7707848685
"163",38862.9900977069
"164",47297.1126558088
"165",48266.6888314672
"166",59317.3321249144
"167",43141.8390507753
"168",39520.287676313
"169",43451.4410668847
"170",50217.3856827949
"171",52278.7576777938
"172",46887.2439959187
"173",47879.3063029774
"174",41207.9719696252
"175",56640.4178342627
"176",45847.4993734622
"177",47186.0754123738
"178",47125.93314977
"179",51952.0773876497
"180",50532.6108810024
"181",55866.4515556984
"182",53065.6864773401
"183",47848.7518938306
"184",48183.1680852415
"185",37575.5224173924
"186",48597.0296488714
"187",46392.0540048232
"188",53461.7421181024
"189",42390.9447528259
