"","x"
"1",2538.93283628592
"2",2534.26935106783
"3",2925.14101255311
"4",2264.34876876056
"5",2142.00786714758
"6",2285.27800331744
"7",2576.63644089977
"8",2945.75223484295
"9",2688.89624790712
"10",2605.20417028863
"11",2346.46667700485
"12",2251.3301848529
"13",2202.56398002711
"14",2420.94521572809
"15",2830.96507140031
"16",2851.74154029743
"17",2763.79403760374
"18",3084.02381009537
"19",2866.624430376
"20",2882.24547963989
"21",2180.21938895658
"22",3554.16699956336
"23",2487.18518317011
"24",2940.97566020898
"25",3197.1793854866
"26",2794.40098828664
"27",2885.16622282701
"28",2743.92762108541
"29",2482.07652973536
"30",2689.82325060542
"31",2485.49164453489
"32",2291.26599141995
"33",2014.804433925
"34",2497.20947318605
"35",2771.39903071069
"36",2610.83345107413
"37",2396.29147522769
"38",2647.16579454368
"39",2613.21994634248
"40",2189.22647862795
"41",2860.28308269577
"42",2497.00441130428
"43",2747.18445172488
"44",2562.8698998815
"45",2851.58810628455
"46",2783.85227820265
"47",2502.87745691312
"48",2639.5665507279
"49",2485.0127312057
"50",2863.28848752372
"51",2933.93336663233
"52",2708.40778184431
"53",2408.32238131643
"54",2565.49247830348
"55",2458.82273874008
"56",2519.48101777111
"57",2504.06656583209
"58",2267.0937912776
"59",2567.37292566072
"60",2772.42980256484
"61",3310.46472335694
"62",2366.79464809151
"63",3211.90973446689
"64",3118.35435926988
"65",2633.4353273025
"66",2536.60006641245
"67",2934.94156248602
"68",3074.44909553904
"69",3611.72968923259
"70",2094.96095690607
"71",2764.24789252859
"72",2778.94375918227
"73",2531.03226138016
"74",2798.84649215127
"75",2745.87440357882
"76",2521.98379672277
"77",2794.09597883278
"78",2779.69322793643
"79",2619.80325059297
"80",3089.98475629396
"81",2593.77920032272
"82",3370.81995833415
"83",2796.50590003547
"84",3025.6561220571
"85",2563.30213092141
"86",2541.01790969428
"87",2839.51104979655
"88",2636.53619363272
"89",2937.56382453705
"90",2785.61661491147
"91",2772.38872354467
"92",2742.54128622071
"93",2938.75998291887
"94",3209.25738330232
"95",2979.48174711054
"96",2902.43100293839
"97",2928.81563660478
"98",2733.79563538366
"99",2876.30761135479
"100",2594.48352070519
"101",3090.44619291746
"102",2919.23370175527
"103",2592.67480438506
"104",2750.17953185696
"105",2633.89761239102
"106",2361.00516020129
"107",3104.52273531849
"108",2607.64869920797
"109",2910.37131025552
"110",2655.20249659738
"111",2638.16561157784
"112",3359.21702055975
"113",3259.84617846733
"114",1888.10806947407
"115",3255.14097059591
"116",2241.67632018301
"117",2664.7080196925
"118",2757.77503840375
"119",2632.89947673054
"120",2640.37517410774
"121",2405.17430728579
"122",2880.78000757857
"123",2945.31816624084
"124",2623.7111292547
"125",2782.23182722656
"126",2561.5193647288
"127",2495.5864208337
"128",2751.61156486392
"129",2927.55867870651
"130",3063.98392271837
"131",3106.98732986037
"132",3123.96442591522
"133",2852.32666422657
"134",3267.38756256494
"135",2395.91564329044
"136",2815.29838240113
"137",2907.43521123712
"138",2424.07212674681
"139",2457.03647835866
"140",2810.53068358597
"141",2667.15644644429
"142",2942.04546663432
"143",2360.96550593542
"144",2672.33951808899
"145",2390.49359096511
"146",2579.51691126949
"147",3324.6877375648
"148",3063.76598669973
"149",2516.85609596314
"150",2797.23333488376
"151",2908.18187017523
"152",3052.23034637894
"153",2989.49599177115
"154",2401.8867680964
"155",2727.4445430337
"156",2973.26688599494
"157",2950.90176338736
"158",2692.40510596632
"159",2746.54669783587
"160",2654.89505117624
"161",2846.08666050696
"162",2454.65766050106
"163",2473.8761984128
"164",2433.45922702824
"165",2860.0699375627
"166",2784.44692144697
"167",3402.98283741008
"168",2672.55255988602
"169",3099.7885489394
"170",3123.90948405015
"171",3454.21277097636
"172",3046.29677447936
"173",3569.15527560568
"174",2684.25107279555
"175",3009.4553649258
"176",3021.41103188068
"177",2663.00353393959
"178",2637.88944193484
"179",2783.45031323985
"180",3136.3092300869
"181",2986.53212881653
"182",3130.75318574599
"183",3551.76457363029
"184",2773.00207285306
"185",2804.36535947666
"186",2923.46871837058
"187",2729.33113048932
"188",2198.42615408896
"189",2740.08892283186
"190",3084.39924878236
"191",2909.71546449527
"192",2281.4479067963
"193",3254.35297102206
"194",3290.69879030479
"195",3500.7604180943
"196",3111.78031938072
"197",3568.44611477197
"198",2699.7610132283
"199",2658.77669826901
"200",3066.7805604414
"201",2960.30963301239
"202",2803.80575939081
"203",2644.4221276696
"204",3035.3751600644
"205",3196.96184358336
"206",2706.50476426508
"207",3115.91589714925
"208",2965.9472196862
"209",2953.85718817581
"210",3112.16007007937
"211",2905.47711089217
"212",2829.45536427789
"213",2393.78771226396
"214",2757.39809172458
"215",2726.1593363742
"216",2060.17975861714
"217",2752.9669846206
"218",2258.20860410481
"219",2149.65844693875
"220",2216.63767601406
"221",2765.30603269017
"222",2629.96062731608
"223",2675.05557901297
"224",2445.6733769073
"225",2978.722514933
"226",2634.6281007352
"227",2528.50601994707
"228",2259.45510156747
"229",2819.1468936983
"230",2763.50016433516
"231",2568.01108711011
"232",2844.93963265724
"233",2569.58714715228
"234",2516.20062936746
"235",2220.92035223352
"236",2705.61390666778
"237",3169.57140519216
"238",2721.17099054975
"239",3187.08976653518
"240",3071.43367693824
"241",2874.0459601839
"242",3103.30724225287
"243",2920.84395651706
"244",2799.59219276686
"245",2821.12384931985
"246",2568.25520806922
"247",2760.61745325104
"248",2658.56594637932
"249",3415.93254713859
"250",2950.45015403588
"251",2704.30897413952
"252",2753.30160999006
"253",3018.95380230493
"254",2967.47970102134
"255",3201.65501076477
"256",2708.0427567121
"257",3222.3238322869
"258",2400.14711140643
"259",2749.79818725577
"260",2605.56289982995
"261",2937.86606531091
"262",2984.33012849854
"263",2618.87371452457
"264",2566.21582259459
"265",2592.9454401631
"266",2600.96827080237
"267",2423.27208747927
"268",2795.80839941647
"269",2795.80839941647
"270",2930.50626522384
"271",3317.44409665563
"272",3145.00901131014
"273",2789.44054788336
"274",3281.01596951694
"275",2169.99100187659
"276",2724.38145463737
"277",3168.1971542178
"278",3920.30710926588
"279",2844.62579406264
"280",2651.42484145891
"281",2951.96102584011
"282",3171.12197190476
"283",2469.14959179223
"284",2263.06527305312
"285",2375.17497039591
"286",3803.61851303911
"287",2259.99549222636
"288",2904.63338062603
"289",2732.94805989776
"290",2995.16094798329
"291",3140.92001217801
"292",2643.24824899334
"293",2855.14285710933
"294",2296.40324294454
"295",2449.77013119038
"296",2451.88227968019
"297",2138.93338687472
"298",2502.54338882102
"299",2525.27741721288
"300",3271.65867401478
"301",2713.223087892
"302",2708.52701229085
"303",2613.9585568839
"304",3073.84045911173
"305",2098.22617329257
"306",3076.39979754744
"307",2485.77237313943
"308",2797.2953631325
"309",2420.37573093927
"310",2572.84555313086
"311",2516.90932335546
"312",2326.85700927607
"313",2745.2778453105
"314",2409.93885181333
"315",2614.89796483556
"316",2399.47341903107
"317",2960.6549825892
"318",2407.14110059901
"319",2744.43187212478
"320",2782.01123548528
"321",3823.10695370467
"322",2569.86353415454
"323",2525.89224123043
"324",2539.18733162454
"325",2745.80568965105
"326",3369.59982895184
"327",3226.30524426392
"328",2701.44037876083
"329",2286.38536420668
"330",2614.84011444699
"331",3680.94295186461
"332",2934.22232040906
"333",2559.51577985924
"334",2709.7839255666
"335",3198.06188906443
"336",3176.76751298003
"337",2737.28190831059
"338",2775.48860421356
"339",2978.71552467284
"340",3001.62378485176
"341",2848.95619646017
"342",2725.75695910844
"343",2680.92881421999
"344",2838.8848769436
"345",3054.14976475322
"346",2694.18761460165
"347",3363.34308340985
"348",3275.18374223222
"349",2461.52941361162
"350",2230.11671224003
"351",2599.55522953466
"352",2619.88125742104
"353",2716.56796795287
"354",2593.68993482007
"355",2865.37503180315
"356",2771.64261073067
"357",2619.24708442471
"358",2619.24708442471
"359",2601.33276419951
"360",2711.87024715221
"361",2711.87024715221
"362",3212.26688102773
"363",2814.15144791474
"364",2785.49139219324
"365",2549.76691795526
"366",2851.52862072033
"367",2831.95326418422
"368",2822.28559420502
"369",2484.9656699683
"370",2724.19235329419
"371",2610.60209560362
"372",2237.42986309265
"373",2494.40889172607
"374",2285.64283331147
"375",2825.41710058688
"376",2660.71604454514
"377",2642.8392518191
"378",3055.25103511992
"379",2937.86718207705
"380",2749.00570292056
"381",3796.24211169445
"382",2650.32871453707
"383",3358.82851499597
"384",2820.80553903819
"385",2636.92590222451
"386",3327.79921348992
"387",2622.99064791036
"388",3059.20764124258
"389",2650.86930305684
"390",2405.03160779769
"391",2886.85074997904
"392",2950.75160851892
"393",2597.1233090325
"394",2933.93123262698
"395",3464.54120845514
"396",3353.1881274815
"397",3008.09575126645
"398",2737.10562460859
"399",3421.9161393877
"400",2631.88683506831
"401",2742.77145120971
"402",2721.37877480467
"403",2938.83906441642
"404",2098.03911597588
"405",1884.56594695329
"406",3002.34341323896
"407",3623.93974575555
"408",2389.62192056923
"409",3100.45498560574
"410",3030.80794786092
"411",2061.79395742644
"412",2051.32675047275
"413",2545.67762522186
"414",2546.72300059621
"415",2421.58653936396
"416",3376.77482427355
"417",2434.30172433733
"418",2551.24286416522
"419",3054.20342399295
"420",2806.73631932388
"421",3208.64918167029
"422",2837.48577919233
"423",2477.86573225805
"424",2416.5710305484
"425",2558.74312604892
"426",2976.60675895391
"427",3141.69141267568
"428",2899.35371166037
"429",2645.78360492181
"430",3677.05424070059
"431",3063.06440048699
"432",2466.27616870966
"433",3070.12217802341
"434",2944.56315195991
"435",2719.77285615163
"436",2363.00540154113
"437",2930.03096527894
"438",2940.49410541973
"439",2811.21306671024
"440",3288.26394225559
"441",2199.66185246943
"442",2736.21872225612
"443",2378.20499220465
"444",2257.8935259059
"445",2897.60906476058
"446",2562.23148810855
"447",3151.06682060557
"448",2789.5975350346
"449",2194.36299268
"450",2766.49715407416
"451",2716.68311781621
"452",2369.80396950816
"453",2799.91507261229
"454",2838.67391688514
"455",2570.96182660343
"456",3005.37103241277
"457",2475.80070478627
"458",2679.51428082815
"459",2833.90841238908
"460",2763.94871200835
"461",2896.02699434875
