"","x"
"1",3644.24787822758
"2",2528.20648263623
"3",3021.73075964047
"4",2801.07449836623
"5",3239.47341255214
"6",3858.24601395978
"7",2889.01107201902
"8",2674.46237283989
"9",2532.99664810329
"10",3192.65016833096
"11",3045.10141696605
"12",2839.58578351198
"13",2471.04692596052
"14",3603.40513916253
"15",3066.40145069666
"16",3092.55954844618
"17",2104.44230057855
"18",2617.80372625249
"19",3328.65876159455
"20",2875.1588584253
"21",2740.99828270853
"22",2978.55732863302
"23",2633.7564101929
"24",2545.65316745543
"25",2593.11083859451
"26",3420.61401245411
"27",2668.2914025344
"28",3470.33062292274
"29",2920.85537003531
"30",2464.49389167426
"31",3143.45932052956
"32",2873.97897471197
"33",3231.42832132793
"34",2861.87711023315
"35",3276.83633086088
"36",2656.72482978423
"37",2669.03519100665
"38",3687.02919743117
"39",3431.50191392681
"40",3113.0433437518
"41",3186.43123378716
"42",2114.16040779405
"43",3647.45218262853
"44",2856.52637889519
"45",2670.90541982997
"46",2545.57082860234
"47",3254.00128619873
"48",3344.28013763706
"49",3901.12575391043
"50",2158.49413279816
"51",2744.11195878026
"52",4073.36870069783
"53",2858.22942283637
"54",3157.125615048
"55",2267.70058530067
"56",2768.9122661158
"57",3433.11928223074
"58",2839.97418336608
"59",2537.91935519468
"60",2716.35245313245
"61",2774.08156041775
"62",2638.51503475047
"63",3882.9551509822
"64",2381.74278084032
"65",2914.14597826626
"66",2491.41406502629
"67",3780.5035523817
"68",2428.47374759305
"69",3327.42718972481
"70",2784.69269620378
"71",4828.82758722583
"72",3041.40191345834
"73",3149.25696317494
"74",3461.21489782067
"75",3213.66773900268
"76",3787.57107883553
"77",3036.69619661372
"78",2927.70471364004
"79",2567.04212227599
"80",3371.53461450707
"81",3091.15914854215
"82",3012.79055837642
"83",3102.23580722284
"84",2670.20829822371
"85",2580.89756152102
"86",2501.04998308277
"87",3052.73408560842
"88",3258.14752959158
"89",2634.19094453653
"90",3266.27978542861
"91",2335.57971304477
"92",3994.5989726717
"93",2576.16003270123
"94",2744.50034123624
"95",2687.43944562143
"96",2875.18789474105
"97",3924.49075571686
"98",4048.25145565206
"99",3376.01409856737
"100",2989.89902201575
"101",2738.20971022009
"102",3383.78077081009
"103",3129.58203411251
"104",3672.12304561279
"105",2906.05745769454
"106",3603.907026768
"107",3490.40984405645
"108",3484.14992745556
"109",3398.23086667983
"110",3455.97141383407
"111",3571.00512748729
"112",3304.44189511435
"113",3015.35841676662
"114",2374.63966558262
"115",2820.68184469189
"116",2498.0903540472
"117",3703.2733704364
"118",3000.87247719385
"119",2960.20367170411
"120",3207.76327954817
"121",3188.22807742211
"122",2478.164492251
"123",3174.15687032146
"124",2947.37561781733
"125",4077.29752270297
"126",2718.13269496909
"127",3243.93448989587
"128",2416.23978140252
"129",2921.88706495829
"130",2536.68462702412
"131",3285.90205920162
"132",3528.34644519024
"133",2940.5883067624
"134",2685.21728572209
"135",3559.88629592816
"136",3103.55990133082
"137",3827.57279318673
"138",2713.41345022267
"139",2854.0298147114
"140",3466.69001522528
"141",2744.06328396705
"142",2524.95471900597
"143",2794.95472356813
"144",2977.701816607
"145",2490.86839538113
"146",3518.52472496644
"147",2526.24968424072
"148",3137.31861407564
"149",3913.2602874087
"150",3998.29569064409
"151",3049.08694185045
"152",3484.6505059757
"153",3917.06307237366
"154",3370.3663224957
"155",3033.26730266314
"156",3065.96433780986
"157",3178.17935514321
"158",3545.52169626934
"159",2308.63799913943
"160",2429.19366746429
"161",3748.20092447703
"162",3270.34106335657
"163",3757.31725522388
"164",2632.55605148053
"165",2924.73631177583
"166",3383.92691565657
"167",2812.48407106489
"168",2430.63272978187
"169",3345.20314412097
"170",2680.86348706727
"171",2644.0737172489
"172",2741.31207569105
"173",2901.51887571034
"174",4901.25917022601
"175",2204.2979262748
"176",2651.73741197355
"177",2543.44924844794
"178",4397.43255856583
"179",2666.35477801746
"180",2616.80974394951
"181",2858.34704842415
"182",2841.75219797606
"183",3319.51228989153
"184",2859.82468886159
"185",2703.42452372849
"186",3140.84818361066
"187",2966.24743044867
"188",2519.55468356663
"189",3286.39618575385
"190",3003.53447126556
"191",3720.21555949083
"192",3220.7517081606
"193",2633.04726182177
"194",4075.42985849047
"195",3930.96834200391
"196",2825.30522076172
"197",2581.59273308055
"198",2556.83508662349
"199",2378.78055870806
"200",2579.83453100469
"201",3023.52362341781
"202",2734.11755902681
"203",2737.41819140435
"204",3525.93500583456
"205",4219.37287635296
"206",3070.6624070313
"207",2852.60567052614
"208",4483.97424164272
"209",3146.52224196336
"210",3285.77806175912
"211",3459.19328627845
"212",3447.92210907573
"213",3042.50634620178
"214",3968.437373136
"215",2469.38825298665
"216",3731.74983197369
"217",2523.20016599478
"218",2812.33041802967
"219",3538.48087854134
"220",2958.54888854559
"221",2643.73340447009
"222",4151.68186287715
"223",2997.07014361925
"224",2941.99989088238
"225",4245.90888711777
"226",3264.11458609621
"227",3242.19969390142
"228",3848.21453760929
"229",2956.84319461479
"230",2858.39769461181
"231",2707.16294426589
"232",2281.70646454955
"233",3579.90852317491
"234",2128.9359971346
"235",3500.11530176932
"236",2831.1864785544
"237",3051.3315027419
"238",2909.94292609908
"239",3339.74385542387
"240",3488.85125356776
"241",2675.02946298412
"242",3884.98456189406
"243",2799.00452227228
"244",3826.38547718267
"245",3035.04760488263
"246",2862.72482272036
"247",3229.74120021277
"248",3024.46198488406
"249",3738.68159105202
"250",2546.67674515337
"251",4077.87502930698
"252",2715.48719554457
"253",4151.98986656008
"254",3204.79766307428
"255",2789.74937410453
"256",7648.58840848994
"257",2891.70898418956
"258",3455.2076009119
"259",3022.42358169323
"260",3127.0790851479
"261",2952.10811582939
"262",2767.72920569742
"263",2570.8102210988
"264",2214.39207263612
"265",3364.25472484044
"266",3830.08410638802
"267",3659.73881578106
"268",2571.6956042093
"269",2896.67368477931
"270",2589.49234072681
"271",2459.13491661112
"272",2648.52578573685
"273",2654.51508225084
"274",2748.52067660873
"275",3106.41360665312
"276",3583.36865982373
"277",3411.27140243794
"278",2289.69035797435
"279",3026.80243896642
"280",3175.60395512577
"281",2287.80269390544
"282",3181.1747436882
"283",3830.31170270871
"284",2256.82624196072
"285",3526.13887014681
"286",2494.43848595074
"287",2365.59517961275
"288",2547.41352824346
"289",3407.56247036989
"290",2629.96231187771
"291",3610.0978742097
"292",3527.27981680619
"293",2980.64789030209
"294",2739.7287961051
"295",3638.20348902309
"296",3703.85882038348
"297",3015.88975378125
