"","x"
"1",382.58398312594
"2",346.374024566049
"3",352.921357919507
"4",444.521636311141
"5",356.051986585008
"6",357.465990389293
"7",444.221467829652
"8",448.262866585008
"9",452.412627836268
"10",398.542653451966
"11",354.237936934739
"12",413.008940057251
"13",342.139809925065
"14",498.756407196828
"15",525.670980889199
"16",459.586290711347
"17",315.677531076001
"18",341.780008709415
"19",388.634752239163
"20",418.43662850975
"21",420.580400440988
"22",396.380465495801
"23",429.637751032753
"24",373.163692173829
"25",367.151830780801
"26",424.764238124822
"27",452.437555130187
"28",398.214509976531
"29",390.070568883668
"30",316.838048493307
"31",350.228738833729
"32",369.763293122738
"33",363.612173036776
"34",371.653351382526
"35",335.137194431481
"36",345.194073007165
"37",401.181857442261
"38",458.664065984024
"39",430.081752037245
"40",393.066973348508
"41",439.042487626186
"42",391.295508862212
"43",435.130967581375
"44",442.598398044797
"45",532.24213261602
"46",369.160210866036
"47",595.36226791659
"48",446.961062381652
"49",480.612471544618
"50",320.329610680694
"51",354.274479508077
"52",697.086846288855
"53",418.95474647737
"54",391.451641887345
"55",460.715972904245
"56",585.806925065529
"57",356.185058865076
"58",407.886618640393
"59",243.760724877213
"60",328.909497926901
"61",537.820020054765
"62",319.007300831253
"63",389.693154376085
"64",338.126561081882
"65",252.466657137203
"66",349.268643516953
"67",455.813845291257
"68",332.482023262969
"69",411.851213465261
"70",383.495512861049
"71",479.994319503968
"72",364.498748314933
"73",320.150774496521
"74",417.950801548452
"75",431.546069733055
"76",616.15579074099
"77",567.909717040022
"78",398.446469069836
"79",365.029629853581
"80",510.231791774001
"81",400.540969856765
"82",457.216800377404
"83",489.897750836643
"84",391.042104806051
"85",462.893184256059
"86",477.44340178813
"87",555.806397610375
"88",431.67929509329
"89",340.867433642419
"90",398.219208008136
"91",305.868337474786
"92",535.643150454985
"93",253.503148481362
"94",454.708497814039
"95",550.708039835609
"96",468.395989407434
"97",521.127494575418
"98",424.018734149481
"99",561.088685298655
"100",412.59446420086
"101",398.856494640888
"102",615.345785825729
"103",412.639183307896
"104",505.455761622243
"105",443.270584131827
"106",400.12500332682
"107",451.704025865386
"108",435.968111575987
"109",536.533085015382
"110",458.97930209135
"111",525.976378012468
"112",365.846330157913
"113",434.057235882988
"114",304.53872920162
"115",331.676119329418
"116",398.481249924165
"117",333.184247390866
"118",486.606643183888
"119",466.926491063877
"120",341.868222899449
"121",439.591487619805
"122",404.592710287619
"123",363.171765050865
"124",541.695824781523
"125",450.767132504546
"126",302.498572695201
"127",675.698580925078
"128",428.655565126352
"129",344.773379947575
"130",326.746448120231
"131",350.604093776555
"132",461.782705789675
"133",452.441714140559
"134",311.657999648157
"135",367.950495650842
"136",618.183616629088
"137",487.689239052517
"138",458.497333980586
"139",427.116559379856
"140",510.637296710987
"141",394.568134209008
"142",351.777764288986
"143",388.659486142338
"144",362.877026486878
"145",362.224581181678
"146",595.171211097154
"147",301.751188292333
"148",514.742432440001
"149",723.424428972812
"150",488.333922024161
"151",429.531996569567
"152",514.74423660667
"153",695.691321457216
"154",422.76150477814
"155",523.759618736281
"156",423.148613341181
"157",499.48489280472
"158",522.270892994994
"159",302.329611615522
"160",400.275037975294
"161",448.074008973014
"162",477.154459436499
"163",515.749314826306
"164",467.865707912695
"165",379.500479759112
"166",455.952506912822
"167",413.466596085342
"168",418.46811775064
"169",377.416498125478
"170",433.038409611995
"171",356.226594690836
"172",438.522887901702
"173",427.359081520325
"174",459.311500376503
"175",306.356623556141
"176",248.202820929727
"177",396.174456058658
"178",578.14704219027
"179",329.617027969244
"180",324.498113614503
"181",465.209981670413
"182",483.725119621454
"183",452.496487302272
"184",481.496391983978
"185",399.937655182605
"186",412.185895728505
"187",322.239590230192
"188",365.626181065948
"189",333.428503355249
"190",249.643175264779
"191",593.394599526597
"192",573.252829205695
"193",424.465727547142
"194",497.466394263263
"195",399.563616856409
"196",312.877132782975
"197",348.752292942312
"198",379.111756113414
"199",374.354170645885
"200",336.588953523388
"201",375.74398277661
"202",330.775334195136
"203",387.327606568111
"204",415.677073579922
"205",562.501964834607
"206",463.432861131024
"207",421.358649213095
"208",417.40170851714
"209",340.036086835265
"210",449.670167620784
"211",545.098310339103
"212",515.916944434807
"213",354.335394347619
"214",485.138860835857
"215",495.220029714859
"216",611.897471894988
"217",386.275530251768
"218",341.722791935751
"219",450.162440084738
"220",474.345653724259
"221",397.891928119829
"222",497.565044131134
"223",459.459415126728
"224",437.080342791932
"225",399.372000192925
"226",452.5623034732
"227",574.837566956214
"228",452.774213741441
"229",372.12137676171
"230",285.976344326855
"231",413.631570630205
"232",317.099271662153
"233",488.576047864479
"234",329.866300761368
"235",536.257601795602
"236",460.776842352046
"237",521.357071372588
"238",432.555899115219
"239",431.835599613305
"240",402.502232561637
"241",413.709712185095
"242",409.200775260142
"243",357.977214555685
"244",403.556452050287
"245",389.981841207529
"246",454.236638956783
"247",464.747101698354
"248",429.067017673842
"249",471.023147006324
"250",401.657968344649
"251",358.671762343726
"252",398.104057063527
"253",584.600918620179
"254",310.894013235562
"255",448.564832186473
"256",500.741533710698
"257",470.965188104627
"258",407.532133062366
"259",353.66877433758
"260",561.745341818641
"261",376.735775872583
"262",428.429347266147
"263",419.209876635134
"264",340.742245456335
"265",567.056266512199
"266",481.710485381503
"267",477.441135705404
"268",362.943603956433
"269",438.073882566651
"270",259.868397526344
"271",445.725765274738
"272",358.546462936639
"273",349.049026863559
"274",397.686786041167
"275",425.043166748582
"276",484.393360301254
"277",514.907702103211
"278",366.167747031455
"279",374.397929019281
"280",589.043480232544
"281",373.168104484487
"282",376.754201009634
"283",445.11064355714
"284",312.556478106191
"285",415.458773851059
"286",335.632791311973
"287",360.469836298205
"288",476.221251086813
"289",338.793661965706
"290",562.296804089436
"291",516.056995520514
"292",399.285432346752
"293",410.257316656956
"294",320.989302684546
"295",488.372164077092
"296",489.698982646076
"297",381.767368584982
"298",437.945793506417
"299",341.418253343873
"300",572.862478561284
"301",458.758715468978
"302",359.175695665552
"303",394.711238456332
"304",409.651823416928
"305",303.254982431043
"306",468.332429268463
"307",471.980727605383
"308",296.947825735225
"309",545.160765798153
"310",320.94969547668
"311",439.45753121293
"312",442.30748590422
"313",398.89147148496
"314",491.900100532303
"315",512.708650480487
"316",316.758254739627
"317",422.891090779777
"318",470.276625345935
"319",516.597132648247
"320",310.459637541624
"321",477.466525688981
"322",284.725002553667
"323",468.148056843876
"324",452.291598640313
"325",484.781545610672
"326",643.618403263965
"327",437.463017997079
"328",460.70983045069
"329",451.293638473202
"330",606.026249493771
"331",384.671118520809
"332",303.100118652155
"333",503.269318550977
"334",459.852023107701
"335",442.471054012257
"336",428.726697801577
"337",320.881729886686
"338",363.804224854727
"339",339.132079151496
"340",365.922077154206
"341",370.214999833626
"342",433.943545725404
"343",397.065956779964
"344",568.966942536662
"345",291.731360834425
"346",364.772862499829
"347",374.950319573382
"348",398.200215042394
"349",462.243149470682
"350",335.263561757537
"351",371.615327736978
"352",437.236529095335
"353",427.171721763535
"354",465.65733061803
"355",526.569584904295
"356",396.580094436485
"357",406.831224656552
"358",399.039824693871
"359",428.192082831611
"360",360.548829545415
"361",483.854070029912
"362",527.469648183829
"363",356.132489465494
"364",399.411302769809
"365",351.54809440084
"366",293.378628894092
"367",519.614096491053
"368",382.524136124083
"369",249.040865794147
"370",381.747972492808
"371",475.378382024648
"372",373.688624399561
"373",351.428580553347
"374",419.622543545962
"375",406.500596648996
"376",560.825312926539
"377",423.540609911248
"378",449.080714711742
"379",388.701744914735
"380",342.922975720051
"381",393.323917158599
"382",421.320114474062
"383",351.563520107439
"384",553.715098315765
"385",362.285146868247
"386",391.071416909756
"387",406.32443779475
"388",390.281681584153
"389",298.326182956861
"390",422.277176309269
"391",437.084969617422
"392",539.246813240577
"393",422.911028663212
"394",360.831858250085
"395",329.527816307689
"396",455.383973603247
