"","x"
"1",3214.83934576831
"2",2806.39544827415
"3",2862.15609848802
"4",3181.06687413662
"5",2894.18591129816
"6",3079.20271187549
"7",3378.59135181447
"8",2937.04784497579
"9",3130.57031553761
"10",3031.44168731822
"11",2882.26900488965
"12",2973.53086791677
"13",2858.9816429109
"14",2856.01916336631
"15",2931.70617710003
"16",2741.84879299346
"17",3901.51594837251
"18",3110.31339421339
"19",3049.67668377655
"20",2803.46085559844
"21",3119.49964416118
"22",2942.33971105577
"23",2811.8274733708
"24",3926.63665930662
"25",2965.49475183817
"26",2797.63614181734
"27",3005.08215611197
"28",3042.22385055602
"29",2984.68840177299
"30",3236.34408262143
"31",3078.31812552932
"32",3318.30937451643
"33",2901.15283766142
"34",3070.91118160711
"35",2678.65835489899
"36",3004.42258906202
"37",2963.42528534821
"38",2786.9618051543
"39",2954.85593302968
"40",2782.29374097402
"41",3141.36500618497
"42",3822.56380812174
"43",3112.89640393978
"44",2930.13136502801
"45",2793.25345758689
"46",3340.75778675865
"47",2686.61411953693
"48",3077.33511487341
"49",3024.30138297193
"50",3094.96919001169
"51",2857.0073591976
"52",3186.36743626757
"53",3171.88067884044
"54",2930.19457528309
"55",2989.76988898187
"56",3022.66133763789
"57",3231.02448360257
"58",3223.30845904732
"59",2986.8498540757
"60",2746.42068542834
"61",2959.71281473249
"62",3075.0915012463
"63",2874.78334522761
"64",2935.17865385456
"65",2760.41588924119
"66",2682.58754440463
"67",3029.47050405095
"68",2944.57847132915
"69",2854.90662289469
"70",3146.63813620718
"71",2886.50191229015
"72",2989.33997004468
"73",2962.53573011429
"74",2735.68612502329
"75",2606.49688480827
"76",2726.49410498796
"77",2974.96692474908
"78",2820.12897044916
"79",2854.1923137649
"80",2807.59820119032
"81",3337.36514029446
"82",3142.41184261538
"83",2841.56509570583
"84",3129.56731257727
"85",3070.58458505144
"86",2794.18548544638
"87",3205.84997025072
"88",3331.50679178567
"89",2961.07827919697
"90",3150.895011161
"91",2947.80181875994
"92",2864.95295783335
"93",2879.87141432839
"94",3211.44364103206
"95",3098.66526434664
"96",3025.05234833188
"97",3186.98758993068
"98",2834.05026214412
"99",2827.2968976788
"100",3413.66221154386
"101",3118.9997520948
"102",3743.3724543786
"103",2909.94668868662
"104",2802.11231095405
"105",3061.84875511448
"106",2904.18499953685
"107",2759.26062822553
"108",3041.31398583337
"109",2802.27409740944
"110",3141.59739814382
"111",2875.68969519997
"112",3022.84377773381
"113",2909.66644791271
"114",2759.49248421121
"115",2879.2741347097
"116",3078.28918349107
"117",3234.147530888
"118",3036.13838141716
"119",3003.57572975773
"120",2954.15878352439
"121",2836.53655765999
"122",3002.9535887767
"123",2829.46141880482
"124",3245.13859802537
"125",3025.50356276078
"126",2950.49119874139
"127",2939.61112923741
"128",2830.72039444655
"129",3072.98629990518
"130",3077.08745247933
"131",3023.78856262773
"132",2800.24325375813
"133",2798.72089148484
"134",3121.39097507266
"135",4854.0523083977
"136",3172.46959018182
"137",3228.23418504307
"138",2859.97683203131
"139",3340.53006172302
"140",2877.13248766452
"141",3163.88061670641
"142",3053.06066699843
"143",2948.4388496558
"144",3170.53341114702
"145",2641.95325444658
"146",2702.11615542884
"147",3037.96759757459
"148",2980.44544319794
"149",2895.0997274764
"150",3045.48403658583
"151",3016.29909724673
"152",2915.31908100377
"153",2991.74144019986
"154",2937.27200213012
"155",3257.94235194216
"156",2807.57038948415
"157",3303.16421040812
"158",3151.01184436658
"159",2832.64997134133
"160",2750.27666849748
"161",2895.40840013337
"162",3016.05451474506
"163",3231.37591625184
"164",3332.90674609706
"165",3464.30886712692
"166",3214.8903680748
"167",3140.53516799295
"168",2794.82799099025
"169",4057.78808227696
"170",2896.14618571311
"171",2798.03709305997
"172",2971.04810482647
"173",3206.97430405434
"174",3180.47286571436
"175",2769.47021387911
"176",2999.93385087871
"177",2878.28163037864
"178",2990.82404270476
"179",2840.00883302452
"180",3320.05198112161
"181",2993.30640132762
"182",2718.51642128054
"183",3128.71330883319
"184",2874.93235275173
"185",2925.2062160245
"186",3023.25704587714
"187",3157.96876217385
"188",3009.1303263772
"189",3044.55341051175
"190",3061.95817584571
"191",2789.50330502097
"192",2804.55936714289
"193",3876.92987948919
"194",3042.38961909688
"195",3087.40581183355
"196",3138.51911448729
"197",2923.51256791812
"198",2765.88267129477
"199",2854.84659210184
"200",2858.80249404012
"201",3017.66689888421
"202",2806.6983109483
"203",3046.24179729635
"204",3155.32376923969
"205",3245.56621456726
"206",2747.08223252793
"207",2793.91172565129
"208",2796.58570379688
"209",2783.23331962723
"210",3094.46967045956
"211",3130.02701782781
"212",2910.58907448567
"213",3102.60678573931
"214",3239.32811571545
"215",2863.72269056263
"216",2902.00298231968
"217",3338.06218537604
"218",3021.47931975327
"219",2635.760456241
"220",3142.92545813125
"221",2943.85354360044
"222",2933.65867515482
"223",2953.33313007168
"224",3190.88326558015
"225",3315.34840016613
"226",3926.22113912275
"227",2889.96224737092
"228",2859.20446065955
"229",2684.59180936006
"230",3276.41857220707
"231",3190.22455934535
"232",2967.43022052589
"233",3199.96097160555
"234",3157.19816443211
"235",2932.3358091042
"236",3132.62128693943
"237",3136.94428934013
"238",2860.65927739762
"239",2990.85535742987
"240",3212.88058777113
"241",4904.83804222473
"242",2986.59535477433
"243",2991.09872739065
"244",3165.1344059609
"245",3013.11980249075
"246",2736.55804607367
"247",2942.66032599679
"248",3067.52485529069
"249",2831.63805966789
"250",2882.76298752436
"251",2946.8420355664
"252",2938.65478677281
"253",3611.5616108908
"254",2838.64344779963
"255",3004.73493356382
"256",3258.2246596703
"257",2861.6414724328
"258",2926.54114251984
"259",2768.96944373935
"260",3106.43005749766
"261",2987.08005887602
"262",3170.89577089032
"263",2926.0368727676
"264",3026.68677624363
"265",4242.74770816765
"266",2968.35740532313
"267",3061.85786879251
"268",2828.76220695517
"269",2814.99534392769
"270",3030.82873298607
"271",3000.46136263167
"272",3028.14799792898
"273",2912.58257720586
"274",3419.7726556539
"275",3634.67376346967
"276",2968.72907723226
"277",3641.41977508455
"278",2791.76273495936
"279",3211.01355698427
"280",3019.14160908618
"281",2994.26348050279
"282",2972.30927514167
"283",2992.35752281567
"284",3258.7224487017
"285",3106.81537878969
"286",2992.39420077376
"287",2851.20049522002
"288",2886.51506876134
"289",2820.37262317821
"290",2870.1362627203
"291",2843.47644097044
"292",3051.29164976295
"293",3049.71063998697
"294",2826.75194050492
