"","x"
"1",2246.67317420919
"2",2138.11874940469
"3",2024.22145695488
"4",2014.38649416695
"5",1938.77113661512
"6",2168.16100295112
"7",2145.02044243744
"8",1954.51964121238
"9",2099.89131213904
"10",1924.94100478487
"11",1994.37464138931
"12",2238.59318508773
"13",2040.5885336942
"14",1992.37963326143
"15",2202.20503305571
"16",1958.88123136489
"17",2843.62467514112
"18",2070.43065263792
"19",2026.31644355663
"20",1940.01763835355
"21",2000.39212404057
"22",2266.63276283435
"23",1987.90285676129
"24",2844.20636969441
"25",2045.63302911869
"26",1762.65612537043
"27",2081.32302647365
"28",2249.4435917138
"29",2028.70586395676
"30",2340.99373184262
"31",2021.02345369004
"32",2020.81964041622
"33",2257.36880133134
"34",2231.78590302753
"35",2132.65276213598
"36",2168.36560289188
"37",2024.99081453948
"38",2124.20406550049
"39",2044.61032309216
"40",2058.84758180829
"41",1967.49702566928
"42",2685.64727006131
"43",2167.85578495035
"44",2034.69799847699
"45",2062.65799240613
"46",2241.30142056213
"47",1953.22000858817
"48",2101.57564678491
"49",1973.21228107424
"50",2146.83605514503
"51",2019.22997826037
"52",2206.57664034497
"53",2221.86271368955
"54",1983.28438364507
"55",1898.46956309283
"56",2060.7255875017
"57",2099.49839283281
"58",2188.30272738965
"59",1970.83332801316
"60",1975.88287274709
"61",2084.96053100963
"62",2190.89694493595
"63",1985.53061596316
"64",1982.40132983723
"65",1946.51407257844
"66",2006.5956397584
"67",1865.20434928295
"68",2121.29676599715
"69",1998.00850348737
"70",2267.59345765661
"71",2182.82653044569
"72",2086.14334547251
"73",2144.92124363355
"74",2016.99037021168
"75",1898.98986960397
"76",1912.26126107794
"77",2309.56549904588
"78",2229.24967579526
"79",2095.90398755763
"80",2035.80625158383
"81",2344.14851857691
"82",2433.64907486697
"83",2138.50448155466
"84",2179.24966302784
"85",2110.78100940826
"86",2267.34093136329
"87",2118.83969767041
"88",2349.33896362227
"89",2172.67143132552
"90",2067.4273558534
"91",2005.54333254422
"92",2126.55494201772
"93",2111.72271174088
"94",2286.58416988966
"95",2106.35021083216
"96",1945.54393072399
"97",2117.2394966444
"98",1979.40006397495
"99",2023.63542634321
"100",2441.84123852887
"101",2258.53476000128
"102",2478.11570178724
"103",2078.88534325772
"104",2162.23335814826
"105",2137.33607131809
"106",2049.85637862458
"107",2159.25918716518
"108",1835.90039507587
"109",1880.0771406307
"110",2121.49511551314
"111",2127.79112454699
"112",1951.34553341493
"113",1844.30903960734
"114",1960.40914171277
"115",2058.59543711124
"116",2045.91892743215
"117",2266.9228439159
"118",2125.50752163267
"119",1973.31505590333
"120",2023.44113336692
"121",2087.27687937848
"122",1904.08373057147
"123",2114.84424575785
"124",2313.64227145974
"125",1988.88964746396
"126",1964.71807227595
"127",2057.30329425004
"128",1892.77319373266
"129",2079.0453795587
"130",2117.39700466355
"131",2160.92011805013
"132",2000.61303255758
"133",1918.07054577521
"134",2128.27952261827
"135",3361.15529217035
"136",1939.35885718549
"137",2286.56225621835
"138",1908.50741372802
"139",2366.32519349087
"140",2040.96116151481
"141",2080.26425566057
"142",2060.28611130913
"143",2055.07349167219
"144",2273.69384008119
"145",1884.49222975548
"146",1921.45166083059
"147",2244.28682669552
"148",2173.38909907064
"149",2124.43824833769
"150",2177.68275517813
"151",2129.35815339738
"152",1819.75620110974
"153",2116.7912562353
"154",1866.36047146333
"155",2077.64734588312
"156",2005.22337590604
"157",2436.94103557112
"158",1980.02224054214
"159",2179.76835415817
"160",1892.81661996546
"161",1941.23365155378
"162",2042.87910141398
"163",2461.62666429692
"164",2280.46155870029
"165",2306.49837617843
"166",2072.04050545833
"167",2064.29142766259
"168",2168.4272475455
"169",3118.51849380755
"170",1956.16893173664
"171",2044.99632831161
"172",2014.87000802729
"173",2302.09525287395
"174",2121.38625220122
"175",2028.94040784699
"176",1962.5570749408
"177",2179.68743442444
"178",2043.37225069174
"179",2011.00761652446
"180",2171.12981974169
"181",1960.43477449571
"182",2023.48693535975
"183",2152.64154960943
"184",2005.26554544429
"185",2147.18877269025
"186",2107.16020766121
"187",2283.96311358295
"188",1964.04075571915
"189",2197.68146538003
"190",2166.8357596322
"191",2133.49764928299
"192",2079.95514412845
"193",2771.6978027123
"194",2116.48124356332
"195",1855.944700876
"196",2048.85882344871
"197",2123.17515704645
"198",1945.19377584015
"199",1937.25968008731
"200",2317.86984439252
"201",1909.09376456304
"202",2194.60657090859
"203",2198.43360186274
"204",2087.99012320891
"205",2039.52256107716
"206",1916.08126755539
"207",2057.29827954519
"208",1973.93888799431
"209",2007.77171496631
"210",2135.55038240785
"211",2152.24940798996
"212",1827.0621439524
"213",1978.37827289384
"214",1938.37300243498
"215",1948.63159986704
"216",2055.44747836176
"217",2500.19260320172
"218",1836.91940686404
"219",1781.64042931237
"220",2078.20942667919
"221",2076.79100298866
"222",2138.10803277015
"223",2212.51074093315
"224",2020.41612272375
"225",2401.32817994774
"226",2745.52140934388
"227",2215.26311142141
"228",1835.27359898072
"229",1967.74378651701
"230",2178.94550636401
"231",2094.18542227382
"232",2104.57675461622
"233",2159.60044680208
"234",1904.98152958519
"235",1963.36921549663
"236",2023.87241032072
"237",2178.21392788168
"238",2096.49626176832
"239",2168.24429818039
"240",1924.24581998075
"241",3470.83122224275
"242",2000.34282127471
"243",2162.4940093939
"244",2088.50821307587
"245",1973.44541118402
"246",1913.21169958588
"247",2007.47325370912
"248",2152.33658397344
"249",2236.41728913084
"250",2233.105271039
"251",2072.78864540644
"252",1945.79779325873
"253",2738.83109494553
"254",2027.67347449983
"255",2138.37555216728
"256",2039.12332784463
"257",2124.49057988554
"258",1915.54274861023
"259",1974.2616407997
"260",2035.43712660314
"261",2255.5705629883
"262",2164.98941046835
"263",2134.52357366486
"264",2166.12097494025
"265",2926.82687995757
"266",2161.66209879463
"267",2052.65001036061
"268",2201.33325081033
"269",2049.24389943027
"270",2275.7276859865
"271",2015.69797727447
"272",1926.78080557001
"273",1831.64348544393
"274",2068.03888312038
"275",2376.60132762497
"276",2213.10248257678
"277",2646.5897077432
"278",2109.84686438995
"279",2097.17071266457
"280",2063.68283611474
"281",2098.80201355794
"282",2131.37564938324
"283",1950.80455004786
"284",2241.89115784507
"285",2024.88803575884
"286",1848.83916047687
"287",2096.45296794433
"288",2084.27226793765
"289",1975.23480449144
"290",2132.55028012081
"291",2094.02433285313
"292",1986.65063641855
"293",2171.76204367788
"294",2033.97639834708
"295",2229.88036871536
"296",2099.94565382274
"297",2012.99848268338
"298",2088.4992562616
"299",1972.10899851153
"300",2007.06803954888
"301",2228.96260621456
"302",2129.33676484789
"303",2137.12910520758
"304",1966.09393773906
"305",2120.92350889944
"306",2152.59880976206
"307",2108.75967028745
"308",2091.96813412108
"309",1985.72333830476
"310",2140.63694808659
"311",2072.03002189792
"312",2171.07587133624
"313",2496.75260685234
"314",1967.14888940455
"315",1987.34641327218
"316",2162.4525189733
"317",1878.83957390375
"318",2132.16286436299
"319",2008.02333836563
"320",2177.79070100147
"321",1836.32009521958
"322",2085.72383374604
"323",1857.75145546308
"324",2361.69425408415
"325",2144.70545484456
"326",2009.9439255737
"327",1972.07152285674
"328",2644.34412568817
"329",2125.21126992103
"330",2369.17859105701
"331",2046.37083175267
"332",2223.36526398778
"333",2245.77128337939
"334",2148.04092388446
"335",2009.87191006347
"336",2020.56172580644
"337",2021.57282733207
"338",1999.42645458795
"339",2131.23968274747
"340",2137.98604055609
"341",1903.9380273174
"342",2016.80115634716
"343",1841.48170406983
"344",2111.71330971501
"345",2063.70882780823
"346",1990.52793523404
"347",2193.02879021947
"348",2202.07253187244
"349",2042.00832087188
"350",2006.18090035986
"351",2026.57467490213
"352",2110.54969476555
"353",1893.72430070116
"354",2088.35765838499
"355",2173.61623347015
"356",1985.12792137909
"357",2205.61554417146
"358",2262.08681124288
"359",2117.75845685176
"360",1972.3051479185
"361",2105.76239290654
"362",2035.57662079196
"363",2133.16507854946
"364",2094.3969149737
"365",2034.82607742649
"366",2162.86737802152
"367",2153.06266777594
"368",2124.58584182874
"369",2160.88890226517
"370",2059.90068269028
"371",2511.06413336742
"372",2173.88334953577
"373",2180.16648963105
"374",2098.78741712934
"375",1965.69440141269
"376",1914.22934395064
"377",2088.94554811078
"378",2115.23622574183
"379",1951.4398288781
"380",2080.23813359066
"381",1947.39029685481
"382",2141.89204241883
"383",2126.61137472096
"384",2050.14537615518
"385",2165.31946141245
"386",2057.06781492704
"387",2012.73566914194
"388",2055.97485907769
"389",1999.77806188884
"390",2097.56158600595
"391",2953.59523457111
"392",2388.65627570467
"393",2062.03342678592
"394",2072.53951198355
"395",2485.16240284164
"396",2230.12039759214
"397",2200.04924925612
"398",2165.1055147767
"399",1922.98998533069
"400",2095.77994409649
"401",1909.99013455562
"402",2240.87166698077
"403",2154.55555511255
"404",2141.69989957375
"405",2165.30382312594
"406",2023.90251715952
"407",2022.21355174387
"408",2129.88361408213
"409",2104.7373642504
"410",2034.57136501655
"411",2126.0354246161
"412",1876.72721145043
"413",1954.19068258581
"414",2020.95106410835
"415",2287.5468719808
"416",2055.35215293207
"417",2075.15701620854
"418",2239.26944146212
"419",2080.38097173388
"420",2096.88737796259
"421",2078.8635330997
"422",2209.54489252181
"423",2042.94533241683
"424",1844.58503049077
"425",2198.12751310132
"426",2194.71472356555
"427",1912.79388363814
"428",2168.37457449035
"429",2196.42641404548
"430",2100.87847702508
"431",2047.47125752623
"432",2133.43705347595
"433",2209.60478683979
"434",1902.722319539
"435",2181.32029730235
"436",2271.56897190613
"437",2011.96399028953
"438",2186.38972658256
"439",2096.42033843512
"440",1929.63172902675
"441",1848.96266565676
"442",2081.13738034327
"443",2010.82989667469
"444",2218.33396725135
"445",2084.90555163981
"446",1755.12485254182
"447",2012.66722890863
"448",2071.83338545864
"449",2021.73315800758
"450",1911.67031528477
"451",1920.60099513425
"452",2036.80635508335
"453",2154.81162934437
"454",2321.78706070734
"455",2169.1546984105
"456",1956.32704444071
"457",2183.90266153401
"458",2208.66257499384
"459",1955.24293979072
"460",2055.53373240996
"461",2041.48843914337
"462",2045.18339242785
"463",2055.61922772036
"464",2013.47336020831
"465",1983.19021074602
"466",2058.23476268271
"467",2017.15240170664
"468",2173.65072942891
"469",1882.21802109437
"470",2098.7821311612
"471",1919.64878486145
"472",2042.15270106294
"473",1976.03955150749
"474",1988.27586367165
"475",2032.12649239256
"476",2150.87122883124
"477",2045.32522229222
"478",2228.77816732591
"479",2199.09772743991
"480",1888.54245813169
"481",1967.49750225111
"482",2196.71460543709
"483",2112.72993686189
"484",2107.9271220278
"485",2020.6445941416
"486",2383.44049597323
"487",2273.00546797255
"488",2133.6302088845
"489",1953.4380531227
"490",2139.89014569032
"491",1984.56266879793
"492",2185.6213227701
"493",2318.47972612053
"494",2001.995094328
"495",2133.14744410176
"496",2238.2830221432
"497",2002.01469011995
"498",2436.72466767859
"499",2240.46866414035
"500",2000.46533974748
"501",2117.82211237932
"502",2075.49055171397
"503",2174.11866052006
"504",1983.44261328291
"505",1977.26939832813
"506",2011.54735414048
"507",2010.66555439069
"508",1983.8697055658
"509",2077.38372192768
"510",2270.77739980745
"511",2012.39246970407
"512",1986.92997335412
"513",1927.99783007372
"514",2018.35659250729
"515",2101.92129444139
"516",2070.03086975249
"517",1920.71099018047
"518",1928.86752452847
"519",2019.41113050609
"520",2361.83952695843
"521",1976.86749164832
"522",2127.0641624363
"523",1926.06577806975
"524",1991.51977325229
"525",2161.98734309038
"526",2070.16410830495
"527",1902.77802261268
"528",2158.09094836772
"529",2312.47297715495
"530",1936.64880348339
"531",2038.7827875058
"532",2164.22853525838
"533",2504.74671251411
"534",2039.37128647319
"535",2156.06537840113
"536",1918.18601577817
"537",1902.69486151395
