"","x"
"1",16060.2780346917
"2",16651.2143946987
"3",14766.3475825845
"4",17449.7224770465
"5",15583.8883001925
"6",14575.5481928231
"7",15660.5852775878
"8",14661.9303872673
"9",15451.7956229729
"10",15111.6069164574
"11",15569.7781563943
"12",15650.1482190972
"13",16777.2967081178
"14",14921.4944816236
"15",16088.0409932962
"16",14741.4944543061
"17",16088.3713225096
"18",14738.6462947602
"19",15413.2266017083
"20",16608.0754232596
"21",14784.9991159483
"22",17118.3876679459
"23",16061.1186435879
"24",14799.0817883854
"25",14943.0784987234
"26",15527.9592624931
"27",16086.5915656117
"28",14936.9814608232
"29",15941.0768021425
"30",13469.9381003968
"31",17453.6314814733
"32",15272.3332506443
"33",16322.6834881857
"34",15972.3231895317
"35",16959.9250198014
"36",15969.5616265644
"37",17001.168403373
"38",15026.1309670903
"39",17308.2415896574
"40",15921.7938449122
"41",15078.9858668443
"42",16904.4891531832
"43",17466.5159579115
"44",14012.7526499291
"45",15633.7598549986
"46",14555.9649279358
"47",16015.9317114525
"48",17611.7535215153
"49",15537.0718287059
"50",17207.341768146
"51",15538.8569290372
"52",17337.9999117808
"53",16278.2325950614
"54",16795.3676451981
"55",16051.5228470912
"56",15836.1519396878
"57",15092.6413434278
"58",16300.9693532408
"59",14258.354035088
"60",16313.7806843897
"61",14721.6255678114
"62",14350.8644728538
"63",14469.8647201113
"64",15920.8329090818
"65",14570.6701746109
"66",18622.3358459311
"67",15178.1975764946
"68",16456.2017213524
"69",14937.9766397022
"70",17796.0510665298
"71",16851.2278994085
"72",16331.3886954228
"73",15317.3746089736
"74",13358.0784050296
"75",14280.8323159949
"76",14464.0520718225
"77",16868.6276365522
"78",15701.3158825207
"79",14566.9755121394
"80",15825.2996874699
"81",14296.2665817272
"82",14184.3013485474
"83",14846.1402922265
"84",15265.5314665374
"85",19304.6021851395
"86",14706.1538703925
"87",13585.0687524144
"88",14923.4430021272
"89",15669.0991433853
"90",14350.4769523917
"91",15191.7134488639
"92",15602.2932415485
"93",16241.360902784
"94",15240.4650205018
"95",14447.8685159441
"96",15556.564753352
"97",16800.681938647
"98",13826.5231233096
"99",15040.8022657046
"100",14972.2869991093
"101",16616.9064480708
"102",14913.5295578561
"103",15697.7631299618
"104",16348.8674951902
"105",15024.1559133988
"106",16480.4706840437
"107",15505.5550778561
"108",15322.7822328615
"109",16765.3541607649
"110",15905.6632042507
"111",14596.4607994757
"112",14187.6555033625
"113",15639.0263677608
"114",14772.0435629861
"115",12643.1937228642
"116",16164.5583436797
"117",16297.0463182485
"118",15300.0495948787
"119",15488.8107835103
"120",15859.0895176238
"121",15846.0719490163
"122",15542.3150245539
"123",15097.5134249202
"124",16006.1956500989
"125",16857.5398223411
"126",16227.6681426193
"127",15182.4269943951
"128",16491.6795800941
"129",16016.0673718512
"130",17475.0828414015
"131",16131.4188455852
"132",15519.3572216431
"133",15035.6968207591
"134",15284.8700577323
"135",15273.626391134
"136",15045.2313512836
"137",15023.8538309504
"138",16094.1381220837
"139",14466.0691155457
"140",14362.0129787235
"141",16875.6163895235
"142",14756.6277593041
"143",15204.5042197723
"144",17868.9014733855
"145",15432.6183844724
"146",14050.7130534475
"147",15705.2882440503
"148",15468.9488107964
"149",17080.3109409068
"150",16756.5378959107
"151",18521.8240212167
"152",15705.9772977602
"153",14703.038148452
"154",17226.6810766827
"155",17011.9724815759
"156",17414.5313063955
"157",14751.1757669705
"158",14257.5757538699
"159",14621.8162647891
"160",14897.1506956309
"161",15506.9210819832
"162",16332.3498292161
"163",17749.5272393874
"164",16831.5811627064
"165",15336.0846155892
"166",15830.2064899639
"167",15170.080715287
"168",15385.0734706814
"169",15073.7694178691
"170",15234.4484791228
"171",15892.6082406521
"172",17185.5843753964
"173",17904.3533890478
"174",17586.989930655
"175",14824.6143652508
"176",17621.0694672867
"177",13607.4997102222
"178",15395.8454380345
"179",14754.6145275611
"180",16088.1394359114
"181",14877.6850186549
"182",14175.098483952
"183",18233.7664703671
"184",14649.5736321861
"185",16670.3349389835
"186",14107.1640390109
"187",14577.5250570425
"188",14959.987006467
"189",16497.8533636265
"190",17118.6592482772
"191",16041.15092218
"192",15348.2647656149
"193",15607.0606109737
"194",15194.8797313363
"195",16435.6951297116
"196",16060.6806968979
"197",14930.6442280213
"198",17977.5332925307
"199",17450.4076001015
"200",15370.9899227199
"201",17818.0055048634
"202",15347.588898824
"203",17722.3656646956
"204",14519.8764402909
"205",17601.3416374671
"206",17346.0584332405
"207",15116.8409401226
"208",15803.9295144589
"209",15416.4298767727
"210",15228.9294651216
"211",16941.0841583178
"212",13710.0346950402
"213",14435.8988709326
"214",14878.6476593178
"215",14791.6985747826
"216",15439.754488438
"217",18474.2957493761
"218",15117.7109942549
"219",14511.4326827295
"220",14399.1101067955
"221",15155.8473458253
"222",14883.9214373721
"223",16511.8358882873
"224",15611.7789990823
"225",16040.753207381
"226",15694.866857298
"227",15114.4950208412
"228",16901.526131159
"229",16368.8211473328
"230",15718.4046436257
"231",15917.51625667
"232",17556.8621798283
"233",16645.9749292887
"234",15242.283764118
"235",16232.0511842452
"236",15217.515975823
"237",14000.312616997
"238",14021.9581862557
"239",17137.4226924231
"240",17743.0856734944
"241",15885.0300900409
"242",17483.4841983642
"243",17670.9939942271
"244",15578.5210759336
"245",15691.6721986065
"246",15482.6720124231
"247",15955.4544468031
"248",16608.3168301333
"249",16222.791117743
"250",15828.0005716002
"251",14856.8874152826
"252",14894.5314898724
"253",16257.8013283325
"254",14869.9369603432
"255",15287.0761226314
"256",17412.9493370642
"257",14560.1460078432
"258",15026.2130672814
"259",14792.9541772227
"260",16708.6509196336
"261",15893.6975800015
"262",17411.0342494228
"263",16448.7479978024
"264",15009.5241463304
"265",14478.6808870413
"266",12985.0702856216
"267",16391.6611698414
"268",15692.8752359304
"269",15738.0624429521
"270",16336.478211678
"271",14997.726498901
"272",16283.4335783728
"273",14684.2839568014
"274",15258.0394442313
"275",15213.2119761486
"276",17572.0012132608
"277",16546.0161679149
"278",14831.2987076604
"279",16006.6790913514
"280",16257.6087629706
"281",14275.827530731
"282",16483.3640718549
"283",17042.3572735275
"284",15620.6419715301
"285",15640.7912798547
"286",14884.4700087274
"287",15144.2422008904
"288",14425.8245639075
"289",15891.1722723612
"290",15484.2131247387
"291",15019.3278295736
"292",15332.2023963277
"293",14404.2493299592
"294",15760.6022796981
"295",13960.1774834865
"296",14725.4471408023
"297",17927.3368790828
"298",17613.5722138395
"299",15425.4897550808
"300",15379.5823557935
"301",17795.773648243
"302",15177.9781790415
