"","x"
"1",3124.75236745186
"2",3188.34854802833
"3",3171.64094092827
"4",3374.37878047363
"5",3069.37419935732
"6",3161.87052218844
"7",3166.52293632266
"8",3084.81682358189
"9",3367.47021624434
"10",3176.98306182767
"11",3213.02057624867
"12",3559.06935571984
"13",3296.79306062181
"14",2854.21355845093
"15",3344.0150781289
"16",3326.42210989155
"17",3291.38508573144
"18",3423.8017463988
"19",3078.34976857857
"20",2867.52030310515
"21",3504.42803204954
"22",3566.90291653063
"23",2976.31921168291
"24",3675.46396990845
"25",3063.00115021077
"26",3162.73564146593
"27",3301.64731502971
"28",3221.75029769349
"29",3059.31113942362
"30",3057.91985588371
"31",3281.97151504254
"32",3272.00213183235
"33",3203.68279457892
"34",2986.68326181093
"35",3136.33845100577
"36",3519.98034784926
"37",3229.7470275099
"38",3169.94131968805
"39",3193.06503900266
"40",3113.15067025445
"41",3219.3221215919
"42",3524.3162396324
"43",3440.71489784618
"44",3451.65293820421
"45",3097.03068829583
"46",3290.47815047921
"47",3084.79038211712
"48",3409.39129491624
"49",3055.17106113312
"50",3361.59360407892
"51",3658.52097890312
"52",3109.49913636632
"53",3316.32190169183
"54",2973.26234630746
"55",3196.06116964638
"56",3298.24707242556
"57",3388.829823917
"58",3356.22916754093
"59",3173.06029984317
"60",3198.68370490393
"61",3076.13688905258
"62",3309.32330422323
"63",3180.81622045663
"64",3298.89060197083
"65",3133.82311323392
"66",3457.10855566381
"67",3259.31873332431
"68",3359.38691497868
"69",2942.05901883771
"70",3086.28763119208
"71",3175.01167818577
"72",3009.74239139125
"73",3409.95970935657
"74",2878.93608966761
"75",3059.9082511966
"76",2922.94285557295
"77",3322.3021422795
"78",2894.88579556862
"79",3196.40715184202
"80",3243.30052404342
"81",3101.26772795798
"82",3281.52548170075
"83",3110.72055782518
"84",2933.07269452867
"85",3500.98015762357
"86",2907.70850814327
"87",2891.84943961515
"88",3133.07203231082
"89",3212.85998514082
"90",3110.67011431195
"91",3042.92315323753
"92",3222.84661125766
"93",3092.98403622115
"94",3139.70433069183
"95",3224.97012732118
"96",3415.13071240118
"97",3278.84693849364
"98",2888.59515230504
"99",3067.0445914772
"100",3297.7968281595
"101",3388.21209610067
"102",3106.2297151
"103",3334.74489768999
"104",3560.78912923726
"105",3122.10381777685
"106",3261.38182843856
"107",3079.69907962805
"108",3213.01626599824
"109",3270.97154341219
"110",3223.45488954149
"111",3061.99170062536
"112",3762.95356070769
"113",3471.70502587009
"114",2974.8214523902
"115",3085.37167888454
"116",3144.08349593044
"117",3496.98537706768
"118",3143.27769757869
"119",3058.01523892321
"120",2993.52773856298
"121",3221.84702277442
"122",2998.12332045387
"123",3671.13188465148
"124",3435.17854140544
"125",3540.48174131912
"126",3183.46807813752
"127",2901.26004312519
"128",3481.62763501541
"129",3290.37909501187
"130",3333.33868983537
"131",3236.40753071189
"132",3225.84986515075
"133",2996.33881421068
"134",3346.17327020289
"135",3061.26181670991
"136",3250.4108513774
"137",3448.51541500074
"138",2919.21233676737
"139",3146.88465126288
"140",3233.99215843868
"141",3450.12681581345
"142",3341.87441731519
"143",2885.65272657434
"144",3092.59685912482
"145",3145.48259989908
"146",3240.66518556701
"147",3485.21389647542
"148",3490.37151173656
"149",3242.30615687841
"150",3204.11087152901
"151",3584.86922215534
"152",3117.98021567552
"153",3160.73391797131
"154",3026.67374472148
"155",3409.48812506126
"156",3295.93984421537
"157",3177.11875038544
"158",3244.55199877958
"159",3544.16309377263
"160",3158.84780542501
"161",3445.19336694598
"162",3340.94835458677
"163",3293.9200963875
"164",3234.31483490467
"165",3183.75627815182
"166",3489.09666189347
"167",3341.99262423324
"168",3388.66383493205
"169",3485.136350802
"170",3066.79436487471
"171",3189.51662243368
"172",3582.05153631958
"173",3386.25516618703
"174",3446.50977609924
"175",3110.89620508111
"176",3011.25547326565
"177",3097.7031834396
"178",3002.52929634921
"179",2959.03384952104
"180",3118.81363729259
"181",3113.57240875668
"182",3290.2251909747
"183",3384.59001841303
"184",3274.45360995156
"185",3606.15309973991
"186",3329.17821596409
"187",3281.057042215
"188",2855.78794046177
"189",3459.17322102944
"190",3083.34010554321
"191",3120.96401720658
"192",3169.9812511994
"193",3333.5533626893
"194",3268.59461438885
"195",3537.52652102053
"196",3545.453444198
"197",3295.29939839067
"198",3464.67179231314
"199",2960.40272603446
"200",3126.35448111095
"201",3178.19886483158
"202",3042.30523787232
"203",3313.93946854696
"204",3529.19261257965
"205",3501.48478572464
"206",3533.88436963249
"207",3172.90085734106
"208",3343.51717585109
"209",3243.95644917114
"210",3210.00575771325
"211",3167.28158259227
"212",3141.08872214471
"213",3272.35820026381
"214",3648.59832565987
"215",3276.19016149739
"216",3530.53258400959
"217",3271.45698435799
"218",3238.11439649687
"219",3052.50919290082
"220",2883.18024448202
"221",3317.61656018129
"222",3414.09228091119
"223",3211.27026514607
"224",3359.79702462717
"225",3154.24493100813
"226",3178.33724900769
"227",3633.30663365092
"228",3444.51975757924
"229",3305.29061957471
"230",3379.787467813
"231",3558.36377563778
"232",3219.17967942298
"233",3464.97548535561
"234",3070.85999226936
"235",3043.60935207117
"236",3357.56309843819
"237",3392.68113255179
"238",3067.87646654784
"239",3172.5202275899
"240",3196.87058458174
"241",3199.12610777303
"242",3478.27727499451
"243",3505.59630543391
"244",3140.70210483335
"245",3573.49058028913
"246",3225.39998937779
"247",3150.72453375816
"248",3412.32297451959
"249",3007.54199782424
"250",3180.75786119937
"251",3310.766348289
"252",3006.00161603333
"253",3450.44616932061
"254",3249.01209417113
"255",3356.95015100784
"256",3373.1093573801
"257",3383.2571515947
"258",2744.87198167828
"259",3010.00189296174
"260",3449.82090548375
"261",3270.17101592198
"262",3380.70285885862
"263",3133.26062784471
"264",3116.67733397388
"265",3011.12948814883
"266",2789.93857533863
"267",3559.54740352193
"268",3146.90794321084
"269",3458.32870266636
"270",3665.5415430004
"271",3054.26613986714
"272",3159.46574544678
"273",3193.05917584207
"274",3531.32166042911
"275",2976.71649541396
"276",3266.74269654831
"277",3398.08340792964
"278",3653.98926047929
"279",3307.99223302628
"280",3243.00022817908
"281",3533.07840213993
"282",3186.17893369544
"283",3014.77379247952
"284",2987.4529851156
"285",3541.90617669818
"286",3060.73514675849
"287",3200.641852804
"288",3339.65780387963
"289",3144.35951928702
"290",3288.49570726179
"291",3357.08555322474
"292",3057.79988229262
"293",2867.62781074561
"294",3098.62361296873
"295",3324.80375909414
"296",3195.11288436822
"297",3234.28781293014
"298",3084.11466752242
"299",2933.52600754316
"300",3433.61169044639
"301",3793.61987247848
"302",3283.95462955872
"303",2965.6628062658
"304",3149.23005804129
"305",3569.89675862871
"306",3540.63568253173
"307",3327.80548647401
"308",3275.87944779462
"309",2960.91269298265
"310",3053.05739715086
"311",3534.9969715083
"312",3402.2594223414
"313",3378.63783800476
"314",3178.77910771621
"315",3348.95819880509
"316",3290.6498614499
"317",3069.15380503216
"318",3166.81431350085
"319",3176.33990451604
"320",2963.78963564652
"321",3760.29754647256
"322",2903.77235227888
"323",3259.59144785563
"324",3327.24150820187
"325",3295.61186346967
"326",2991.11375839562
"327",3139.80781794009
"328",3178.20441091202
"329",3150.03232894719
"330",3105.06871647049
"331",3056.57896055672
"332",3165.08281832234
"333",3423.15231199652
"334",3075.17203840055
"335",3046.15237515397
"336",3062.17236791831
"337",3160.74321440757
"338",3349.21536485221
"339",3150.16313279108
"340",3277.14860504138
"341",3078.75203777005
"342",3300.13238946272
"343",3488.92866218915
"344",3564.06537182469
"345",3187.68089496971
"346",3350.72943074183
"347",3572.10188388394
"348",3468.06165286655
"349",3099.47100949453
"350",3310.18099398638
"351",3453.46141186467
"352",3329.11413605023
"353",3253.33643519929
"354",3316.10499778677
"355",3562.20942627923
"356",3186.41490463735
"357",3336.75368163171
"358",3169.82780156521
"359",3124.0529651999
"360",3336.45866524472
"361",3166.12228599546
"362",3098.58518565373
"363",3350.07228407243
"364",3157.38554647646
"365",2927.51628596581
"366",3792.87780790217
"367",2919.63600000762
"368",3515.87364989425
"369",3274.67320467921
"370",3054.13582510413
"371",3035.18723033487
"372",3208.76028030029
"373",3470.53860401444
"374",3080.67704602114
"375",3081.26208756338
"376",2963.97812491821
"377",2980.38029199553
"378",3204.45788919561
"379",3262.03075424998
"380",3009.7259760135
"381",3320.78525808169
"382",2910.0136503553
"383",3086.48935475243
"384",3159.95013052636
"385",3379.12439532313
"386",3122.24115676112
"387",3116.60653039252
"388",3110.92634008474
"389",3413.33648153389
"390",2882.81427671736
"391",2974.92145951128
"392",3439.98607201423
"393",3221.37567929139
"394",2791.27562959477
"395",3018.92662668599
"396",3445.63707933414
"397",3329.18073429906
"398",2854.09120517506
"399",3068.2480360035
"400",3063.65537038671
"401",3315.05965963373
"402",3315.36078671659
"403",3229.94972061825
"404",3390.30908204519
"405",3134.96984206821
"406",3394.89227072276
"407",3493.16310853293
"408",3130.14532341733
"409",3555.55783155588
"410",3452.21075837483
"411",3105.59780552924
"412",3094.44290329575
"413",3349.25015732215
"414",3114.07913505127
"415",3104.42714390894
"416",3006.09727213655
"417",3365.58988311164
"418",3093.08464825677
"419",3285.94402901078
"420",3027.06848973661
"421",3320.14229907349
"422",3076.83465170592
"423",3285.79113699623
"424",3374.52539468312
"425",3226.41248719323
"426",3360.42039984223
"427",3350.84411020441
"428",2976.9171943391
"429",3228.4427522256
"430",3608.21179223602
"431",3647.02431722722
"432",3092.25350706192
"433",3342.9091682592
"434",3260.77998022563
"435",3038.02333732296
"436",3276.25898361317
"437",3033.24683607505
"438",3366.12568030605
"439",2915.56600211998
"440",3637.39230217254
"441",3185.72655110465
"442",3396.52466077836
"443",3225.51560368494
"444",3335.75976184977
"445",3296.95903774805
"446",3564.79751459395
"447",3092.999027048
"448",3095.68427153919
"449",3699.87555668608
"450",3252.61751257501
"451",3298.25151189074
"452",3027.63856313033
"453",3224.65951122396
"454",3039.69094533631
"455",2949.98510662121
"456",3034.56441038506
"457",3181.14678441958
"458",3072.38025968461
"459",3140.0358084644
"460",2877.74963947218
"461",3380.86583935005
"462",3109.92244722226
"463",3354.82124147059
"464",3284.25221474874
"465",2901.01232562858
"466",3313.60912641864
"467",3241.82100295323
"468",3504.01648869128
"469",3237.67371701523
"470",3206.01125181613
"471",2946.11562591289
"472",3481.40347785804
"473",3031.24580304819
"474",3268.38396032848
"475",3106.47933647727
"476",3257.95026003647
"477",3291.62819658749
"478",3207.72012979388
"479",3589.39912590898
"480",3161.27446907244
"481",3166.39326465152
"482",3332.87756087454
"483",3272.95754447345
"484",3271.15326910718
"485",2915.05189098575
"486",3543.8872811225
"487",3367.92700186431
"488",2929.3161517828
"489",3068.11655806683
"490",3168.10655135804
"491",3120.7873209888
"492",3104.29084704195
"493",3139.63840358275
"494",3422.25317722342
"495",2915.73180642953
"496",3303.2162439431
"497",3194.89438559486
"498",3385.67543229478
"499",3457.50220981298
"500",3482.49376479934
"501",3487.05985298109
"502",3470.4642275565
"503",3106.01594383729
"504",3483.54880852073
"505",3255.78753745136
"506",3104.19512078973
"507",3353.06692531468
"508",3199.03192207031
"509",3580.91615114704
"510",3127.89689730903
"511",3272.65414784368
"512",3513.16943567182
"513",3547.60413607672
"514",2907.23624291314
"515",2882.93183026425
"516",3133.14812684124
"517",2956.85678793344
"518",3152.08317635357
"519",3280.6052744073
"520",3181.59402568473
"521",3018.6308700148
"522",3396.46910048032
"523",3142.58466988556
"524",3050.14464974431
"525",3175.15598930873
"526",3186.40192943055
"527",3124.46673413651
"528",3013.24909625335
"529",2946.49877094882
"530",3310.56001212807
"531",3137.65661356144
"532",3227.89445509279
"533",3398.90313012814
"534",3089.30397337688
"535",3143.48261710072
"536",3397.85984643759
"537",3225.79878327838
"538",3212.1815707198
"539",3439.29127912356
"540",3152.21209951287
"541",2978.29376996755
"542",3139.5380502448
"543",3338.85933682751
"544",2911.7130949209
"545",3573.56672904755
"546",3105.90927246752
"547",3041.20770255957
"548",2969.99242434725
"549",3098.25768851973
