"","x"
"1",61862.0889046008
"2",63830.3108852625
"3",69140.8732117721
"4",61669.0715939337
"5",64664.8180399584
"6",61830.0359460741
"7",66148.9977009519
"8",66600.3173030342
"9",63370.7990000162
"10",70598.397253628
"11",56739.8686375991
"12",71884.9911081509
"13",76328.5947038072
"14",65531.9748893053
"15",66245.423509045
"16",58205.6425036128
"17",61943.7273750221
"18",67252.3946277866
"19",67257.8696657411
"20",74828.5449138931
"21",62300.7576392912
"22",59424.4342618357
"23",69791.2039301372
"24",67179.223992003
"25",66313.825762344
"26",64073.3572973113
"27",67628.2095109798
"28",63104.59996216
"29",63010.9307289327
"30",65173.2394157512
"31",60600.819472135
"32",71813.3517643198
"33",74973.6710367858
"34",68119.3093388353
"35",64233.711724109
"36",58340.552612284
"37",60127.8950854641
"38",64859.733519284
"39",59904.9806108268
"40",64956.3203276312
"41",55842.3591363324
"42",63070.5179612425
"43",66084.5990907947
"44",58858.2870816332
"45",65308.783362026
"46",61766.2727786147
"47",68263.0816922878
"48",64372.0748888433
"49",69793.6580136718
"50",65314.3151316361
"51",66887.6882978543
"52",61700.1120216636
"53",62692.8000413774
"54",67693.6457331985
"55",68310.7137733122
"56",65196.8202650373
"57",62239.352504541
"58",61083.7788297285
"59",64426.9711815832
"60",69179.6607767541
"61",64434.0519725491
"62",61074.8039705973
"63",62516.0673765767
"64",66818.7726424322
"65",66427.1434869022
"66",67195.7693690745
"67",67749.3893615974
"68",62173.3531900418
"69",59199.7826890547
"70",60307.802615884
"71",65757.9453389695
"72",71847.3308887325
"73",56903.9624292114
"74",63902.5362949916
"75",59087.3205980948
"76",64292.0333891774
"77",66436.2266138464
"78",59913.8017231872
"79",70478.1561013122
"80",60287.0718155071
"81",65242.0937241739
"82",68067.2379276197
"83",62432.2131490834
"84",58897.5106418181
"85",62517.1661002293
"86",64216.9550792408
"87",62265.2420849965
"88",61693.6330438872
"89",64607.0104516554
"90",65130.2689350767
"91",58618.3661279771
"92",62204.9638868995
"93",59660.8817708794
"94",60576.6074121558
"95",61506.8457604489
"96",60176.2494857112
"97",66830.9957977386
"98",64746.0922462566
"99",57132.7574461466
"100",55968.9844876182
"101",67353.1161303455
"102",71912.9749132448
"103",55809.5957730998
"104",64224.8873764942
"105",64867.4412687892
"106",63021.1813817248
"107",61001.8034178852
"108",71500.992732884
"109",68868.902898592
"110",65650.1220769536
"111",58524.3553333341
"112",72394.9775931046
"113",64795.5136496548
"114",60888.6624593001
"115",62212.894549815
"116",63759.4442492182
"117",65874.3912591805
"118",59253.0204560612
"119",63102.1108824015
"120",61116.8325296524
"121",68237.1989868781
"122",73756.989224905
"123",60393.8185215726
"124",65961.1766558255
"125",63869.6102104428
"126",66415.3058887945
"127",66041.5806451238
"128",67822.0044392094
"129",67090.9188053231
"130",65407.8712735629
"131",62711.1931033378
"132",65099.895652571
"133",61489.6870547618
"134",66176.1402157351
"135",63682.0427907131
"136",70242.7972387853
"137",63817.8851903501
"138",70999.8834143087
"139",64467.0724350603
"140",62233.184735119
"141",57160.4387554565
"142",65511.9633399464
"143",65555.2141104855
"144",69016.6661428811
"145",71125.9239407175
"146",65504.6974902235
"147",63519.5984437254
"148",66070.2878904512
"149",68236.991921428
"150",60555.8673747825
"151",64420.9168963076
"152",57240.0868968607
"153",70820.6212344226
"154",60524.8217371449
"155",69300.0351951657
"156",65431.0329757688
"157",67017.893883785
"158",69911.825050129
"159",70980.8671550616
"160",69051.2338451423
"161",65729.9043483935
"162",63025.6938140874
"163",62110.6459946095
"164",62434.7018821949
"165",67713.8352014163
"166",62726.706626168
"167",58016.7855052674
"168",62007.1600886786
"169",59641.5403935908
"170",64192.6252595861
"171",65400.7083460556
"172",67536.3499686065
"173",65842.5834242729
"174",67060.7071992524
"175",65882.9323419315
"176",68838.2670574291
"177",67395.6359457485
"178",65395.5985027197
"179",66428.6465329453
"180",71735.1073599278
"181",69179.2014551858
"182",67585.3866619022
"183",65215.7487550713
"184",65060.4554737553
"185",64853.3676109778
"186",65561.0799639155
"187",65822.7443969601
"188",66115.5103970617
"189",61905.5615684104
"190",66242.1673914458
"191",61075.8477393696
"192",68301.2717492071
"193",62839.8116284584
"194",74907.1345610967
"195",66326.6209811811
"196",63301.4430618915
"197",68271.6597640256
"198",54186.9335707387
"199",68144.5596378372
"200",57752.0721522341
"201",67091.490251484
"202",67272.9121972153
"203",63564.9368774771
"204",76179.1537002719
"205",60656.5153539912
"206",62153.7650784117
"207",65985.4026575522
"208",74951.9933449675
"209",64183.3589030235
"210",66842.0403598862
"211",64147.0132265802
"212",59585.964441645
"213",72027.350973875
"214",57278.3472401737
"215",77715.2468666912
"216",67759.8043799957
"217",69335.4831408474
"218",53191.1560575136
"219",61075.3563222381
"220",61075.6739260209
"221",65854.7732958578
"222",68822.1008418029
"223",68895.8505867305
"224",68998.9759477695
"225",62306.24319456
"226",66187.1115091324
"227",67225.4048092188
"228",64217.8993678749
"229",64502.6276460496
"230",62377.970143904
"231",62002.0159535604
"232",69321.1577751916
"233",55624.2092337344
"234",69624.8560195094
"235",62493.2945978451
"236",69901.1603928021
"237",65713.3530634784
"238",62028.3372839533
"239",71838.7683370347
"240",63674.1325409558
"241",60348.0866771386
"242",69785.4591637897
"243",66627.7689873259
"244",60399.0227419635
"245",57242.7917002741
"246",61854.6012301197
"247",69068.7253238997
"248",73097.0695504676
"249",63600.545480172
"250",59905.4083584864
"251",63371.1016215156
"252",72990.2106488458
"253",63678.8524420718
"254",66249.5642188657
"255",64919.9822743288
"256",62974.9994902031
"257",63367.7441442491
"258",61159.3556646549
"259",58012.0495056337
"260",66762.470763833
"261",63487.7452872895
"262",63677.3884494747
"263",63398.3761670634
"264",67709.7432608302
"265",63829.1352492269
"266",60992.2052719362
"267",69707.2934233001
"268",64738.6584907305
"269",65525.0189814206
"270",63552.0667762813
"271",68849.4943436751
"272",69642.5533464938
"273",70080.0202155148
"274",70029.1587556498
"275",68206.6143080868
"276",67140.7242423044
"277",58442.3724104214
"278",59883.8514883546
"279",66834.9527634674
"280",63692.4144459414
"281",70787.5533080548
"282",68434.2845105278
"283",70970.8858016586
"284",59339.9015200355
"285",63071.5063758436
"286",67159.7952484535
"287",65448.777723198
"288",59981.8798529716
"289",69022.734943765
"290",58714.9628856889
"291",67422.4811011016
"292",58821.4678503378
"293",59618.4477298968
"294",60312.4550794014
"295",68703.6423107049
"296",57783.5129481204
"297",70902.2531928433
"298",65876.6529787367
