"","x"
"1",10377.2777460965
"2",11378.7576222358
"3",12611.7121676569
"4",12368.9252581872
"5",10852.7207458025
"6",11526.1768908228
"7",12523.2016564956
"8",12891.8000914001
"9",11214.6306566651
"10",11524.2268777537
"11",10352.6502015004
"12",13804.0999310333
"13",13734.7345389872
"14",11405.9028163855
"15",12107.487997822
"16",10446.4146383656
"17",11242.6952368941
"18",11849.1001658695
"19",12249.058225255
"20",11779.5869139661
"21",11695.1943559945
"22",10932.2850343097
"23",11469.00437455
"24",11613.5393369322
"25",11160.6855967313
"26",11455.2310145845
"27",12520.1248374386
"28",11566.3811058574
"29",9793.96468214289
"30",12058.8961776497
"31",10300.08179723
"32",11923.4459126137
"33",12557.6641678254
"34",10367.3139767541
"35",9807.48257735958
"36",10505.4076394425
"37",10418.1761829098
"38",12546.3480825116
"39",12228.7311481489
"40",11840.6856057505
"41",10291.1511531683
"42",11516.8987279108
"43",11501.5935966604
"44",11150.6699470674
"45",11259.5765278813
"46",11886.7399008794
"47",12201.1990890777
"48",11219.6256414236
"49",11719.6585290911
"50",11922.9858436463
"51",11638.3759414163
"52",11079.0392932617
"53",11471.2434252682
"54",12570.4029602747
"55",12075.6034632696
"56",11622.7959485113
"57",10972.4420283237
"58",10749.8122324394
"59",10892.0427950411
"60",11906.7930165972
"61",11809.8987185006
"62",11170.0045043479
"63",10743.4805040659
"64",12233.0693392933
"65",11434.5138182199
"66",11752.7304982345
"67",10764.1798050119
"68",11351.1401293135
"69",10539.4750869076
"70",10498.7675891658
"71",11636.2975717586
"72",12502.5437212847
"73",11154.4209252637
"74",11248.1975852244
"75",10090.7799770699
"76",10865.6045114092
"77",11037.8195940594
"78",10467.0014625585
"79",12042.4617153008
"80",11604.8274199381
"81",10009.2950099915
"82",12358.6963377077
"83",11951.9448906822
"84",10188.1967718215
"85",12131.3166214969
"86",11138.9197136467
"87",10555.7537690002
"88",11755.7777945177
"89",11691.0237242795
"90",11122.3413820852
"91",9708.40318438086
"92",11719.495651296
"93",9924.7507115378
"94",10989.3085737387
"95",10699.2804524203
"96",10301.2660918007
"97",11258.3907553703
"98",10930.4690343354
"99",10538.2359540379
"100",9702.19719989444
"101",11376.9934234987
"102",11702.227755804
"103",10461.6750592389
"104",12421.5190497905
"105",12542.0483546851
"106",10989.3424729486
"107",11847.8756319919
"108",11852.2996307156
"109",12038.5259257182
"110",11954.8293162994
"111",10875.3767995481
"112",13187.4246787822
"113",11394.7933522522
"114",10432.0972272151
"115",12062.2672200212
"116",11250.0079118587
"117",11500.7179334574
"118",10610.348954206
"119",11129.1427784334
"120",10630.5983545507
"121",12606.278802518
"122",11888.3546549966
"123",11657.87994185
"124",11102.8283990535
"125",11941.2871844879
"126",10668.705412527
"127",11002.3510358393
"128",10705.0846210498
"129",11929.7730894024
"130",11241.9615996431
"131",11379.2364253993
"132",13798.2818114923
"133",10739.6079595021
"134",11178.2296213164
"135",10920.0693147237
"136",12166.8230150423
"137",11583.0264621459
"138",12072.6472297372
"139",11209.5692658328
"140",11019.5983867307
"141",10381.3825124017
"142",11664.908873955
"143",11322.9280566757
"144",12038.5749926062
"145",12572.0538575753
"146",12267.3779247543
"147",12270.7656502048
"148",12197.0974315911
"149",11393.645580517
"150",10341.0130746121
"151",11160.5882301337
"152",10731.2094504014
"153",11519.7138660582
"154",10510.4594071122
"155",13140.6918526374
"156",11207.6298126711
"157",11788.4503245157
"158",11347.8163780529
"159",13271.0618587407
"160",11817.3452226114
"161",11670.4195623403
"162",11107.476761766
"163",10060.2113749132
"164",11089.4341863208
"165",12141.1276468955
"166",11779.0902127441
"167",11263.2889463617
"168",10469.9747397182
"169",10630.4274898551
"170",11078.2535017858
"171",10744.7643257922
"172",11810.9900437061
"173",12485.8544507904
"174",12025.9710948598
"175",11401.2390792401
"176",12188.1028904464
"177",12277.052792584
"178",9976.36741257211
"179",10456.9237979593
"180",11977.9830931099
"181",12261.1736823242
"182",11621.1395133255
"183",11487.8492044015
"184",12772.8042445217
"185",11783.9285089246
"186",11809.0546719446
"187",10830.6190968431
"188",10158.5137469194
"189",10370.6386671623
"190",11693.3977653794
"191",10946.5246058586
"192",11855.7510662451
"193",11228.7990230011
"194",12099.6846954388
"195",12534.6358458215
"196",11696.8434000858
"197",12153.5330441301
"198",10483.1191181021
"199",11010.5018692675
"200",10597.056854831
"201",12099.7894992292
"202",11799.6714245647
"203",10824.3789899918
"204",13696.8340946156
"205",11745.8431549874
"206",12064.1083876404
"207",11925.6020924248
"208",13735.6060373572
"209",11616.5391356303
"210",11672.2251637556
"211",10913.8893146597
"212",10320.9748275748
"213",11741.8442833821
"214",10721.4319533728
"215",13012.9071597382
"216",11736.5379978321
"217",11460.240354741
"218",9352.54323132042
"219",10420.2826361881
"220",10621.321045801
"221",12098.6758629756
"222",12279.8365331598
"223",12019.9244085059
"224",12554.7726318335
"225",11038.713419214
"226",11274.7957824997
"227",11640.0158090963
"228",11752.6305648162
"229",10882.461764721
