"","x"
"1",10021.1272159063
"2",8974.43468320552
"3",9471.99293466484
"4",9102.76621704636
"5",14882.4588312689
"6",8304.91640329625
"7",8095.56337881041
"8",9608.9197898355
"9",10695.4906262548
"10",10091.8184730291
"11",6652.65381852906
"12",9596.55275708387
"13",10604.2374057819
"14",8095.52823555225
"15",9743.02179298336
"16",7072.34132810948
"17",8341.01602886909
"18",7257.07384882382
"19",9163.25985037342
"20",7906.89936805686
"21",8979.31856989905
"22",10299.5052350147
"23",10950.9807463687
"24",10345.4262937473
"25",8891.68464059021
"26",8074.21723354712
"27",10878.870153374
"28",7675.72036339638
"29",6593.34327048477
"30",7874.84690955528
"31",7226.66653549578
"32",7753.86546521261
"33",9642.06543844989
"34",10251.7354221766
"35",8377.82912895326
"36",9397.76664742432
"37",8811.79555271246
"38",8978.52051408372
"39",8960.54905707514
"40",10316.981849189
"41",9896.2832130488
"42",9015.95993783631
"43",8185.17890565344
"44",6837.61448006421
"45",10731.7668797144
"46",10494.260183476
"47",10190.4172045853
"48",12279.1625872457
"49",8680.47211953199
"50",8536.23532266865
"51",8960.37660768957
"52",8068.86137672297
"53",7874.33596784352
"54",6510.22399782419
"55",8833.14291980758
"56",7690.74847807765
"57",8766.91159355991
"58",10007.1841036496
"59",7567.91070075681
"60",8093.03621916171
"61",9611.8397691145
"62",8581.56476528246
"63",8331.72759949133
"64",11391.0929496641
"65",8540.36175718984
"66",8529.63335399463
"67",8809.00551682135
"68",8274.94400472837
"69",10487.0413300858
"70",7246.39760367866
"71",10090.2568231714
"72",12489.7641360283
"73",8706.27627329297
"74",8175.15102602885
"75",9080.76410984697
"76",10969.1985909363
"77",9458.46459411698
"78",9095.92840085101
"79",9240.73024503473
"80",8601.45382483245
"81",8398.42701004896
"82",9716.90778905121
"83",9984.08333820717
"84",8491.34330207045
"85",7930.49142214436
"86",9412.59831626846
"87",7890.79323991363
"88",9527.17721018816
"89",11766.6185945369
"90",9319.31479475261
"91",9327.18719621223
"92",9223.77633305838
"93",9695.81731612378
"94",8289.28640711937
"95",7972.84543471883
"96",8209.61140988251
"97",11353.6878760068
"98",7042.71348746095
"99",9088.26377276492
"100",7738.24678950672
"101",9092.49758889203
"102",9150.54375128416
"103",9485.75047246562
"104",7977.89105549348
"105",8943.40393620512
"106",9820.80085282636
"107",8807.4605922783
"108",8587.34421541812
"109",8218.27805654526
"110",9173.22770377668
"111",9502.03843903208
"112",7226.76638797864
"113",8599.00416418644
"114",7917.85582363951
"115",8897.66948173963
"116",10775.3880210755
"117",9695.71396996251
"118",8307.39467681066
"119",9189.99845928032
"120",6696.25020487523
"121",8409.66944830539
"122",14561.2452523247
"123",10202.4243933883
"124",10946.774353056
"125",9342.45864295037
"126",9174.68743943336
"127",9701.45192750341
"128",8680.57000139351
"129",7635.87838572054
"130",7331.31791002962
"131",8524.49459103031
"132",8802.88560325587
"133",7825.78355680749
"134",6917.68640693933
"135",7567.87732291459
"136",10443.0352059551
"137",7610.75732626385
"138",9864.80874335621
"139",7505.17864848403
