"","x"
"1",871.138422695213
"2",657.667574372915
"3",710.130291771194
"4",550.576303624095
"5",762.707178228535
"6",538.698311242889
"7",815.529635231756
"8",880.083368484003
"9",882.487903385234
"10",1040.12289755592
"11",463.481776219391
"12",777.331513820358
"13",638.0396942954
"14",604.881555562379
"15",644.441161118772
"16",533.080243240526
"17",790.94462782399
"18",720.427900717923
"19",796.187254823685
"20",770.83224914645
"21",688.744703801768
"22",556.213733595222
"23",728.743514470649
"24",994.920415170249
"25",830.614265439777
"26",581.185878277167
"27",893.836546640499
"28",849.70199241292
"29",663.194879627779
"30",717.63213750899
"31",643.84424873316
"32",604.770953061369
"33",765.724577108776
"34",786.366462931263
"35",590.200771165604
"36",796.456743959907
"37",573.499130096735
"38",866.551272933235
"39",717.929162676953
"40",893.984139668473
"41",788.760261929425
"42",671.49930184129
"43",789.562504205856
"44",595.852556435667
"45",666.655533663411
"46",1022.75077485932
"47",793.921857473085
"48",843.125163782622
"49",636.149229581455
"50",749.519380110938
"51",690.606682099522
"52",885.060723601591
"53",635.31994138355
"54",492.43736513912
"55",620.684968213878
"56",503.984331281605
"57",753.399544895446
"58",805.406069419164
"59",570.103797658708
"60",679.059592790774
"61",811.768292156625
"62",664.750144741809
"63",570.934666286887
"64",871.872639442744
"65",634.263867588067
"66",609.229464432734
"67",447.453661438174
"68",833.531707444415
"69",925.395280617462
"70",776.71453286533
"71",1088.11771056677
"72",1070.71749487482
"73",687.019464700933
"74",655.388798190882
"75",774.53811717648
"76",920.714752585929
"77",944.911095449083
"78",818.125781653819
"79",807.990003659706
"80",735.238312037183
"81",934.089029588395
"82",769.231783655606
"83",771.031377244087
"84",702.656189720546
"85",548.552638894462
"86",692.334508676917
"87",439.246532849815
"88",864.552899843738
"89",1169.82242502714
"90",795.971377702882
"91",561.931275152671
"92",574.06167470406
"93",646.452776509895
"94",489.007537521976
"95",857.812526181226
"96",819.96855866897
"97",906.647998409607
"98",807.368386554787
"99",898.657567916728
"100",456.375613483472
"101",686.224823858382
"102",657.845800014255
"103",711.222877978703
"104",562.674846039639
"105",701.431279932238
"106",636.692154603776
"107",678.617729690977
"108",789.701231204033
"109",639.322567498177
"110",781.791145776613
"111",573.121398571679
"112",633.97570308278
"113",865.474832287644
"114",906.792751221446
"115",915.981821605756
"116",1086.41849723148
"117",1125.77837836355
"118",627.182416217224
"119",802.467270816468
"120",672.539583961802
"121",635.053641947941
"122",1049.02760113584
"123",636.781289322823
"124",821.376868660061
"125",893.935762145436
"126",1042.12077676562
"127",880.658750973032
"128",698.656416784392
"129",611.09017485826
"130",681.528014057518
"131",771.025650710265
"132",633.914219658171
"133",572.891250470277
"134",558.087669084499
"135",573.294423653978
"136",1007.90927264672
"137",640.01116776844
"138",798.352686748027
"139",523.393155357967
"140",988.094990984581
"141",883.046488647972
"142",898.909446012895
"143",780.556893027823
"144",688.497743262929
"145",966.274844707734
"146",668.321940950947
"147",540.113156278792
"148",849.307451511318
"149",479.028899641925
"150",793.866514914765
"151",673.6032216241
"152",641.819726039521
"153",688.223351065124
"154",541.93146257058
"155",735.412293016639
"156",756.198279366264
"157",1074.11557695466
"158",652.574445929044
"159",892.273012937972
"160",642.326497956596
"161",665.184966501226
"162",969.463968811525
"163",635.856650244901
"164",765.940235470526
"165",836.841511864783
"166",703.749025682815
"167",653.767798214508
"168",866.913767008329
"169",760.166721577254
"170",652.80506308138
"171",688.613581769631
"172",717.698125783696
"173",575.682256538196
"174",716.241220974435
"175",1125.78150252181
"176",991.188885515764
"177",713.110861108551
"178",729.291749876834
"179",786.944902994692
"180",539.476781439933
"181",763.797291833782
"182",446.275322558499
"183",827.15281387277
"184",670.305191510711
"185",640.914212670926
"186",752.398492354004
"187",1038.23651123814
"188",687.123378303178
"189",752.383974023452
"190",463.167834942511
"191",569.840501613865
"192",656.849249446229
"193",598.864106644403
"194",648.253767742338
"195",797.29441870466
"196",1027.68476011819
"197",638.521762062453
"198",912.048464220024
"199",665.315222238284
"200",980.256880558576
"201",522.421577909622
"202",959.921541342016
"203",519.842927588611
"204",1040.09713929397
"205",489.655280361995
"206",472.717730781088
"207",984.957867475118
"208",617.752643824288
"209",906.248069904238
"210",760.337613290006
"211",1045.71325121408
"212",742.119208471023
"213",487.307294343568
"214",1096.9424765911
"215",756.041193151749
"216",691.960173193842
"217",597.440157719056
"218",767.850261520464
"219",646.187724250338
"220",950.814566067115
"221",663.376484534791
"222",755.864003349246
"223",897.874969425277
"224",512.812359860118
"225",567.375388795643
"226",844.581751105989
"227",750.011430574532
"228",648.549021558893
"229",648.490885854373
"230",925.107366357502
"231",634.006942082376
"232",591.267904763763
"233",498.454991477371
"234",910.279607619432
"235",881.297435950002
"236",536.302036722661
"237",637.561250595581
"238",1044.41952367396
"239",610.322185756699
"240",782.734626841876
"241",787.614578631896
"242",742.789660279724
"243",569.72485220688
"244",929.615818015177
"245",870.656284406103
"246",679.801599749196
"247",1223.83205863349
"248",1031.0137604941
"249",725.326881203649
"250",596.856980989359
"251",622.62645269049
"252",596.703048586195
"253",768.337989466471
"254",888.719963054821
"255",1342.2635191248
"256",691.913521609692
"257",727.501661037444
"258",878.78266059992
"259",793.365933750274
"260",629.644651644383
"261",685.177218072294
"262",635.507466276445
"263",658.76585474571
"264",814.10574828413
"265",1090.39103275839
"266",578.087764080621
"267",968.960780589455
"268",733.08752635237
"269",886.172126450131
"270",993.280572165305
"271",749.737183790313
"272",795.231907757821
"273",717.573433729701
"274",979.46955131006
"275",765.759811240506
"276",742.227015085944
"277",775.88854961531
"278",762.609505410867
"279",731.949445125698
"280",618.594951299845
"281",501.735967898643
"282",797.556578037734
"283",873.040883395584
"284",924.583649674426
"285",757.117817412849
"286",630.453666786844
"287",754.339503696008
"288",765.691006133814
"289",669.811816661036
"290",602.132500701921
"291",740.359802858831
"292",675.57822476298
"293",867.325132040755
"294",469.039440108128
"295",668.992290893976
"296",455.385155730382
"297",662.35846496179
"298",723.577172442602
"299",524.289798519749
"300",543.015915026306
"301",616.338901709707
"302",847.216447664767
"303",872.270889850683
"304",565.575500666155
"305",549.557310493548
"306",701.62860084705
"307",774.888536751226
"308",474.053377381383
"309",782.423411376169
"310",971.304396529153
"311",739.1448165734
"312",570.3642591183
"313",853.144060273233
"314",473.845242029504
"315",625.71877306141
"316",565.950616959954
"317",655.776236551604
"318",909.031010755131
"319",693.674252540503
"320",611.048683750897
"321",849.630005887233
"322",734.816962519231
"323",633.530487367493
"324",730.439071832879
"325",799.741696111042
"326",680.484594247278
"327",972.129333155389
"328",687.497328639817
"329",775.935826516173
"330",941.670397189224
"331",930.743933807063
"332",768.613348008567
"333",850.826534419577
"334",639.936820165584
"335",550.371018234664
"336",634.723087377006
"337",635.495522357985
"338",843.19770307354
"339",688.18322822485
"340",1264.54704408081
"341",927.935264244742
"342",679.190303928878
"343",833.056842519015
"344",775.432882423037
"345",677.64585988784
"346",605.493277045639
"347",721.381608210846
"348",704.393025811519
"349",655.770635067761
"350",686.104722093178
"351",676.803039766255
"352",859.709713086606
"353",932.704052371464
"354",990.03249990283
"355",771.436892139408
"356",641.438586204008
"357",772.54908032763
"358",457.972828530241
"359",872.638128562758
"360",692.454241688071
"361",1012.26317184445
"362",588.146556958415
"363",659.759245784119
"364",825.33189742887
"365",849.353047146671
"366",514.2067156767
"367",637.634350986983
"368",843.903740880212
