"","x"
"1",2069.05640411133
"2",2033.83630918433
"3",2762.77450391074
"4",2639.28908629989
"5",1709.95948275435
"6",2139.0837431173
"7",2286.54722519876
"8",2427.87476631512
"9",2180.40877508671
"10",2814.33213947451
"11",2117.08612950408
"12",2360.08556195986
"13",2613.94479722955
"14",2481.33932617495
"15",2309.87013731965
"16",1719.73075461745
"17",2711.79339658007
"18",1984.0305561651
"19",3050.58663471645
"20",2061.78556203016
"21",1781.81484996793
"22",3254.77840267819
"23",2288.83758379954
"24",2332.65267611242
"25",3108.34192407774
"26",1785.37692320306
"27",3616.42989180257
"28",2431.86870520018
"29",1953.08717673287
"30",2438.31931171425
"31",2829.27040119042
"32",1925.3187033998
"33",3046.42966795687
"34",3043.64006792709
"35",2283.01932198913
"36",2222.58398167364
"37",2380.11380384046
"38",2187.64585835794
"39",1798.85438165871
"40",3091.57550609431
"41",2125.89674826282
"42",2119.34468477505
"43",2960.49969025155
"44",1847.68516781272
"45",2774.37159069248
"46",2092.66753054869
"47",2472.24581982647
"48",2993.25738095736
"49",2458.88034312819
"50",2010.29077661323
"51",2503.49948147097
"52",2453.06992518563
"53",2688.34140766361
"54",2162.07155149116
"55",2533.40272442767
"56",2177.91178929186
"57",1966.71081181462
"58",2435.61561148791
"59",1962.89642547957
"60",2413.0818964616
"61",2583.68299255564
"62",2014.50059323811
"63",2566.42054089312
"64",2946.61523988325
"65",1624.82082892512
"66",2905.98542996879
"67",3381.44660016393
"68",2018.8555697606
"69",2363.6297655371
"70",2390.0903510287
"71",1978.08076444104
"72",1670.51149510164
"73",3177.05078269856
"74",2323.35963477574
"75",2133.2664121631
"76",2103.55108041231
"77",2081.38012758607
"78",1923.48063014666
"79",1808.07955447514
"80",2073.57589241854
"81",2085.17257887325
"82",2112.25220045197
"83",2830.87469496853
"84",2233.48221446652
"85",2641.46973702649
"86",1731.63730318836
"87",2874.72671211098
"88",2215.24465772372
"89",2277.01054001344
"90",2294.50322488985
"91",2759.83577613108
