"","x"
"1",7773.04005634193
"2",5114.55960814574
"3",4672.65598404838
"4",6721.78675602566
"5",6531.31721674577
"6",4617.49336056783
"7",5171.50449127389
"8",7545.02560125394
"9",5483.73879501236
"10",4158.97398791423
"11",7757.89778016321
"12",2955.85500025632
"13",7383.78709880496
"14",5000.10418912824
"15",4330.14482813313
"16",5719.85431076835
"17",5419.07726210991
"18",4682.71746565208
"19",5467.32086143182
"20",3946.07830833683
"21",7022.25516221536
"22",4093.13609842958
"23",5873.53713773094
"24",6795.93399280308
"25",6047.66892835206
"26",5058.5361962694
"27",5494.90951191058
"28",6009.290033595
"29",6386.50741328413
"30",5159.21604460602
"31",5151.4409532587
"32",5575.31725292094
"33",5890.1319518541
"34",7039.82619259051
"35",7704.98649218856
"36",5263.64923951465
"37",3988.40261921225
"38",5620.94147356521
"39",4254.53261648087
"40",6620.86485398708
"41",7327.50924635363
"42",4502.60247394802
"43",6487.21378802421
"44",4539.75414932672
"45",7108.52539763951
"46",4558.68605225994
"47",5727.6809893151
"48",5356.75885945801
"49",6503.3750806238
"50",6649.4054100781
"51",3143.50048037435
"52",11062.8895268859
"53",7430.57631613503
"54",7077.47465686917
"55",4714.37142172948
"56",5469.12570158249
"57",6047.73285707717
"58",7904.18165504274
"59",6243.34582713977
"60",4524.62794434998
"61",6602.26494884169
"62",4074.41968978173
"63",5872.22948189738
"64",6149.13645195321
"65",8278.40375194643
"66",6313.36942953769
"67",5071.60023490056
"68",6881.64528665204
"69",5163.94111688425
"70",8364.10504543576
"71",7335.68180568751
"72",6011.9651682771
"73",5168.11231439225
"74",9378.75705524814
"75",3408.7403675068
"76",6236.07826523592
"77",8344.23274274929
"78",4210.98075230899
"79",8387.53892855553
"80",5912.68222371909
"81",7297.40022907292
"82",7466.16435063358
"83",4880.74325352013
"84",4913.84544874524
"85",4644.48284440213
"86",4342.37909972672
"87",7616.56872777334
"88",4238.95811361726
"89",3714.20737304657
"90",6908.62594833426
"91",6376.30349606272
"92",3850.10931504378
"93",6742.6175033285
"94",5408.37903782314
"95",6202.97329388316
"96",6646.30859639033
"97",3020.13633831804
"98",5718.23492653602
"99",7262.59002726659
"100",5302.92471699257
"101",8536.98092982521
"102",4437.84526454344
"103",6083.79247718812
"104",4373.30490765332
"105",4293.65282185956
"106",5867.02347527636
"107",6396.77083761124
"108",4520.59673897178
"109",4620.36193589836
"110",5930.21442407426
"111",8618.40548381345
"112",4261.48430964972
"113",5928.75553162971
"114",4965.43848547756
"115",5175.23850253185
"116",8546.11273224135
"117",6672.84644797189
"118",4781.31486259572
"119",6817.33343532882
"120",7368.46307008077
"121",6001.9886369696
"122",4707.25071648702
"123",6858.34781031294
"124",8146.96675423306
"125",6964.90261624002
"126",3998.95497469441
"127",3321.10211051672
"128",3923.87972482257
"129",5107.16549434989
"130",6355.3394899294
"131",7560.19871892267
"132",7384.71089396823
"133",6654.02599979346
"134",5420.10062999133
"135",5854.04241731282
"136",6382.91928706634
"137",3851.95620624335
"138",7030.19825980425
"139",5349.22972299731
"140",6530.90592959217
"141",7365.75707171565
"142",7110.12816570196
"143",6717.95225660528
"144",5337.77036734907
"145",6394.59917864379
"146",5828.1604667844
"147",5120.79304902569
"148",8608.50804843039
"149",8077.5487880043
"150",5249.79889135119
"151",6207.22294914481
"152",4694.91341699464
"153",5753.99113945766
"154",4410.92656864611
"155",5792.96311255561
"156",3933.17683507482
"157",5336.12200031491
"158",6380.21621832729
"159",7137.75860479117
"160",7827.01581054604
"161",7020.14235861474
"162",5433.25516778355
"163",3651.63300394085
"164",4454.92612240624
"165",4726.49461210875
"166",4944.23649297551
"167",5680.42294681274
"168",9858.28798764815
"169",6875.91240320912
"170",7415.50955646143
"171",4895.90742830908
"172",5202.57978616007
"173",6269.9930608672
"174",4863.30204891226
"175",7289.4486131617
"176",5651.15428501368
"177",5091.71752803992
"178",4277.99032907325
"179",5099.55364553767
"180",8322.63274899153
"181",4841.47087835419
"182",3889.34610776703
"183",6518.05092675077
"184",4944.37342020295
"185",6331.40312327557
"186",4121.91311330558
"187",5403.23653487967
"188",5463.67275780139
"189",6420.39120225907
"190",6093.17187029041
"191",5460.97305472723
"192",3796.25471171203
"193",4821.91203049892
"194",6394.80718074216
"195",4000.08878587998
"196",4488.4099456469
"197",7532.53140004627
"198",8750.24787559265
"199",5331.45025992371
"200",6338.54713071227
"201",11747.3486518614
"202",6345.06498172149
"203",5080.06452205056
"204",6521.66801212987
"205",4299.61988677923
"206",3058.90729844751
"207",7370.87605113071
"208",5980.53418852839
"209",9346.20404546488
"210",8568.78781566196
"211",4731.580054228
"212",6985.26961709964
"213",5409.44086765737
"214",5636.09580928393
"215",4218.89514002409
"216",7273.61837527042
"217",6569.96955444208
"218",5675.87853473875
"219",4263.90542707581
"220",4349.17688833879
"221",5383.21819906897
