"","x"
"1",78694.4490212316
"2",80421.805924043
"3",86437.769664848
"4",82247.2360384392
"5",79782.0297507233
"6",77274.7518357985
"7",81207.2776103563
"8",82092.49035296
"9",78595.621182748
"10",78023.3162150087
"11",83006.6010010544
"12",81240.5357933095
"13",73969.2415833655
"14",86918.274176365
"15",80927.7926868542
"16",78444.2254889221
"17",75991.730651294
"18",86873.7347284347
"19",84667.5051645963
"20",88448.1742686878
"21",79819.1480059702
"22",83772.1267565071
"23",82120.4181231196
"24",80297.7548669533
"25",79714.6981192392
"26",91996.9665560747
"27",83054.5724531405
"28",83411.5136532987
"29",82434.7006456773
"30",82241.4620873683
"31",88488.0693940006
"32",73219.5130220922
"33",83894.9701520859
"34",79748.1332771686
"35",77659.3313136962
"36",77099.3596603693
"37",74315.9803172929
"38",92343.217319203
"39",85494.4802759718
"40",83383.572635038
"41",90275.4170113144
"42",83492.6424384941
"43",89997.8954143404
"44",86399.3869627102
"45",77604.2827095021
"46",75925.6870749882
"47",82411.0606207604
"48",83360.8670740888
"49",92697.7000458314
"50",80046.817813887
"51",79784.7750043379
"52",77114.4223782014
"53",81538.1648194899
"54",82128.8311830087
"55",88691.4344930811
"56",80079.4112259938
"57",73638.5762224024
"58",76979.1348880658
"59",81539.4965023979
"60",83098.8749742975
"61",75749.5205764762
"62",78290.5771830246
"63",82802.5900733468
"64",77195.2828419984
"65",80103.503728618
"66",83869.6751554006
"67",79329.7945828508
"68",80065.1369949169
"69",77584.62292386
"70",80075.761237269
"71",84895.5453674942
"72",84341.7725058727
"73",84912.6805151087
"74",79197.4221203466
"75",82645.6971949847
"76",79073.7669319112
"77",85642.2670878016
"78",69805.839656773
"79",79748.5618202224
"80",89922.7531949679
"81",81726.4886777247
"82",80722.8794128078
"83",81497.8573852153
"84",73466.3257062504
"85",82434.4491828094
"86",71680.6839234338
"87",80968.3350194265
"88",79276.8061303147
"89",79240.4798822091
"90",81909.2041521288
"91",77566.3378199869
"92",83116.5146596136
"93",81781.9921726623
"94",84306.3293864158
"95",90833.7414041835
"96",71864.4710815184
"97",82881.9285870472
"98",88884.0197303474
"99",79085.5745145794
"100",82854.7096737583
"101",80718.1032104303
"102",79918.3659056083
"103",81952.7341780268
"104",85727.0694747455
"105",87342.4645789503
"106",81324.0127628323
"107",85434.296542218
"108",82870.3160284942
"109",83386.8089481922
"110",75950.8180289916
"111",80434.6645043337
"112",81819.4626241126
"113",84543.9654998384
"114",93789.2773186994
"115",87189.7467570077
"116",81077.1163771099
"117",75462.1966181483
"118",83638.051201954
"119",76779.5382239554
"120",82517.383266574
"121",83835.2768793952
"122",81681.6871511811
"123",80188.812276793
"124",86871.5445519232
"125",77652.3526510834
"126",81309.9979131324
"127",88072.2831451361
"128",76758.4752875665
"129",79678.4462354551
"130",70027.0324226993
"131",84206.3651388052
"132",83848.9197942974
