"","x"
"1",11754.8302998074
"2",13014.1731637014
"3",13043.1163778325
"4",13031.6322456497
"5",12053.0302789108
"6",12883.5281740285
"7",13279.1524651538
"8",13636.8638216161
"9",11442.7196386121
"10",12016.5064394157
"11",12619.8043368952
"12",12319.0967795958
"13",11698.8008324186
"14",13448.8318042207
"15",13006.2839821032
"16",13064.0899599941
"17",12758.059661418
"18",12660.0982464362
"19",12986.253821849
"20",13747.2579862826
"21",11958.3934143612
"22",13447.6355224206
"23",12111.862574098
"24",13192.499687864
"25",11946.221140704
"26",14675.6412724557
"27",12612.5660349737
"28",12555.5943255349
"29",12696.2973993118
"30",12681.4973180428
"31",13087.0968562995
"32",11206.4447023847
"33",13251.8569094236
"34",12057.2382613325
"35",12281.1400961237
"36",13162.9088818924
"37",11998.9177001696
"38",13897.782746536
"39",12641.6268678203
"40",12490.7705259097
"41",14157.5716684133
"42",14250.5828713336
"43",12994.1267161921
"44",13725.1328734702
"45",12216.3103042592
"46",11749.1562858411
"47",12496.7161991734
"48",11819.2101570974
"49",13883.2280511746
"50",12502.0700521127
"51",12233.9828908892
"52",11846.8878988465
"53",13272.5451899057
"54",12752.2064030774
"55",14548.6486205867
"56",12795.1777593562
"57",12970.1342852062
"58",12131.4485497301
"59",13562.153338573
"60",12701.3049924995
"61",11484.267568676
"62",12167.50151897
"63",13608.4423952464
"64",12050.1308212623
"65",12345.6866916415
"66",13904.9648929531
"67",11767.685208533
"68",12773.0920601708
"69",11647.5808683688
"70",11809.2524855832
"71",14030.1167689821
"72",13631.8949817607
"73",14391.4409791699
"74",11974.9001053978
"75",12107.777350869
"76",11856.6671917591
"77",13187.9487733003
"78",10027.0359882624
"79",12761.9283771249
"80",14666.3099740109
"81",12440.8363992137
"82",12609.0996538089
"83",13589.6411587154
"84",10338.3283158852
"85",12426.321431636
"86",11082.7905243573
"87",12738.0860273472
"88",12119.743893287
"89",12631.1390558859
"90",13193.0269569195
"91",12519.8274290131
"92",13100.6610190122
"93",12838.2587845149
"94",13126.6990292691
"95",14116.4413759349
"96",11034.1629946263
"97",12980.4522710536
"98",13730.051924786
"99",11962.949101982
"100",12959.6066956833
"101",12432.5099543604
"102",12613.2348676566
"103",13425.9850751406
"104",13711.7429792863
"105",13715.5433670316
"106",12934.6333729942
"107",13284.4614009755
"108",12238.2621102142
"109",12827.431895091
"110",11734.3883383569
"111",11991.8888312184
"112",13237.5936573617
"113",14302.8571109091
"114",14176.4329677162
"115",13634.8348428405
"116",11871.9616661184
"117",10671.021186584
"118",12742.9462350914
"119",11833.3569823602
"120",12941.3759399856
"121",13022.1049974846
"122",13273.2326036514
"123",12456.6337040945
"124",14406.0485308041
"125",11371.3001475111
"126",12621.1756431896
"127",13786.9917842464
"128",12671.2531542309
"129",12631.7934566343
"130",11939.3692417591
"131",12756.1792649377
"132",12836.0032794307
"133",12835.5998749425
"134",11591.2411675914
"135",11543.3880482995
"136",12505.5185269452
"137",11385.2314077332
"138",12315.2072501308
"139",11146.9021084489
"140",13052.7217018469
"141",13866.2301096237
"142",13000.5792937276
"143",11819.9067352992
"144",12459.8541857736
"145",12795.5974949278
"146",11958.9788489354
"147",12485.3581155791
"148",12744.2249938436
"149",13564.0797191123
"150",12307.807240515
"151",12112.6032393643
"152",13271.8874887675
"153",10548.1653438042
"154",12027.1450818626
"155",13023.2500511445
"156",12336.3388251013
"157",13533.0385877585
"158",12514.8716771744
"159",12731.6457527448
"160",13166.7315897564
"161",12035.5067836567
"162",12733.4399780111
"163",12367.3265072379
"164",12904.61205496
"165",12351.374906888
"166",13772.5369667496
"167",13379.0040453321
"168",12631.7620006182
"169",11636.3928972057
"170",11998.1039317615
"171",13805.7094484054
"172",12430.4893928446
"173",13024.3159923718
"174",12384.5695744763
"175",11377.5564810035
"176",10382.9389559467
"177",13044.1631421963
"178",12934.444183758
"179",12314.6193196618
"180",10914.6417023849
"181",11362.4363994058
"182",13078.7038384702
"183",11394.4355166968
"184",11933.9965833522
"185",12641.0305821086
"186",13214.8578532527
"187",11460.853314538
"188",12751.3408867293
"189",12299.9302946534
"190",13464.1092053012
"191",13002.7675748205
"192",12106.2969939733
"193",13176.3790928831
"194",11623.6748425579
"195",12303.0909245966
"196",11128.3889176763
"197",12391.7434468523
"198",11712.7896878458
"199",13115.3173546171
"200",10820.33127611
"201",11980.05945594
"202",12820.3946440781
"203",13062.6754168541
"204",12327.2964459202
"205",12215.2846346435
"206",12944.986334697
"207",12021.4259212284
"208",11908.4008128998
"209",14047.0615494603
"210",12596.8052220982
"211",12580.305980892
"212",12291.8558675786
"213",11524.5349712091
"214",14108.6951035221
"215",12923.9753889688
"216",11270.9413501753
"217",12818.1908274729
"218",11470.5238453971
"219",14616.7000492664
"220",12582.6318732234
"221",12674.3400449867
"222",13007.7719256195
"223",13498.5669825007
"224",13605.5123799892
"225",11977.970688387
