"","x"
"1",2019.39109912678
"2",2090.70463954465
"3",2556.40438388936
"4",2159.42529207325
"5",2282.43055197216
"6",2350.39056168082
"7",2289.21710564233
"8",2590.0840401911
"9",2324.48195785984
"10",2347.73879159781
"11",2303.68065886618
"12",2449.34900637355
"13",2372.61393995709
"14",2507.42359268156
"15",2176.34760729628
"16",2551.86449707435
"17",2078.52512349648
"18",1715.10702286634
"19",2255.06062872657
"20",2279.56642025137
"21",2342.87982671812
"22",2085.44509815771
"23",2217.59548758841
"24",2058.92934038332
"25",2279.44058621698
"26",2545.60412672454
"27",2483.81909010224
"28",2105.3230462938
"29",2701.2929666993
"30",2190.49515382131
"31",2823.03504206203
"32",1887.83866838073
"33",1498.6556477086
"34",1953.70437787063
"35",2135.80320792659
"36",1338.51894165843
"37",2451.34223031831
"38",1924.8427887217
"39",2216.50992444323
"40",1458.59558217885
"41",1722.18535038815
"42",3011.86166868064
"43",1932.01948401255
"44",2435.02941399607
"45",1953.28396135507
"46",1837.92323512735
"47",2699.9473996616
"48",1495.60864678119
"49",1975.32706042803
"50",1542.0317732982
"51",1819.42972371657
"52",1956.62921009625
"53",1629.04656324578
"54",2387.32918856227
"55",2354.00388387988
"56",2680.66773136812
"57",2287.7225195197
"58",1811.32306618645
"59",2393.31811646537
"60",2153.45814230128
"61",2281.73158450948
"62",2040.75278082689
"63",1352.71341840472
"64",1799.34474405748
"65",1866.97432380303
"66",2626.07892270312
"67",1902.8777078896
"68",1964.86700885514
"69",1610.20321386047
"70",1992.72235054796
"71",1925.63245413333
"72",2218.99285156687
"73",1886.20000757491
"74",2350.88136695276
"75",1800.85690359174
"76",2126.54077635313
"77",1634.47217926765
"78",2010.77082621227
"79",2611.27962138566
"80",2032.02942052657
"81",2515.19491567562
"82",1746.9469415346
"83",2755.69889257028
"84",2181.35819739884
"85",2420.69121512187
"86",2280.0019480355
"87",1928.3651268163
"88",1685.72406695041
"89",2306.74872688181
"90",2180.29342186586
"91",2857.0421920281
"92",2260.11989472118
"93",2636.323974021
"94",2249.15587056645
"95",1692.43787328636
"96",1699.56027220496
"97",1451.87785539936
"98",1998.8345645249
"99",2009.66021919296
"100",2526.69044593927
"101",1706.69265531615
"102",1728.10193474214
"103",2668.5411159235
"104",1705.00605700569
"105",2147.38213287853
"106",1912.25093483499
"107",2150.51874323326
"108",1654.89826765928
"109",2556.84413332459
"110",1793.26232081293
"111",1690.65345524773
"112",2603.66792151059
"113",2092.27680888037
"114",2821.50291155106
"115",2573.60075940896
"116",2122.72310552464
"117",1884.19786736132
"118",1829.69236311462
"119",1866.2888324169
"120",2287.69879180567
"121",1709.51972333533
"122",1840.25140161445
"123",2627.04115574204
"124",2324.12629638842
"125",1890.27236254838
"126",1854.39088372508
"127",1852.43479383632
"128",2246.90661369223
"129",1819.10016989685
"130",2377.74030453573
"131",2044.77358418009
"132",1648.03656121908
"133",2082.23803403658
"134",1736.6722727427
"135",1870.23692324789
"136",2200.02409678428
"137",1894.03619523
"138",1713.08894735606
"139",1940.97906175586
"140",1348.0147523317
"141",2054.52768797023
"142",2569.76151828248
"143",2556.42068608331
"144",1795.67386792856
"145",2459.1778054355
"146",1860.90433795083
"147",2060.31117066052
"148",2465.81451025649
"149",2202.34201279334
"150",1881.98157216091
"151",2035.90013368884
"152",2376.39134319386
"153",2177.29291840255
"154",1865.42718311326
"155",2371.27611468163
"156",2223.71499476947
"157",2203.74215335784
"158",2030.33003853533
"159",2504.34290394583
"160",3222.22772972119
"161",1363.32106203487
"162",2206.8838849112
"163",1910.52421554376
"164",2334.0483767143
"165",1853.59785054436
"166",2251.69821768164
"167",2095.72672275352
"168",1583.05153219312
"169",1937.4546361259
"170",2176.61864835921
"171",1800.8665428504
"172",2568.30915541736
"173",1820.7056130266
"174",2030.77814214053
"175",2309.57106057279
"176",1991.82843759475
"177",2154.12774917286
"178",2036.81239237489
"179",2077.40701219314
"180",2064.36465350317
"181",2279.82176303718
"182",1902.09522907823
"183",1818.17822400427
"184",2196.12243610574
"185",1817.34340674824
"186",1997.1490045346
"187",1731.89495281425
"188",2448.83778690916
"189",1985.64314534456
"190",1682.27560711288
"191",1671.00464399347
"192",1999.04668414458
"193",1590.82930406362
"194",2295.81174474096
"195",1837.63613205503
"196",2073.42469692065
"197",1658.27259242093
"198",1831.91973547987
"199",2110.31633321403
"200",1827.36109645744
"201",1817.08936926194
"202",1893.82607628154
"203",1365.92055881458
"204",2106.1752150793
"205",1945.05233455529
"206",2260.94696450632
"207",1850.39752171903
"208",2013.4705788895
"209",1524.46565217206
"210",1749.80867565217
"211",2374.417883992
"212",1666.58505068991
"213",1833.44195716916
"214",3327.20929581611
"215",1483.99078701235
"216",1963.28125560688
"217",2158.70740629877
"218",2170.01553966699
"219",2029.23373472984
"220",2714.36797735679
"221",2167.31816490805
"222",2642.18690600594
