"","x"
"1",264.335669041823
"2",273.533141661111
"3",343.874932358941
"4",213.570975984795
"5",356.323910497537
"6",224.681282851597
"7",336.234096138856
"8",269.072463134385
"9",233.484503902751
"10",311.83289400384
"11",267.128886277502
"12",368.280838665681
"13",206.275933956332
"14",357.91398355551
"15",209.96966841081
"16",272.629790022506
"17",276.637883255153
"18",217.259849324167
"19",319.692332938314
"20",236.528353399269
"21",206.420019999013
"22",219.378291875466
"23",196.675696356228
"24",240.821899237284
"25",282.925160919396
"26",327.995357328605
"27",365.829925229106
"28",231.20475548311
"29",271.562292504104
"30",267.220049642654
"31",388.136230857395
"32",226.639569974107
"33",161.801269136594
"34",218.408026447435
"35",182.557784979023
"36",157.270533962825
"37",353.1984841564
"38",174.197409127749
"39",209.585462814754
"40",236.804810555618
"41",207.949835028312
"42",344.208760244862
"43",228.053268431046
"44",225.668030972676
"45",169.42293571389
"46",220.230874406813
"47",258.551132621788
"48",175.975587046203
"49",210.86629869839
"50",194.57489330395
"51",184.574084265296
"52",290.543649962702
"53",229.831903932162
"54",355.291162735752
"55",351.25304916321
"56",341.229664138765
"57",238.403419464718
"58",221.985329520324
"59",297.460590924949
"60",250.484413207695
"61",166.17536500705
"62",292.899633206475
"63",221.417300687123
"64",174.299412967929
"65",225.234519144647
"66",303.043170250154
"67",305.457561016579
"68",184.311724975666
"69",236.594867538234
"70",208.513164956297
"71",301.040243629843
"72",243.943951249804
"73",125.968452448488
"74",280.121079413315
"75",234.44074608666
"76",235.681682817462
"77",170.96565711187
"78",172.362144823436
"79",214.913066533449
"80",186.649648643934
"81",396.523917753341
"82",173.774498683849
"83",258.516547635306
"84",245.306523824725
"85",370.186440455618
"86",233.752548854965
"87",197.238930776235
"88",216.343487316874
"89",241.042633435756
"90",257.7812869358
"91",362.638636883703
"92",252.308075867399
"93",294.695834361015
"94",246.635630310101
"95",201.955118748829
"96",270.335265944303
"97",206.577056937055
"98",200.10840840959
"99",294.701720747112
"100",301.136182353538
"101",253.554715204852
"102",200.021340980601
"103",348.457415130222
"104",253.408472395281
"105",255.85824563969
"106",285.55784618731
"107",270.272589524066
"108",184.806415419725
"109",337.618404776904
"110",166.543751365058
"111",175.753461469516
"112",319.600567940225
"113",250.174138601413
"114",371.475577961617
"115",309.70209663379
"116",228.485563747869
"117",200.010983232092
"118",242.245434212529
"119",179.478359419123
"120",199.152043250457
"121",227.587227774243
"122",297.757741929318
"123",358.743536672232
"124",272.064507454991
"125",222.591951762332
"126",214.639247712977
"127",237.390533450242
"128",193.383161315849
"129",193.578660793401
"130",231.69964213063
"131",197.846969911089
"132",267.474352245322
"133",261.719444385949
"134",168.671214023992
"135",229.940343131943
"136",296.739021333496
"137",206.672156920727
"138",279.544622319999
"139",170.562925700711
"140",146.036610833168
"141",258.749765754466
"142",326.222372745919
"143",288.463474520253
"144",208.238524652609
"145",194.739207090029
"146",267.666653214243
"147",297.951972027716
"148",282.506817521562
"149",282.462106671455
"150",247.636979185069
"151",247.594421502844
"152",222.975579206358
"153",221.546298683631
"154",194.423073218338
"155",303.395685330431
"156",226.885756157462
"157",258.284854449211
"158",197.54088066456
"159",279.679968505947
"160",279.173877944754
"161",144.656278520557
"162",307.300906960519
"163",287.46722710961
"164",217.114406612372
"165",273.236170958615
"166",180.336881263456
"167",260.909521611353
"168",137.82894044441
"169",287.046533313565
"170",338.246040805101
"171",170.640971768757
"172",335.731149123709
"173",204.084662076652
"174",325.718095770371
"175",254.006917453228
"176",234.614055098587
"177",354.954509056212
"178",297.216597342192
"179",275.763084616072
"180",255.826345859713
"181",211.162671122953
"182",270.834446010893
"183",216.380014882841
"184",188.720496332606
"185",232.788485650436
"186",213.149709010049
"187",150.497056396016
"188",344.5471417822
