"","x"
"1",2557.98374086426
"2",2423.33878768648
"3",1662.7862836889
"4",2964.07111504338
"5",2035.99858436973
"6",2724.02684640745
"7",1854.34389982816
"8",1053.19343196733
"9",1644.55906091788
"10",1894.72568640292
"11",3739.11909863531
"12",1639.13168233962
"13",2522.90179107807
"14",1227.27237065216
"15",1630.82743624216
"16",2175.26156650462
"17",2090.90523735872
"18",1493.84933555479
"19",2224.02104133734
"20",2713.34797211477
"21",2121.18443703021
"22",1677.01335558694
"23",1692.89040700557
"24",2232.52133958069
"25",2805.26011059866
"26",3441.75252512634
"27",3361.3409787364
"28",2058.03097729412
"29",1776.74624795918
"30",1555.04455917608
"31",2429.80020720807
"32",2647.63067815357
"33",2381.69348294721
"34",1244.07812982007
"35",2871.46810520038
"36",3052.45067716067
"37",2121.51150074946
"38",2846.78647033603
"39",1896.0792957307
"40",2442.08420478417
"41",1586.61744426565
"42",2640.47187689959
"43",1982.3914548847
"44",2174.67238558954
"45",1849.34652501694
"46",2450.88671810869
"47",2117.37914145729
"48",2744.18810098346
"49",1882.57451011861
"50",2478.90520453735
"51",2031.50783306246
"52",3082.37303453713
"53",2882.89882650039
"54",2514.56996271205
"55",1989.02374615616
"56",2423.21828794658
"57",2275.93607575958
"58",1831.68165366109
"59",3347.9029781493
"60",2213.8944742919
"61",2237.5056185842
"62",2494.46446417751
"63",1997.63780462121
"64",2599.84969783866
"65",1848.73472998782
"66",1805.96891822
"67",2031.32460887345
"68",1668.12514953448
"69",1317.71459722561
"70",2479.77780957856
"71",1537.1356679533
"72",1371.00001873842
"73",2358.46928706549
"74",2640.76754809315
"75",3253.45478472243
"76",3503.27821625214
"77",2990.48811122903
"78",1759.98311510071
"79",2610.61414726107
"80",1904.2009569195
"81",1948.32351684471
"82",2370.74335695231
"83",2699.36104163108
"84",2226.57387617414
"85",2304.33111781416
"86",2369.46081311294
"87",1746.4641072768
"88",1581.53235084427
"89",2341.46577285632
"90",2081.34100339956
"91",2087.16837495007
"92",2379.96456956395
"93",1285.84041886147
"94",2103.69480735858
"95",1458.21762329722
"96",2078.62289054354
"97",1402.78997104272
"98",2294.14099085324
"99",4849.7474702892
"100",2366.4190028402
"101",1748.92098625385
"102",1651.89112211748
"103",1557.63020748776
"104",3191.35456491538
"105",2294.39967454823
"106",2136.69313282662
