"","x"
"1",366.225368750913
"2",343.474425366173
"3",259.501346498181
"4",422.72117480919
"5",285.985334474147
"6",422.340847544368
"7",257.504182198399
"8",145.895767437894
"9",239.270568400064
"10",253.144585156725
"11",545.185197537987
"12",232.963380954819
"13",359.578835958752
"14",181.493645590734
"15",217.177800517169
"16",304.688005327391
"17",303.241080774084
"18",214.405591475666
"19",312.269857114195
"20",375.486909419032
"21",305.92462115872
"22",246.823333579297
"23",250.291888350511
"24",318.967342304245
"25",394.911055282562
"26",442.036141282843
"27",477.142422008343
"28",302.118825528251
"29",276.336768647862
"30",227.984480678685
"31",315.218440838387
"32",350.042532032108
"33",337.763324704468
"34",176.81345800878
"35",413.430473612569
"36",404.596092497642
"37",315.504769197758
"38",391.263845933699
"39",277.607434099754
"40",382.658776356412
"41",232.118722136344
"42",341.969868545738
"43",293.592241740576
"44",301.596468650271
"45",259.756983607936
"46",331.398915981497
"47",328.020227669356
"48",408.672579577182
"49",259.273253318423
"50",334.85282149725
"51",284.463625496138
"52",448.696716421612
"53",408.954368039293
"54",380.439845951877
"55",304.04077946749
"56",343.536644962398
"57",331.156913262739
"58",252.940066444328
"59",474.172872845616
"60",321.425653015603
"61",304.475408674703
"62",367.809654414439
"63",273.253661855182
"64",368.922367160613
"65",283.271772861714
"66",277.727489621529
"67",289.470618404776
"68",279.304197663391
"69",188.961153921944
"70",325.64277925558
"71",238.035365156693
"72",233.322346915455
"73",310.668900858773
"74",342.166219547309
"75",408.962330068966
"76",472.49531562621
"77",329.025935931932
"78",268.76697942208
"79",402.885898432908
"80",275.20983582744
"81",273.59053826298
"82",351.097710419503
"83",384.948999719974
"84",320.147828655173
"85",382.10581099547
"86",356.551838346685
"87",261.932561624067
"88",224.186398508834
"89",305.698899511061
"90",302.873934097506
"91",318.649830998392
"92",338.552857360617
"93",199.453120225404
"94",315.171852755376
"95",208.424446454731
"96",317.322253135219
"97",222.689101857714
"98",329.337214143412
"99",685.96302805729
"100",351.618502127618
"101",263.148778338768
"102",235.726375728286
"103",229.563540088599
"104",484.181552996165
"105",355.127146707731
"106",271.784424453751
"107",243.913634958094
"108",363.875278332774
"109",261.985610701309
"110",402.670787121653
"111",322.861171519492
"112",352.721374975285
"113",453.538179372302
"114",280.104415932727
"115",293.699474606355
"116",298.7844590192
"117",282.874111929906
"118",410.000318157728
"119",290.876566629597
"120",237.935740662621
"121",419.728901419785
"122",366.996516362548
"123",397.352612649385
"124",297.098262778379
"125",261.121898437184
"126",268.352260887981
"127",228.558218849403
"128",291.774160885159
"129",307.754816200506
"130",273.513735333598
"131",242.786781679298
"132",191.569844262455
"133",394.223995161529
"134",224.028582702118
"135",231.990977521387
"136",213.2029531316
"137",372.535417605139
"138",283.610988000475
"139",310.888151234752
"140",400.59105879689
"141",338.76641034691
"142",367.004058340244
"143",345.707017582787
"144",371.423079726926
"145",307.134916823808
"146",367.592473021524
"147",316.20072572655
"148",293.228496754549
"149",202.502527610488
"150",244.472860945634
"151",421.153637425531
"152",193.085008004871
"153",219.528041754573
"154",422.017805575593
"155",239.890794945929
"156",303.719512722076
"157",224.718573853766
"158",232.209685004772
"159",314.754107309796
"160",213.086758656064
"161",410.494676226022
"162",270.978164025657
"163",439.636468951112
"164",352.000265147278
"165",322.77170501861
"166",429.995552904652
"167",310.155756454645
"168",361.513678826008
"169",195.814976406541
"170",284.285993286712
"171",343.460799690983
"172",265.630391299089
"173",415.571738770056
"174",395.156600568396
"175",327.620092826775
"176",118.063676490604
"177",460.637691549752
"178",278.55561043065
"179",278.011959750094
"180",248.612005293536
"181",276.953776955872
"182",376.68015830649
"183",304.66548248267
"184",215.22500359758
"185",472.4382824384
"186",332.223647008281
"187",428.583270080951
"188",168.493304656981
"189",258.728472385307
"190",271.815859841886
"191",204.734497991495
"192",182.707274258169
"193",261.891103228019
"194",522.996615329442
"195",241.971208227552
"196",275.978414021244
"197",230.587068253908
"198",346.981256661288
"199",198.790124870364
"200",372.149790829428
"201",382.124831827948
"202",224.459471792563
"203",404.269035774773
"204",288.285456358996
"205",223.941162503582
"206",422.282137674314
"207",339.143926240646
"208",213.047261260761
"209",380.756713113257
"210",430.187947182845
"211",249.488846082444
"212",290.016932848391
"213",387.520217243012
"214",153.069759551246
"215",230.483820123866
"216",290.817795068222
"217",294.933710714319
"218",288.774257493828
"219",370.978102292309
"220",399.539368570574
"221",248.35812147139
"222",406.620077754376
"223",440.374827259271
"224",327.568100169828
"225",516.744275587405
"226",329.291774525099
"227",175.172170743083
"228",243.819130428163
"229",268.307750844024
"230",349.423944820444
"231",250.275916322648
"232",349.270683088002
"233",286.766003078917
"234",526.446878991317
"235",301.940678667921
"236",233.481090575843
"237",240.622655770052
"238",255.84193187044
"239",316.274443006511
"240",471.392264680994
"241",309.42031483227
"242",329.769766372207
"243",279.315616240271
"244",360.199386920546
"245",388.730147710437
"246",254.791015164637
"247",195.389471502302
"248",366.35394734046
"249",302.787114360332
"250",285.235140344643
"251",231.005471774015
"252",331.053593971428
"253",228.323379156389
"254",232.882260531099
"255",265.742776054458
"256",403.371695525673
"257",354.5879788928
"258",231.06382706742
"259",443.406057716005
"260",234.609562400745
"261",294.654283233544
"262",249.918096304991
"263",261.758236108295
"264",205.719555136463
"265",292.778802494607
"266",234.552223723225
"267",407.340650943626
"268",297.785518092366
"269",486.554554951343
"270",160.365408136383
"271",311.350537954217
"272",379.771733977396
"273",298.443637145701
"274",465.068567999269
"275",439.104239846777
"276",216.419053739306
"277",265.032426967284
"278",352.958025798631
"279",321.798192645424
"280",249.225954553486
"281",345.042539490609
"282",237.887088648146
"283",298.278431181127
"284",360.481419102998
"285",267.97757842899
"286",211.471369888536
"287",413.20170878677
"288",367.877752472381
"289",362.229481717899
"290",259.66696810155
"291",300.653766415448
"292",233.13306948999
"293",438.72591398867
"294",321.87452569884
"295",217.927933388413
"296",395.855192566909
"297",339.034203401249
"298",329.467056972144
"299",274.13030845166
"300",165.773601378299
"301",342.698266421119
"302",221.739889966085
"303",266.414033963544
"304",316.96051268
"305",251.376534066504
"306",398.870897440277
"307",579.760626423558
"308",173.652303013386
"309",299.175036005631
"310",256.504839848869
"311",349.032340579163
"312",197.552140164477
"313",399.598494925893
"314",333.780310966011
"315",403.037165972483
"316",253.703770045418
"317",282.87203164576
"318",258.332347695244
"319",320.71438990253
"320",407.870422212339
"321",239.884550464729
"322",257.51794585363
"323",189.168805752296
"324",498.218792155662
"325",359.655936458928
"326",190.872226270534
"327",291.084895795551
"328",373.709812577541
"329",419.950896405189
"330",300.395612885032
"331",489.634348203433
"332",201.37629122777
"333",179.449941732654
"334",285.004129848142
"335",202.272327466672
"336",295.011729062632
"337",382.992774924117
"338",248.318231699705
"339",275.026987822381
"340",361.235189129388
"341",273.519793574498
"342",163.221045825041
"343",294.423277755284
"344",288.041151145822
"345",314.167231284514
"346",381.550150666382
"347",315.415890803297
"348",292.452292749577
"349",339.869419507467
"350",201.759188616513
"351",392.097942453063
"352",293.6176981472
"353",335.909383398557
"354",238.26285952222
"355",292.926238498888
"356",342.045796832902
"357",339.585444524515
"358",584.42602131539
"359",376.970266196432
"360",217.869461332632
"361",255.149045412509
"362",338.950265752267
"363",279.134934526837
"364",350.133239274467
"365",257.406970019985
"366",236.301874926218
"367",403.009743398985
"368",206.935922523169
"369",194.962846575115
"370",148.580037478634
"371",409.583125473197
"372",349.927444680305
"373",351.214711808849
"374",358.478416827468
"375",302.680426608172
"376",252.166204233167
"377",286.427815389815
"378",331.751409073656
"379",293.537491941213
"380",272.689684181365
"381",330.081936641347
"382",297.701212232645
"383",355.580386139554
"384",242.906878770185
"385",224.936208170217
"386",350.799092706653
"387",221.385395840504
"388",280.437168508824
"389",210.98966082313
"390",298.73466539738
"391",382.063448582058
"392",191.985246508516
"393",248.785596222071
"394",382.227551418012
"395",258.428041517576
"396",208.694362517184
"397",382.044351044771
"398",371.352429061604
"399",373.276962981537
"400",356.076873394463
"401",192.88150472507
"402",280.689255035084
"403",280.928717929454
"404",217.098682286937
"405",484.595744680532
"406",232.681821808228
"407",379.159577689057
"408",261.318464377282
"409",288.321222237696
"410",437.940363592094
"411",444.772021225349
"412",229.216019218596
"413",252.943918123286
"414",318.819808863412
"415",286.319425379107
"416",311.977957921987
"417",403.572893850778
"418",257.239785820855
"419",193.594986045031
"420",260.288652692182
"421",371.763000764758
"422",249.775146181589
"423",412.511674035212
"424",266.392702672326
"425",299.057672311964
"426",444.045474208625
"427",222.95881834477
"428",318.682880298782
"429",226.391482299461
"430",241.627556917429
"431",341.972941596353
"432",262.540916661903
"433",228.156744990523
"434",221.381966136676
"435",311.812935198336
"436",260.900548331364
"437",403.377577947512
"438",374.540122449574
"439",269.211799468597
"440",266.891245488488
"441",247.023066238077
"442",247.886524086317
"443",217.76114389866
"444",243.439798482972
"445",288.289599651482
"446",279.481749260768
"447",496.482193569117
"448",352.816571820245
"449",174.871346194385
"450",314.476428090508
"451",281.712952352803
"452",235.450683938977
"453",304.748897020123
"454",249.391157386062
"455",267.661737817027
"456",366.580334048011
"457",283.940923973962
"458",258.271942101
"459",309.563102541642
"460",236.826438456535
"461",440.194223886286
"462",227.38117228189
"463",455.33544823037
"464",267.360683754986
"465",239.99784105621
"466",237.611195808293
"467",309.513629730128
"468",294.005478601096
"469",361.505828497378
"470",307.457028866065
"471",273.258021753191
"472",309.804311544593
"473",335.711788937101
"474",311.600956610632
"475",244.249188074939
"476",279.023300738526
"477",149.564075750005
"478",221.655797525903
"479",265.883166544116
"480",415.931363491472
"481",394.625198759379
"482",247.103472689915
"483",250.047758806514
"484",295.362933259801
"485",570.89543371763
"486",170.754398382205
"487",307.549999139682
"488",231.426753046904
"489",376.547512081796
"490",278.533293380877
"491",494.059471333473
"492",271.069384824565
"493",174.830146413711
"494",245.856818556626
"495",265.330853937999
"496",233.306951252067
"497",353.982138031889
"498",224.544587763217
"499",251.949749826075
"500",344.958429704058
"501",243.388275219087
"502",359.484849399033
"503",213.275869392011
"504",307.756952528136
"505",277.776345731527
"506",396.36552357661
