"","x"
"1",3081.64932040706
"2",2928.75697150553
"3",2644.56532765849
"4",2539.4881347214
"5",2758.58279200335
"6",3192.88335805287
"7",3319.53326655618
"8",3136.51099431296
"9",2876.10275338795
"10",4012.27752286278
"11",3036.63500645043
"12",2916.4632960604
"13",2952.89755962601
"14",3699.9299843424
"15",3760.76870911694
"16",2683.46160975405
"17",2956.85745493545
"18",2833.35991246761
"19",2639.92205310109
"20",3346.94357939881
"21",3215.7016174088
"22",3517.76793011541
"23",3135.70670774802
"24",3156.73555659152
"25",3414.48128988653
"26",2863.43661837642
"27",2735.8161306699
"28",2915.18930225197
"29",3440.63339308779
"30",2658.44698711144
"31",3750.59005211589
"32",3321.89254225662
"33",3134.76321044122
"34",3545.87145518866
"35",3126.48568754369
"36",2771.98597778828
"37",3300.11740465467
"38",2613.45345832975
"39",2948.55461638936
"40",2834.29113994447
"41",2887.5090489477
"42",3276.18416211444
"43",2779.36000210893
"44",3258.17783031519
"45",3290.8203157549
"46",3386.95877939938
"47",2278.48039211876
"48",3142.10296013546
"49",3523.86518052269
"50",3328.50104241821
"51",3199.4894825272
"52",3046.7175270845
"53",3065.84859994633
"54",3296.42989382123
"55",3154.24611482256
"56",2957.8730020314
"57",2961.14210978956
"58",4057.93222264779
"59",3284.55623330132
"60",2940.91457273596
"61",3088.88014585862
"62",3376.92611914409
"63",3010.94967725738
"64",3102.65149176716
"65",2922.57371114123
"66",2674.69451830254
"67",3039.38424226679
"68",3115.96650648241
"69",2867.32132578868
"70",2748.32033262279
"71",3035.87292427055
"72",2973.16737961126
"73",2934.71461544149
"74",3658.50049280789
"75",3613.80539521044
"76",3283.46459117521
"77",2253.18554110956
"78",3418.047417987
"79",2848.0912020901
"80",3012.11103418016
"81",3349.65781810648
"82",3016.61334241404
"83",3401.71046682078
"84",2615.69198630699
"85",2982.26285022103
"86",2933.12503098052
"87",3070.08912841148
"88",2779.60828464344
"89",3018.35129591372
"90",3037.41936512324
"91",3580.70056335332
"92",3232.44733609448
"93",2977.26552440824
"94",3697.4030706543
"95",2718.9720874046
"96",3280.44799552446
"97",3082.70164550738
"98",3385.1080179967
"99",3171.26266420541
"100",2883.76302474533
"101",3249.06125460737
"102",2972.59705775182
"103",2998.84699425896
"104",3360.00185807481
"105",2932.31887392683
"106",2899.73004859144
"107",3826.68159729026
"108",2927.61891992179
"109",3276.26027722979
"110",3411.30406627877
"111",3289.70978939325
"112",3527.57190067599
"113",4114.94082645454
"114",2539.80855215397
"115",2616.27894489049
"116",2684.38127834675
"117",3362.69727048849
"118",2820.17238610414
"119",2914.77652021268
"120",3037.1527220932
"121",2594.95007697858
"122",3392.55067617123
"123",2943.43106815553
"124",3012.63256498073
"125",2762.19748303001
"126",3164.41597821465
"127",2850.12287439739
"128",2488.60172990309
"129",3840.47175931917
"130",3101.39225084338
"131",3575.70203571789
"132",2944.09538472712
"133",2814.55994689269
"134",3165.82010732717
"135",3066.43847465738
"136",2284.83809023611
"137",3453.15848642737
"138",2626.81258775266
"139",3051.38673494354
"140",3483.69372419739
"141",2891.78840128442
"142",2777.71630159794
"143",2999.01362992211
"144",3004.2475712733
"145",2643.57423272075
"146",2848.5843119122
"147",2918.74733283573
"148",2809.53482233838
"149",2959.37270406087
"150",3303.08654578778
"151",2663.3933682835
"152",2988.65491379581
"153",2628.6216839435
"154",3458.55437061764
"155",3567.28368646673
"156",3189.28225207284
"157",2587.48505421941
"158",3574.64254879783
"159",3066.19207364677
"160",3264.11680632422
"161",3004.61477079216
"162",3434.36176044814
"163",3689.20678266769
"164",2593.90721648256
"165",3389.61879076328
"166",2869.13886406344
"167",3082.20923066775
"168",2966.54711013435
"169",2692.09375635284
"170",2461.19703844322
"171",3609.15425439808
"172",3010.23529793258
"173",2597.65060627516
"174",3038.22558048176
"175",2898.6750919158
"176",3186.04654218513
"177",2592.02460612884
"178",3088.4279137363
"179",3424.4704156849
"180",2781.73644582145
"181",2910.18223241109
"182",3170.61990919372
"183",3334.76799942735
"184",3230.99348750337
"185",3066.36541791375
"186",3308.40840990865
"187",2908.43715950315
"188",2762.07474399691
"189",2799.92507189872
"190",3039.73781676624
"191",3018.12862770016
"192",2454.73666807436
"193",3013.24331525375
"194",2844.81502261781
"195",3852.0414102314
"196",2588.36567217044
"197",3276.07288142816
"198",3040.62155226391
"199",2871.7664385565
"200",3407.38752619349
"201",3118.57369029473
"202",2635.16165108905
"203",2977.81605336096
"204",2912.5881951711
"205",3008.36700923137
"206",2698.38229123355
"207",3346.54108534789
"208",3221.9338936634
"209",2820.83313877592
"210",3511.38251024073
"211",2393.66308639657
"212",3307.91545256616
"213",2835.21474955795
"214",3217.23516407468
"215",3132.3096059511
"216",2819.07471875628
"217",2822.32497478862
"218",2939.68945122351
"219",3029.29410788631
"220",2651.30460727661
"221",3043.78221490539
"222",3450.04426327129
"223",2999.76356135004
"224",2720.61748195232
"225",3285.66282621893
"226",3393.61591591162
"227",3279.05876163563
"228",2946.9093487915
"229",2737.433628292
"230",3636.01943467071
"231",3179.13417534918
"232",3307.07078388594
"233",3875.18220852202
"234",2688.55006786099
"235",3058.94947697086
"236",3347.08786759479
"237",3838.95521031359
"238",3083.80361008991
"239",2492.11982528466
"240",2816.70775871919
"241",2934.28068635475
"242",2866.41596266005
"243",3119.85961911006
"244",2962.92885945277
"245",3028.16357360684
"246",3150.71567404425
"247",3424.8497256466
"248",2746.72734403671
"249",2690.98607987194
"250",2647.797252006
"251",2841.42823529438
"252",2807.51677622884
"253",3904.62428067587
"254",2975.65052382832
"255",2803.29767268652
"256",2786.58499253205
"257",2835.78683659297
"258",2915.87603947702
"259",2977.46448526456
"260",3415.23397289334
"261",2782.68044537586
"262",2636.47682769002
"263",3163.2858245173
"264",2828.55179262228
"265",3750.56479506497
"266",2504.32138130393
"267",2962.64963819693
"268",3308.47690045186
"269",2554.8435577119
"270",2754.62296264641
"271",2857.79162372048
"272",3282.80497882783
"273",3128.67627391466
"274",3463.73126213586
"275",3380.28215895414
"276",3357.56848175434
"277",3016.19864124037
"278",2899.5938397058
"279",2702.59311365486
"280",2778.99758675291
"281",3609.70100039766
"282",2763.7080028964
"283",2903.27149711792
"284",3216.12588674403
"285",2921.46140457557
