"","x"
"1",511.903810127815
"2",643.810130485498
"3",480.553622764515
"4",543.663370064198
"5",650.296212852827
"6",669.081552099812
"7",551.458719103087
"8",560.957603670333
"9",518.001327288741
"10",601.105639653908
"11",544.910896515608
"12",592.902409324147
"13",573.216980889382
"14",630.204394141632
"15",568.412480246201
"16",508.685240637373
"17",604.321536365688
"18",560.485346598101
"19",582.223723368482
"20",669.008785606604
"21",689.741746664957
"22",705.199927614216
"23",546.269862982572
"24",626.694629599799
"25",507.327822561137
"26",763.442057994216
"27",571.033667259802
"28",587.578418708223
"29",590.916040766159
"30",561.813840583948
"31",568.654594092497
"32",552.225227559726
"33",669.06073431571
"34",603.917515458779
"35",660.332239846608
"36",634.263750280228
"37",654.556575750034
"38",509.774215569661
"39",619.653393480846
"40",593.79881145381
"41",622.478667735818
"42",643.623939260318
"43",512.094136654539
"44",540.622187709802
"45",566.287536588672
"46",564.32343602444
"47",524.22368830141
"48",591.417081506771
"49",583.119807964036
"50",601.113126356453
"51",562.025458155581
"52",649.797476934056
"53",582.429771478357
"54",546.832728872007
"55",509.523091385212
"56",685.23488237681
"57",547.010824083123
"58",636.574674968821
"59",661.526249279893
"60",620.605379598945
"61",563.287039674219
"62",645.076573093452
"63",572.562642052202
"64",731.891604463124
"65",486.042874485753
"66",577.830370059858
"67",601.110350357877
"68",670.390870375265
"69",586.558098906027
"70",533.478268335859
"71",660.095038598488
"72",597.087158359453
"73",609.980823702791
"74",576.711292943216
"75",711.050256367833
"76",486.189574474256
"77",506.574640842504
"78",645.263811952875
"79",627.550278778967
"80",638.627901115425
"81",584.015974150508
"82",580.312232776358
"83",646.085995143052
"84",572.318635285673
"85",607.975752293594
"86",633.033624622203
"87",666.047510124716
"88",591.936245924248
"89",662.739385102224
"90",555.085333872477
"91",731.221542031476
"92",630.746245489429
"93",616.092705940641
"94",696.416158074278
"95",609.903739427062
"96",846.926235023516
"97",656.982904836218
"98",574.604583257532
"99",708.332776645731
"100",633.373333611205
"101",621.505041026613
"102",592.894632902755
"103",535.457713839722
"104",694.447324212001
"105",595.657241427721
"106",580.526671642751
"107",776.676370085535
"108",662.088682980286
"109",645.072497018069
"110",641.852251707547
"111",644.236184732305
"112",598.653076153334
"113",658.96003446183
"114",524.608336289367
"115",547.837864505491
"116",604.470384757563
"117",504.781500654974
"118",495.462935876427
"119",639.923569168695
"120",655.251177877685
"121",614.842812736215
"122",559.905206488044
"123",605.314283916616
"124",576.946383967087
"125",542.600094777302
"126",590.319293416214
"127",722.370347506958
"128",564.848552115191
"129",524.070029134059
"130",607.917665661259
"131",610.116240699714
"132",521.438243904595
"133",543.045034652747
"134",557.351802496207
"135",558.068086570044
"136",606.121738288765
"137",507.034891074243
"138",567.065374788516
"139",529.157771947535
"140",575.869505553541
"141",596.275328285826
"142",666.632982157747
"143",655.924632707935
"144",657.974677715275
"145",585.808245483015
"146",517.810953028154
"147",562.622477773754
"148",637.846690907621
"149",478.044553809762
"150",673.465538965792
"151",502.44494509781
"152",621.312552223346
"153",557.164126895551
"154",723.277224307891
"155",730.19992042131
"156",640.96798085437
"157",583.72732679717
"158",638.360792129245
"159",715.471144223374
"160",604.416118831217
"161",544.194717209201
"162",529.892248950872
"163",696.400214190201
"164",650.531326955608
"165",538.03619551021
"166",714.834161505789
"167",583.387439994506
"168",624.08466987462
"169",666.025701458347
"170",475.578008569914
"171",753.819916854298
"172",573.755980756269
"173",594.811419328221
"174",614.117446237451
"175",632.900371061069
"176",550.138196087034
"177",526.90808360047
"178",603.015137496825
"179",681.84394048624
"180",570.507311942037
"181",518.859956455423
"182",638.474952807513
"183",540.341033513795
"184",567.99393013612
"185",568.31899368188
"186",660.396226576068
"187",609.83112943722
"188",474.544453703027
"189",457.120993842038
"190",617.154840187538
"191",783.63705266273
"192",499.247733908038
"193",522.379689458587
"194",613.580081027206
"195",586.280573975904
"196",525.950776643512
"197",634.901857509731
"198",666.586932294591
"199",497.587030007819
"200",659.524398616141
"201",578.473769483748
"202",570.625959614227
"203",557.463355493501
"204",639.311870813729
"205",615.681783791602
"206",510.620537657234
"207",581.649253580597
"208",533.603895582223
"209",662.932254406188
"210",673.533778492079
"211",585.395805520452
"212",653.596387039099
"213",554.247206045664
"214",431.611164041
"215",557.937718675701
"216",642.907706867107
"217",619.908178439182
"218",660.397144471712
"219",606.665732042272
"220",493.356423444211
"221",649.929982396982
"222",661.435410417977
"223",627.87875659869
"224",573.029381569138
"225",633.293651003985
"226",602.037501247873
"227",581.334619102644
"228",640.027647934758
"229",527.762481670392
"230",635.271192058648
"231",699.650242758002
"232",549.361444477768
"233",707.491234779572
"234",546.630547975977
"235",608.193343177763
"236",703.730511830937
"237",582.524374094429
"238",671.505326550554
"239",549.843753660232
"240",554.115180189754
"241",615.589548213846
"242",588.68820845577
"243",712.28593906796
"244",649.298921319007
"245",471.853972626475
"246",596.546315598166
"247",722.130558749852
"248",503.966037102377
"249",502.854323163542
"250",536.36274185842
"251",646.668904090404
"252",572.968221959901
"253",614.866018852648
"254",608.002991658741
"255",694.686025164096
"256",597.484941217394
"257",655.534416312242
"258",700.47555601921
"259",463.621123142762
"260",537.412754781362
"261",656.635298170771
"262",529.984785065869
"263",639.967607935055
"264",681.71701691284
"265",608.921387865352
"266",549.162321962802
"267",552.732791414907
"268",631.976637743024
"269",644.664886811929
"270",721.466217138058
"271",631.864484801558
"272",559.992463666132
"273",649.135727396406
"274",753.246784538152
"275",560.434847654025
"276",622.695038543605
"277",623.116404616326
"278",472.446734977039
"279",536.75698823097
"280",558.726481264909
"281",641.777984094696
"282",561.160965583027
"283",593.911147132512
"284",605.115223586361
"285",586.181299990715
"286",567.939321285968
"287",526.733729043812
"288",675.592100651915
"289",685.0169251916
"290",614.282086406721
"291",572.744937307579
"292",606.928585386421
"293",548.759174888666
"294",576.796824897678
"295",529.467620760996
"296",656.611288047509
"297",610.570814714778
"298",701.526388178945
"299",650.331075234417
"300",559.741161362406
"301",695.437104455712
"302",570.748814881558
"303",667.072215343482
"304",627.470529311796
"305",567.279797327159
"306",489.247368365112
"307",607.960566285086
"308",616.381528270171
"309",691.24913260398
"310",662.203677254379
"311",678.665925611565
"312",495.74003772179
"313",625.828642244152
"314",587.055611599623
"315",620.189402220116
"316",660.792271305135
"317",647.45937291685
"318",593.098688631681
"319",580.829452110882
"320",542.928061176887
"321",566.999553404188
"322",646.132797073765
"323",582.08835645092
"324",567.416271094412
"325",619.854032758421
"326",525.15937860064
"327",618.722402196021
"328",599.707871773975
"329",540.736751347625
"330",630.848006729185
"331",569.64914082017
"332",573.532505265499
"333",551.179944955582
"334",723.70132661455
"335",549.38525641933
"336",640.371056279572
"337",472.81880913244
"338",539.613401255581
"339",603.266551223387
"340",672.952211825337
"341",579.11499720766
"342",492.919023452619
"343",666.957361137262
"344",611.18394813453
"345",752.497254752141
"346",603.385720487638
"347",606.170826261809
"348",710.82457612379
"349",560.746548154066
"350",636.933945742952
"351",526.114436403843
"352",529.610361210635
"353",571.846058565623
"354",603.703255027654
"355",506.135411708661
"356",570.830271659041
"357",536.295540328298
"358",577.435349399732
"359",553.273406675848
"360",599.9372489698
"361",666.980508383328
"362",620.257803671225
"363",581.290154020199
"364",610.036106988019
"365",678.504801301224
"366",558.458416026436
"367",578.847988647755
"368",567.143334415084
"369",577.938837316224
"370",595.503981862109
"371",634.305087452681
"372",470.449707877869
"373",534.73804909363
"374",605.368475338557
"375",680.090850693545
"376",659.01248689641
"377",623.406667712139
"378",547.379399745388
"379",510.529087905462
"380",638.521137565944
"381",688.345650493046
"382",556.273334104717
"383",634.428712785552
"384",498.922016550476
"385",675.946929546695
"386",614.710360121159
"387",546.754921107694
"388",518.349031648791
"389",625.847396928199
"390",486.657258362132
"391",672.904652843289
"392",456.059670773178
"393",691.441159440347
"394",544.550643684525
"395",637.320881890701
"396",622.344320540556
"397",556.575731949094
"398",598.536554112442
"399",635.724262293634
"400",576.091411049798
"401",569.441235768658
"402",500.72633221811
"403",580.681391865503
"404",588.55081613506
"405",533.682059963478
"406",640.080376684473
"407",655.153010436136
"408",628.402056372618
"409",695.497840784655
"410",649.249667600616
"411",562.914686698475
"412",528.075451575498
"413",557.694395422544
"414",573.647630168193
"415",772.845012966793
"416",725.723803589847
"417",649.123491821203
"418",608.38985525095
"419",659.020283185423
"420",636.745038480896
"421",708.477140893509
"422",556.244668147459
"423",504.423250230499
"424",558.172163577525
"425",609.429193508074
"426",625.408821784792
"427",565.829377683058
"428",665.868720306423
"429",679.450793104371
"430",666.619284231342
"431",565.676670661394
"432",545.222481151071
"433",576.477254836272
"434",621.343841527281
"435",583.475484522052
"436",500.35902804328
"437",580.421474551295
"438",485.140333505761
"439",542.894376030398
"440",525.127727205783
"441",487.822937525869
"442",614.449064040743
"443",657.084257686689
"444",523.31888780191
"445",623.858419977421
"446",513.226719879047
"447",663.646519144607
"448",470.42818499758
"449",611.763008516866
"450",601.666192821939
"451",462.020309654805
"452",612.737937346481
"453",507.929003173526
"454",552.435284308754
"455",584.982607248298
"456",569.546614221816
"457",550.18257356816
"458",654.134634551573
"459",536.597735342891
"460",643.312200726511
"461",511.267061845888
"462",521.66413077252
"463",543.601519023739
"464",701.547896316416
"465",616.843629891651
"466",557.582028323018
"467",507.872082558804
"468",648.445427026063
"469",683.822393694919
"470",539.817719490579
"471",682.105813521737
"472",573.316476964867
"473",551.717190120822
"474",637.723914154669
"475",669.138564254701
"476",701.485130200294
"477",687.792462618556
"478",560.020848555739
"479",634.931907927488
"480",697.535034310291
"481",590.23155533797
"482",559.272153419559
"483",768.670310048225
"484",671.519766956002
"485",638.164264758105
"486",546.306987735089
"487",563.307354600597
"488",691.259611029998
"489",633.792384020455
"490",673.155946041475
"491",557.855715246354
"492",655.618628769158
"493",546.762701342458
"494",520.228306463952
"495",602.002264979274
"496",657.055363542097
"497",511.238681492703
"498",509.123058588258
"499",508.015838072238
"500",538.746442533553
"501",597.658352514349
"502",541.793098109734
"503",701.279848607034
"504",623.727269871132
"505",527.288088501106
"506",588.79352332188
"507",491.170458887825
"508",658.893078936604
"509",600.205927380553
"510",619.090878630154
"511",648.33282713136
"512",611.025352177622
"513",676.357223607849
"514",558.364021795265
"515",584.607403035131
"516",509.36182977994
"517",595.129303802078
"518",576.054748344483
"519",772.165104280991
"520",694.579399476239
"521",597.158979329613
"522",662.925097476261
"523",547.96715803621
"524",617.935875345573
"525",587.970816796609
"526",608.543346631604
"527",502.51359423894
"528",652.787005356618
"529",545.626556221469
"530",611.982098507813
"531",569.380878769721
"532",530.876609432933
"533",526.96521828823
"534",679.33720913175
"535",608.472753595355
"536",586.126805355904
"537",590.235645689322
"538",544.687735643594
"539",541.326557613464
"540",586.79096913768
"541",568.905784215362
"542",586.9459920576
"543",634.312022435094
"544",504.324096285697
"545",584.408307273637
"546",526.15574644474
"547",676.666841864434
"548",553.353802799782
"549",549.278697050871
"550",715.085135864681
"551",619.520216341681
"552",597.602399486548
"553",575.661476506672
"554",714.598747601605
"555",645.953443454072
"556",576.857667018879
"557",541.139146136802
"558",551.812501645163
"559",657.969338045996
"560",666.324744287305
"561",562.748892865283
"562",565.729926850736
"563",706.732329954047
"564",586.232377562411
"565",572.119895264969
"566",552.544164187997
"567",579.270947619393
"568",544.774585872002
"569",592.874221357706
"570",618.716687077592
"571",606.598028923257
"572",586.672651912157
"573",551.184845520296
"574",563.934223209559
"575",526.806358379996
"576",570.296888223073
"577",598.878123884785
"578",709.211951195396
"579",613.6905313842
"580",560.347297414049
"581",581.747218472577
"582",566.153127167414
"583",585.517184794178
"584",677.514305574482
"585",523.545774734599
"586",570.833395916834
"587",536.856598790206
"588",556.273163148701
"589",520.037009141869
"590",533.220958960462
"591",761.153067773724
"592",564.016567457595
"593",552.347576983834
"594",559.874958576885
"595",494.829653400793
"596",614.343087036347
"597",610.704697201119
"598",441.950576745281
"599",647.063927985551
"600",653.196315250664
"601",624.734460136252
"602",602.332721427673
"603",618.313251923073
"604",635.968621370013
"605",494.45873164817
"606",602.68098542591
"607",622.274411247198
"608",609.751669710941
"609",700.476121931329
"610",619.819895210725
"611",530.443333682166
"612",502.561451392345
"613",606.659430823998
"614",610.066784291756
"615",627.570852530662
"616",688.982144739054
"617",547.686071515898
"618",558.093182260067
"619",729.028171242588
"620",516.269310999826
"621",558.101085496794
"622",547.927997159195
"623",597.571561054174
"624",545.306176281884
"625",564.063944443331
"626",531.757035187767
"627",633.436004197903
"628",571.498392648642
"629",617.09270180343
"630",571.688599728652
"631",635.364374014617
"632",646.675072721646
"633",528.448662130573
"634",536.88177844811
"635",548.648527814112
"636",766.851373689213
"637",575.911732374163
"638",588.546845851153
"639",509.203843188559
"640",507.061938596081
"641",514.962173248333
"642",574.633306146614
"643",626.885677307431
"644",608.786798495485
"645",582.072582750605
"646",519.386159792722
"647",545.451741425779
"648",508.837146168355
"649",858.601768567008
"650",644.415049276548
"651",691.168786995509
"652",533.273961655445
"653",490.608858585165
"654",545.642057678928
"655",505.994413405493
"656",650.019607149839
"657",609.810790156429
"658",518.474163103267
"659",674.202362037628
"660",566.101318395712
"661",764.659023676364
"662",581.334732128371
"663",533.876195840557
"664",562.939773734659
"665",656.422767988922
"666",693.288609001891
"667",543.703620340607
"668",552.66074454931
"669",577.550589726113
"670",592.438931069947
"671",648.862484644367
"672",537.177951124093
"673",570.348538686973
"674",606.009671043882
"675",531.548312403303
"676",602.362691597923
"677",572.280204511797
"678",601.952905061319
"679",529.612604519003
"680",566.618154052121
"681",586.237828679238
"682",532.639953555512
"683",579.390357241689
"684",612.700234895761
"685",500.797414674154
"686",591.640340855481
"687",634.623537471791
"688",708.094908455046
"689",595.072472762578
"690",724.672454277438
"691",638.203707854185
"692",595.883963704429
"693",591.845994639387
"694",624.16688137266
"695",682.610937423612
"696",677.262574097005
"697",695.740452050575
"698",518.145438203105
"699",559.374488117131
"700",604.388075669217
"701",521.549574133131
"702",597.247672444826
"703",583.472577387463
"704",501.479362280418
"705",630.785529488999
"706",559.496513205243
"707",671.007193905641
"708",656.782687057566
"709",626.683368330129
"710",659.464651849593
"711",633.274602710486
"712",581.093875263547
"713",669.454151301011
"714",627.262828701393
"715",556.111187020572
"716",631.811708185936
"717",538.638910413773
"718",553.791921352124
"719",592.775980944165
"720",575.386052851087
"721",541.313947006404
"722",607.585485972444
"723",525.908715461034
"724",609.866983028299
"725",584.676353511696
"726",641.447929076643
"727",556.507080182108
"728",585.439921605969
"729",579.35160106908
"730",614.809859127098
"731",647.069552999612
"732",642.947296216645
"733",745.201149902989
"734",536.66518277
"735",699.772281891813
"736",554.451939320452
"737",618.80454971782
"738",508.77737829917
"739",516.17613585441
"740",558.641685197373
"741",573.386907639778
"742",583.671707266746
"743",589.394953110669
"744",559.394723570181
"745",667.978896805246
"746",560.07235744167
"747",660.233414434775
"748",463.170551697971
"749",608.073278169992
"750",704.30332406708
"751",699.187552602595
"752",741.586674516983
"753",515.884534251902
"754",613.47677686075
"755",586.106707641599
"756",499.443960275378
"757",595.701521586348
"758",562.79562178242
"759",662.343904751121
"760",850.55387255181
"761",505.869365752828
"762",643.4575404314
"763",567.56156040596
"764",555.373961314858
"765",669.693641830671
"766",526.288566172531
"767",578.236013754411
"768",578.357698053119
"769",595.850998466595
