"","x"
"1",4161.18790951661
"2",4970.93266586957
"3",5924.30029818491
"4",4710.24393096928
"5",5728.85584838205
"6",3668.20097929892
"7",4462.18618703843
"8",4502.49101336885
"9",4958.08869851945
"10",6615.82517223419
"11",4905.15289320671
"12",4783.77129997179
"13",4493.96830074787
"14",5300.80371858649
"15",5011.56353797152
"16",4087.10554542813
"17",4644.8853915649
"18",5180.52763774197
"19",6803.68690851742
"20",5843.52855375261
"21",5373.1633648235
"22",3197.15654865153
"23",4583.44564560077
"24",5424.06631165983
"25",3426.49462950412
"26",7840.57389890835
"27",5262.68481912532
"28",4663.38913981186
"29",5471.48340266113
"30",4565.05391599356
"31",5078.63148412061
"32",6024.59639661046
"33",6096.42425785882
"34",4128.83475171812
"35",4591.63591458739
"36",6023.28786172415
"37",5566.33425882716
"38",5284.99005167521
"39",6031.99802834552
"40",5557.25739884723
"41",5178.65601611048
"42",5766.03358727399
"43",3934.08197910692
"44",4731.38062754451
"45",5723.41006759309
"46",5545.16295513901
"47",3999.16164216551
"48",4627.66245702402
"49",7749.03322068288
"50",6162.40741267033
"51",5737.41772899772
"52",5240.14071531395
"53",5556.44626942597
"54",3708.5786476521
"55",3271.28475095062
"56",6066.44660062374
"57",5480.43196531538
"58",3543.2209734044
"59",5447.34195167261
"60",4559.48009673034
"61",4662.13809488924
"62",3820.73890463968
"63",5039.91945934433
"64",5325.13758440203
"65",4049.47768484345
"66",3640.70501373878
"67",4443.20135761792
"68",4305.97853472493
"69",5051.27734363154
"70",5179.51135707505
"71",4862.15289500133
"72",4030.67003308442
"73",6062.29259809417
"74",4970.62755193932
"75",5819.97773877018
"76",5081.56828381168
"77",5692.35844518172
"78",4970.74463381376
"79",3069.8418687581
"80",4470.46874360396
"81",4375.88953287849
"82",5804.08305735337
"83",3804.24798897791
"84",4729.33613760288
"85",5152.6331255931
"86",5481.47465507282
"87",5863.47245546607
"88",3897.53039601364
"89",6232.92829149892
"90",6450.95752092154
"91",3989.90255660705
"92",4498.44396734972
"93",3973.85782593079
"94",4810.47817557853
"95",5289.08749771698
"96",4417.14383852638
"97",4128.90358657302
"98",3510.94863608213
"99",5558.25930171768
"100",4893.8305960798
"101",3800.04664619649
"102",4144.49975467146
"103",5951.98364941344
"104",6173.95511507803
"105",4504.53985295887
"106",7516.64033267489
"107",4868.86858307055
"108",4583.53223624036
"109",4427.29139907841
"110",4889.86092741724
"111",6773.73870903591
"112",4696.16024898202
"113",5030.50375443072
"114",5807.50632789983
"115",4792.03308374562
"116",4342.41775504814
"117",3419.68479079424
"118",3752.52622204554
"119",4104.19682035168
"120",5232.72987486557
"121",3832.21655960611
"122",5890.29802508361
"123",4428.79009714241
"124",4993.53862253824
"125",4746.40635751113
"126",4249.31239122159
"127",7136.0864929723
"128",6624.51080640855
"129",4730.97448102396
"130",5500.72958194211
"131",6503.11544046227
"132",3838.03157737513
"133",7586.6774295154
"134",5307.36118761066
"135",4830.4381703402
"136",5138.6138728941
"137",6235.65860662373
"138",4666.52621102957
"139",5119.15774093937
"140",4690.87761260482
"141",3674.49738709452
"142",4349.09097239456
"143",3659.78080972079
"144",3120.92496318456
"145",6095.54221295627
"146",4304.12764965339
"147",4231.67057554931
"148",5342.33067256534
"149",4728.02919368824
"150",4185.49608166407
"151",4779.67015823094
"152",4176.66504554389
"153",4375.46766059165
"154",5400.66785839565
"155",3877.85296578274
"156",6827.15949143804
"157",3853.91762207013
"158",4020.0235076546
"159",3970.44834260984
"160",4812.82414957929
"161",6466.24602738377
"162",4281.78278068227
"163",4958.49212037757
"164",5812.32158445302
"165",4292.11886083117
"166",5751.68197954178
"167",4494.17598327413
"168",6725.91412042273
"169",4014.2516638955
"170",5646.38837664417
"171",4868.60255680051
"172",4569.6427905615
"173",4590.61039632974
"174",4866.93829271372
"175",6049.91424393829
"176",4371.89736465157
"177",5242.25878097561
"178",3967.65428865158
"179",5983.83169110431
"180",6587.65281037052
"181",3270.1639739356
"182",5696.21865860961
"183",4922.082016431
"184",6040.32798598583
"185",4131.78819451874
"186",4226.25771152917
"187",5131.86012305698
"188",4338.37030306961
"189",3995.28651584601
"190",5638.40485644422
"191",3913.75365202166
"192",6313.59909931263
"193",5535.75535327362
"194",4905.61301195095
"195",3265.44033835279
"196",3602.52065693256
"197",6345.8854582253
"198",4077.3228868104
"199",4288.97235876508
"200",4662.47019870206
"201",5412.73708973923
"202",4252.42393492139
"203",5797.57246461481
"204",5119.8218890692
"205",4366.06702999721
"206",4243.21937693713
"207",4056.56984918886
"208",5344.81124743658
"209",5261.23132089037
"210",5223.61060617288
"211",3274.43999112489
"212",4725.44364564757
"213",4992.79152963338
"214",4910.40466792133
"215",4627.60654881894
"216",5046.91659091629
"217",3968.71905573245
"218",4060.68852006715
"219",4425.92622675682
"220",5632.01035998804
"221",5685.40607163962
"222",3827.6240779502
"223",4661.39528750638
"224",4435.91318189793
"225",5007.21510815357
"226",3844.01596329012
"227",4269.23914661975
"228",4574.61480679378
"229",5227.81312631573
"230",4747.26901855648
"231",4881.59701141235
"232",5033.2973521373
"233",4498.19517528954
"234",5010.13809013551
"235",4132.40190944648
"236",3818.99566922628
"237",4829.86226100033
"238",6468.12690258014
"239",4980.03771060172
"240",4914.63964706622
"241",4503.87031548006
"242",8095.0261686776
"243",4606.20353332392
"244",5303.16397531743
"245",4491.3495020845
"246",4180.79149389242
"247",4250.32634413481
"248",4749.03445761648
"249",4925.09144365606
"250",4873.88478233865
"251",3795.02984797535
"252",5324.0377092358
"253",4922.39538507817
"254",2878.7128896288
"255",5608.54803183421
"256",3717.45219623284
"257",5283.96101890234
"258",4526.28739469462
"259",4993.50030106402
"260",3951.66402506699
"261",5618.2306973409
"262",4441.21000847153
"263",4294.37416443159
"264",3758.24922639738
"265",5635.64779139289
"266",3574.64870028375
"267",4830.31825079816
"268",5557.35559924803
"269",4458.07209691278
"270",3640.55187641847
"271",3867.31520093408
"272",4895.09461695371
"273",4510.34679487288
"274",5105.47434694546
"275",4373.66332134781
"276",3508.94711720796
"277",4446.07473468512
"278",4503.59575847607
"279",3724.09783313777
"280",5376.25336335294
"281",4864.6157309451
"282",4618.09596693981
"283",4825.25252975115
"284",7303.55215837638
"285",5563.29861926401
"286",5069.52460999249
"287",6063.95487848785
"288",3812.12990484567
"289",5144.91821120352
"290",4025.60860909841
"291",4871.35976700068
"292",5565.14606507758
"293",4395.29203523824
"294",3172.32590081415
"295",4563.20874265045
"296",4244.31664819275
"297",4243.57639731834
"298",4701.98497568876
"299",5269.50494839184
"300",4317.02597065282
"301",3736.76811977919
"302",3801.52095583273
"303",4053.59773362201
"304",3280.82199121191
"305",5192.03403552279
"306",3232.86385219728
"307",4538.37298859554
"308",4202.9987213432
"309",4386.79048038613
"310",6281.16284254621
"311",4145.24670845413
"312",5416.68169985295
"313",4262.79055443072
"314",7269.9264283059
"315",6465.87862700845
"316",4124.84602480916
"317",4410.90462754482
"318",4728.16793664848
"319",5168.23537675094
"320",4667.18705544631
"321",4990.59463740671
"322",3938.16057482331
"323",4491.48256340965
"324",4361.76921755837
"325",4177.3633953877
"326",4356.44858538399
"327",4337.63807869773
"328",4885.16064296996
"329",5605.91147783585
"330",5445.22979534599
"331",6205.46323081429
"332",6715.73608818311
"333",3451.54194115357
"334",3776.90040006712
"335",4470.68387485548
"336",6714.83520935764
"337",4501.27649791297
"338",3856.7042986804
"339",4203.18299916963
"340",3025.98345971013
"341",4694.38466848603
"342",4695.38666900229
"343",4725.76299233393
"344",4331.41635997651
"345",5545.21127905941
"346",4858.36781894894
"347",8368.05247633092
"348",5855.72465892556
"349",3863.95770291236
"350",4881.09508959855
"351",4323.35001719089
"352",5380.14162593878
"353",4850.78763164633
"354",5832.94375938657
"355",4208.17199394135
"356",6015.32955646504
"357",4826.70679127576
"358",4469.96539857909
"359",4973.9746886337
"360",3252.40653486617
"361",4453.12211201353
"362",5232.20320215242
"363",4876.58210262093
"364",4015.14333287109
"365",5633.07469374996
"366",4483.90082816638
"367",4217.30400705652
"368",4845.59640758538
"369",5682.93501525315
"370",5016.27478495134
"371",5527.92162356805
"372",5587.18704163817
"373",5307.19254373641
"374",4562.31029774004
"375",3287.99858748112
"376",5204.30067009322
"377",2485.25086599362
"378",3988.89484737651
"379",5110.94322059598
"380",4524.38723838702
"381",5567.86851798868
"382",6577.98798710717
"383",3991.44409888421
"384",5023.92750800409
"385",5005.06580000783
"386",4380.67381201248
"387",3919.57829261635
"388",5976.50888426915
"389",4175.5982133385
"390",4501.28625064229
"391",4620.91595756044
"392",3639.24035868045
"393",3658.26389937548
"394",7356.3158790423
"395",4982.95683105037
"396",3964.70269138468
"397",5060.08331500879
"398",5480.81112010419
"399",3589.62564456413
"400",4516.66846957682
"401",4624.54422371956
"402",5493.01510638277
"403",5053.1753178575
"404",4784.7807264842
"405",4081.71292350701
"406",3163.16625614767
"407",6497.01784320966
"408",4290.1258188754
"409",4152.57151014905
"410",5856.95592795039
"411",6040.504677412
"412",5256.25588769027
"413",3852.3998270021
"414",4119.53753999057
"415",3852.71471378316
"416",4776.67748107908
"417",4483.80266649009
"418",5230.44182848423
"419",5051.63879418597
"420",4833.58268367572
"421",6357.49352289337
"422",6035.22834591093
"423",5788.91999243859
"424",5363.98839262518
"425",5114.2580992851
"426",4242.8379980675
"427",5312.17059237813
"428",4487.92568900413
"429",4291.2327736508
"430",5594.61540244308
"431",4988.11333729285
"432",4461.58996058896
"433",3911.91695119138
"434",4652.5818027951
"435",3815.22229632942
"436",6097.4792975557
"437",4214.69263907556
"438",5181.30393634246
"439",4848.08044958254
"440",2780.76950931439
"441",3585.80907256993
"442",5521.22585213407
"443",3992.80691637083
"444",4757.75860830505
"445",5389.15345271569
"446",4554.37129390471
"447",4300.00842153207
