"","x"
"1",638.244171888808
"2",755.379526872096
"3",866.566835945129
"4",701.383092190201
"5",826.529432324559
"6",555.505026722689
"7",671.021333997893
"8",672.842782917761
"9",697.453177625644
"10",979.255272492539
"11",717.67708004279
"12",726.396829911338
"13",684.381627037406
"14",747.864550195005
"15",713.337018619537
"16",585.895197799301
"17",692.45235603854
"18",752.344156173342
"19",1009.27915966457
"20",814.782367835583
"21",809.537358288267
"22",484.470437386503
"23",681.478145829127
"24",816.414778104418
"25",507.32710800175
"26",1193.59306341802
"27",749.918343152406
"28",668.546518800576
"29",817.327410046337
"30",682.657481683591
"31",764.759739746236
"32",870.309548860671
"33",894.459104732939
"34",606.061579100334
"35",694.744016544124
"36",894.949003852457
"37",828.567192428743
"38",804.710930716088
"39",894.875263153936
"40",804.11126867376
"41",771.872151572824
"42",870.142474665293
"43",581.1796646104
"44",718.21855085618
"45",841.370322622367
"46",797.155542834004
"47",579.028647313591
"48",700.382319915515
"49",1142.09967639786
"50",864.443849854841
"51",830.832607157659
"52",795.962784323661
"53",843.009949730762
"54",564.777852104644
"55",490.995204328415
"56",860.155613229571
"57",813.228918972658
"58",538.339104791589
"59",824.656048812411
"60",688.447054330983
"61",699.430509140525
"62",576.141761567612
"63",738.986384910245
"64",800.501641572679
"65",605.657466176355
"66",547.535575093571
"67",662.959520114781
"68",615.520471884937
"69",751.249882241937
"70",777.474120491566
"71",724.474476289731
"72",585.817241803338
"73",908.127329874069
"74",744.230423526274
"75",855.514954384001
"76",732.68376562599
"77",825.57613236023
"78",695.826299802174
"79",465.911234885796
"80",654.348483491279
"81",649.527863296551
"82",824.209737165542
"83",576.728942689156
"84",697.679425344251
"85",746.481683908839
"86",816.969905888563
"87",793.766189260499
"88",554.983084395805
"89",921.530002877192
"90",950.823969485287
"91",596.237767707769
"92",677.728784398605
"93",581.419799995239
"94",713.042570633026
"95",771.950554705653
"96",664.415320236601
"97",603.915683584797
"98",534.814458688463
"99",853.805300497788
"100",723.527765077868
"101",568.204490147877
"102",604.809127579084
"103",861.96910859459
"104",923.893481354709
"105",667.953658540359
"106",1022.94499058916
"107",739.866681700749
"108",681.935301643083
"109",670.357757715562
"110",732.792770107594
"111",977.727903047891
"112",709.07765666555
"113",770.265950497509
"114",862.646245820813
"115",714.16237845535
"116",650.061511200828
"117",492.787516851143
"118",555.165409927156
"119",607.523599580647
"120",787.345244275334
"121",585.6833087033
"122",842.091617206224
"123",666.418549926251
"124",750.308926298714
"125",705.308606500761
"126",627.521436384657
"127",1027.32865448375
"128",986.097488549794
"129",713.148996663173
"130",821.889775664108
"131",924.441722491744
"132",572.657444344862
"133",1070.40778530155
"134",790.861193646203
"135",717.367348000746
"136",753.534687052142
"137",887.039759946971
"138",702.514858694309
"139",768.567937064863
"140",708.61528341332
"141",542.164298281389
"142",645.965142908994
"143",542.315670850884
"144",467.805019846651
"145",870.047038786517
"146",648.226935110238
"147",598.228793099253
"148",774.784690197238
"149",710.701141640634
"150",621.74899415137
"151",706.87273303477
"152",613.198352930137
"153",650.047009742067
"154",816.758990616852
"155",573.246029654592
"156",1003.66223475569
"157",573.438694239048
"158",599.388566348373
"159",590.877434236642
"160",705.83619153066
"161",935.377521186278
"162",636.758245917856
"163",737.777691443333
"164",875.471569013237
"165",640.990435964226
"166",865.68707001357
"167",672.014394921215
"168",975.417804107409
"169",574.867390670509
"170",843.252691391868
"171",721.890483965615
"172",670.719180813124
"173",682.678973488943
"174",740.558701190073
"175",911.368128348023
"176",619.039785506285
"177",782.239058532379
"178",601.105808219368
"179",885.584896450201
"180",963.933025059406
"181",496.022365310426
"182",844.4452363652
"183",724.479852617267
"184",904.797168569808
"185",627.673773793851
"186",641.035589792647
"187",738.347595641
"188",657.330952448056
"189",585.803910398264
"190",838.710608318358
"191",576.12721032333
"192",918.194000240348
"193",829.637764196039
"194",733.556063572615
"195",480.323928269833
"196",537.504104109012
"197",934.163388255447
"198",615.079125102363
"199",618.47514504472
"200",695.495504772385
"201",762.20723394761
"202",611.738164015501
"203",868.814619781471
"204",742.267691052424
"205",648.090088424455
"206",626.223156117088
"207",607.676941689252
"208",794.041278864487
"209",790.280448210338
"210",786.390541056178
"211",493.075333401646
"212",709.681759893933
"213",742.043347595445
"214",696.181917563712
"215",677.722314845322
"216",753.563294830793
"217",584.761627627108
"218",605.320850120088
"219",658.877218777166
"220",825.189360370951
"221",788.063897544895
"222",572.038943821537
"223",699.859059633125
"224",650.450517080851
"225",749.844642067486
"226",557.25691314066
"227",620.361133538893
"228",683.113106070692
"229",782.827553480044
"230",721.171210374604
"231",706.179944499632
"232",759.810455735386
"233",674.366648461976
"234",724.137879314403
"235",615.590916375095
"236",545.975208379217
"237",715.087098441147
"238",930.442472027361
