"","x"
"1",2241.36845623235
"2",2213.35952829779
"3",2838.03643129339
"4",2872.7482011128
"5",2490.15121539945
"6",2458.72138314879
"7",2397.92287126357
"8",2453.86770104527
"9",2432.45237048026
"10",3115.66124656153
"11",2522.49224812471
"12",2294.51400113477
"13",2514.52149497145
"14",2612.98710505337
"15",2465.29436212364
"16",2119.35055089919
"17",2864.40930565822
"18",2572.61959229848
"19",2886.64378779283
"20",2347.76284253491
"21",2333.21555563523
"22",2583.19013435491
"23",2627.37280932029
"24",2675.52349048406
"25",2860.36696878337
"26",2599.3676527014
"27",2914.67171954458
"28",2619.13331299668
"29",2477.6446228533
"30",2872.37642012381
"31",3107.77747102294
"32",2877.61746589262
"33",2827.93738777858
"34",2764.29445653107
"35",2605.49000177647
"36",2692.27445737966
"37",2702.41167484888
"38",2727.18748724069
"39",2547.58962652721
"40",2525.41783588733
"41",2149.02083679148
"42",2450.75322426132
"43",2576.38325735453
"44",2341.22503289134
"45",2325.55907514348
"46",2508.6128604189
"47",2455.61794658299
"48",2936.97952736889
"49",2166.44775684087
"50",2412.10443570512
"51",3060.62364833293
"52",2449.12223749113
"53",2657.73769264038
"54",2459.02898456651
"55",2522.86293214251
"56",2548.88443565579
"57",2637.26751553521
"58",2611.63985567421
"59",2270.00501664023
"60",2442.67077331105
"61",2792.47091137065
"62",2741.23903091355
"63",2437.2051799246
"64",2505.47286460507
"65",2390.14050427226
"66",2823.53461571315
"67",2746.96600144242
"68",2001.25033140028
"69",1980.10143135919
"70",2654.7848219564
"71",2500.93778819208
"72",2286.47341564941
"73",2797.7501404594
"74",2464.14615531728
"75",2428.31075317073
"76",2328.61461190544
"77",2511.96991306041
"78",2506.98369871945
"79",2726.3592879411
"80",2702.84945863209
"81",2559.0386649219
"82",2991.52982103787
"83",2982.69392674403
"84",2221.67985164791
"85",2760.82178016457
"86",2666.84177179826
"87",2243.44589502203
"88",2514.79928760462
"89",2565.69693090422
"90",2701.16215284552
"91",2753.75860956719
"92",2379.33375018909
"93",2280.34150679014
"94",2666.14017873773
"95",2677.62849150391
"96",2224.88131724324
"97",2038.63994162638
"98",2461.72749774037
"99",2316.66202660254
"100",2191.61421161846
"101",2483.27352907012
"102",2487.20956179584
"103",2474.90561574706
"104",2712.15546229549
"105",2871.03934081284
"106",2270.88563059427
"107",3263.67029189978
"108",2535.82965503498
"109",2648.54701811408
"110",2450.0740930733
"111",2337.51659444094
"112",2365.7426076003
"113",2803.23044103223
"114",2197.55401742789
"115",2778.60694117012
"116",2371.40245797298
"117",2025.82624405876
"118",2689.76343663279
"119",2448.88433065977
"120",2287.1321879037
"121",2286.26072085283
"122",2733.80720987192
"123",2641.20883616028
"124",2722.17149752206
"125",2904.30083236554
"126",2861.90384406347
"127",2911.87949641246
"128",2340.34344284143
"129",2983.42110727882
"130",2642.07137576685
"131",2939.41081297829
"132",2472.43915364903
"133",2540.4925603605
"134",2609.70664804788
"135",2526.34274934078
"136",2473.54873167429
"137",2383.74824628566
"138",2322.41300184882
"139",2992.76490856283
"140",2507.4773504288
"141",2594.00905996188
"142",2308.52596565006
"143",2052.7995764159
"144",2840.06048985093
"145",2441.69677081536
"146",2320.11927529304
"147",2227.85811743779
"148",2266.01738818109
"149",2394.91364264958
"150",2700.12339034369
"151",2467.0485747384
"152",2449.54074202255
"153",2498.48847986297
"154",2323.2766577765
"155",2482.12004927854
"156",2321.29116073539
"157",2558.67057183244
"158",2589.84972580898
"159",2818.81632127183
"160",2755.41926935894
"161",2419.16480597753
"162",2111.03100147287
"163",2132.19367255078
"164",2031.69843274458
"165",2275.36882272602
"166",2997.28116857701
"167",3144.75090711481
"168",2283.03343697077
"169",2619.13131969316
"170",2499.75174434652
"171",2531.4869590661
"172",2303.05899085065
"173",2369.46283442193
"174",2516.79285077181
"175",2395.95166481811
"176",2677.63411848589
"177",2835.48125047336
"178",2911.78922776628
"179",2347.3471174832
"180",2495.97065712879
"181",2390.89375720641
"182",2263.97418327569
"183",2783.6155902426
"184",2889.05962946467
"185",2249.28463923725
"186",2519.80614951041
"187",2624.9030758078
"188",2376.94779964959
"189",2714.4931376945
"190",2345.13733479243
"191",2339.13343133652
"192",3137.0241820046
"193",2225.38574098771
"194",2660.22723694584
"195",2264.37915712182
"196",2613.6231665319
"197",2615.47697460665
"198",2436.83435015609
"199",2653.72851468911
"200",2307.32157753416
"201",2621.30962876451
"202",2450.90282365538
"203",2574.08206772849
"204",2228.16814397241
"205",2509.18167525506
"206",2693.74224060992
"207",2435.06482302306
"208",2575.53614907672
"209",2745.02202020271
"210",2236.30760662904
"211",2395.44726824066
"212",2768.46706304456
"213",2780.47234571102
"214",3072.34532238793
"215",2726.8127218997
"216",2664.45796272905
"217",3292.40105357388
"218",2879.09659051443
"219",2653.08755660935
"220",2776.55318018456
"221",2586.94334847719
"222",2451.81383494844
"223",2434.14712050436
