"","x"
"1",434.67658792549
"2",471.947810338066
"3",493.020473698583
"4",477.920642948465
"5",469.451997527117
"6",508.550644585865
"7",430.992072357602
"8",462.373044832824
"9",420.038086058103
"10",563.626392983925
"11",517.947928379377
"12",453.624216477978
"13",482.601769744444
"14",488.118405939278
"15",432.94554828942
"16",410.185442087519
"17",483.312120929919
"18",472.553511833064
"19",555.139314515675
"20",436.769743766889
"21",455.130010493838
"22",509.73166076717
"23",461.373075876
"24",542.263454585252
"25",460.57731116634
"26",475.051271586861
"27",527.492243031322
"28",496.744367663125
"29",484.72444967953
"30",527.059482945171
"31",578.444446162009
"32",533.48989698407
"33",471.833832773964
"34",554.246144518544
"35",552.229373021678
"36",510.743137372529
"37",514.47673979099
"38",481.050143590199
"39",506.31962906473
"40",483.218537734579
"41",426.297561374823
"42",472.840311087627
"43",508.022106778761
"44",456.686236524339
"45",481.315709530228
"46",487.869173646122
"47",487.139726583802
"48",537.672672685541
"49",464.11786403244
"50",457.20659348714
"51",537.355250076015
"52",434.929096978228
"53",497.813591672636
"54",440.399086135694
"55",468.262173237192
"56",518.828116440567
"57",506.848861894752
"58",490.824550300539
"59",463.853793931045
"60",480.261675023952
"61",509.33440249872
"62",504.587063639944
"63",452.643182541283
"64",463.999943335811
"65",461.640842315846
"66",512.228763501359
"67",465.225357983528
"68",394.219033730857
"69",384.047036109853
"70",490.686425097998
"71",438.671297363196
"72",490.642894910407
"73",535.007416059817
"74",460.776792594569
"75",474.474625908188
"76",493.731305883194
"77",494.630934853445
"78",509.618693991162
"79",531.321105648342
"80",548.274413861887
"81",470.687476322556
"82",523.503707687036
"83",594.55263172402
"84",458.297210581826
"85",481.450703189076
"86",583.058961289055
"87",418.182316306174
"88",452.143829123494
"89",484.215194160063
"90",497.013076654148
"91",542.316758096591
"92",481.335773473627
"93",465.452116767869
"94",554.133530747144
"95",499.560571325638
"96",395.200488739773
"97",419.885388178923
"98",452.717283280775
"99",456.036599913612
"100",424.384512002126
"101",468.611146155784
"102",482.526183931448
"103",439.995054135882
"104",518.155632958389
"105",527.711030191469
"106",459.882229102567
"107",682.740762507485
"108",473.734661349356
"109",459.082061126601
"110",483.35274834582
"111",504.198420063113
"112",454.757747458858
"113",592.672101548255
"114",381.356556831941
"115",562.299415947864
"116",460.874083159496
"117",412.304249979712
"118",536.375367740867
"119",546.623107213088
"120",454.184881183319
"121",412.913963451271
"122",517.116873322196
"123",439.799468423349
"124",511.518103100358
"125",570.13298095031
"126",541.614268847871
"127",503.054365424913
"128",451.911125436518
"129",607.025587868461
"130",525.410513868953
"131",551.565096957625
"132",449.260621482036
"133",495.984469164962
"134",517.384020306469
"135",489.007642855983
"136",464.402872682947
"137",442.141614917555
"138",490.245116179629
"139",612.282443269878
"140",443.265068224109
"141",489.639239715173
"142",447.922987804064
"143",432.776684385097
"144",529.098979469879
"145",475.286542880083
"146",428.6822209001
"147",444.464494779358
"148",443.267899021252
"149",450.46309466432
"150",493.502898564252
"151",471.013908065665
"152",480.904729836787
"153",471.522987309258
"154",465.756938495089
"155",540.193252913234
"156",443.156933416892
"157",502.007764024448
