"","x"
"1",16770.4980358207
"2",18526.8202497084
"3",19517.4966992991
"4",13715.806757048
"5",15312.2264617018
"6",19829.8838379294
"7",17219.8454384193
"8",19099.8731774206
"9",12792.0811957679
"10",17020.6492141806
"11",23344.8613207192
"12",19905.402684409
"13",16238.5634287716
"14",12744.0468825632
"15",20282.4054019869
"16",11695.3127887059
"17",16235.2566196389
"18",13569.0916134017
"19",19117.215225771
"20",19763.4345376296
"21",11788.6768482935
"22",15818.9322004187
"23",24962.6989113485
"24",12145.9972969063
"25",14000.1589908525
"26",18821.6496218604
"27",15678.1259321323
"28",12591.2512347353
"29",16680.9735971545
"30",14299.7413469932
"31",14529.0485212025
"32",11589.8517398704
"33",32098.7218605953
"34",17608.6069679629
"35",15856.1464608942
"36",19369.164155274
"37",11656.7681057676
"38",17478.1500304603
"39",14115.4329559204
"40",11368.6551022668
"41",19425.5572601655
"42",16357.5750315619
"43",16477.7400953942
"44",9343.96153741967
"45",19489.8498394878
"46",17116.6887996517
"47",20046.2204089213
"48",15153.097353499
"49",12208.3729369028
"50",15670.4880140553
"51",9941.34708467577
"52",17685.5900993732
"53",13484.6173834942
"54",15137.8074397435
"55",11512.2653262056
"56",17472.3465890015
"57",13469.9850239938
"58",23021.359721148
"59",14513.2423462855
"60",18034.8311931033
"61",12864.9549727247
"62",13363.3245800623
"63",17139.3062305879
"64",26730.5575027037
"65",8843.26751623311
"66",21145.4546560874
"67",11658.3434679377
"68",37146.2810535198
"69",13342.3742299505
"70",12987.0183082247
"71",17311.4668803814
"72",21066.8851238948
"73",17750.9621979596
"74",10764.3966856116
"75",12173.7711483653
"76",19672.6034693385
"77",23785.6322815531
"78",14893.3586958686
"79",14761.460122096
"80",41415.1682384934
"81",16440.4710928903
"82",17191.4662461493
"83",15940.2643634093
"84",18142.954904766
"85",18142.954904766
"86",18142.954904766
"87",22074.3319488615
"88",17900.3736185154
"89",15402.8143974872
"90",15402.8143974872
"91",14222.5799712176
"92",16439.2125633301
"93",12558.6721644396
"94",16194.4287894248
"95",13468.8784821689
"96",23996.3656537192
"97",15437.0963658144
"98",13447.0407412692
"99",22481.0229178815
"100",26110.3626036943
"101",26739.8034054926
"102",15346.9842651232
"103",17292.7014198012
"104",17292.7014198012
"105",16414.3667368106
"106",10184.605633087
"107",23702.6768787246
"108",20936.7674210924
"109",15954.3698944632
"110",17148.6261691461
"111",23437.1414618823
"112",19162.0446734926
"113",13158.4435463978
"114",14774.4431972044
"115",11767.2267909462
"116",12318.3142806732
"117",16215.6115002271
"118",14257.5822485823
"119",14535.6614384827
"120",16645.0429309638
"121",12248.8470324957
"122",9634.38151885469
"123",12760.0057878786
"124",17406.6244812345
"125",10679.8624261081
"126",9451.63509034977
"127",14857.850007911
"128",15973.8729554325
"129",11178.1038176606
"130",9601.5959597303
"131",9238.32299172493
"132",9238.32299172493
"133",11106.073080161
"134",10147.5672354807
"135",18924.1040022809
"136",11869.8317211767
"137",18463.3666685534
"138",15266.2877556615
"139",15278.9883310426
"140",14402.1152209495
"141",23273.9046561902
"142",14898.9612167277
"143",14897.4357251005
"144",22942.9106699586
"145",24813.4195135585
"146",11729.5728512301
"147",16117.8563841796
"148",17552.9023713992
"149",13272.4931388932
"150",17839.2362381867
"151",13855.8868043078
"152",20692.3779752733
"153",12193.3372605402
"154",25785.1997432832
"155",12022.6785871207
"156",20194.4117471017
"157",14050.2652501265
"158",18737.439712356
"159",19840.044678017
"160",16792.1579690488
"161",17669.7832940136
"162",20098.0158597533
"163",20695.4530298383
"164",17934.3303806732
"165",15353.5251477125
"166",25072.5569628379
"167",24072.2278591149
"168",15300.2380958778
"169",19223.3610288751
"170",17451.6211246803
"171",16073.1451887183
"172",11050.1631045585
"173",12531.2422671632
"174",16190.24129149
"175",19697.8817308045
"176",12091.0426518658
"177",15848.5029854455
"178",19715.0531903572
"179",12630.7957325603
"180",25672.7624856688
"181",12463.5452946241
"182",14841.9862858947
"183",10766.3575290794
"184",17286.6039183429
"185",14372.2308840348
"186",15679.9155607683
"187",19347.1839318714
"188",14638.4727527844
"189",17278.2198932535
"190",12689.462841815
"191",16141.5640671027
"192",17848.0520263426
"193",11000.1357176131
"194",19488.352395274
"195",20274.0730676791
"196",28545.9507154281
"197",26217.7926030684
"198",13616.0687770241
"199",23523.3166164581
"200",10082.2398901641
"201",10404.0343316145
"202",11404.1771606959
"203",20039.1427011716
"204",12978.1097788821
"205",17270.900087854
"206",13328.1868531951
"207",15804.8037479716
"208",17683.5411930536
"209",25573.0516613151
"210",14548.5786083894
"211",28905.5006163702
"212",27464.4660055954
"213",13802.4511752608
"214",10359.3984330519
"215",20640.6296994881
"216",20790.0139380053
"217",13711.3843211369
"218",24972.9796626108
"219",12628.3398912807
"220",22715.7156988412
"221",18202.511222395
"222",19095.4242135633
"223",24546.3138192382
"224",14836.1421984362
"225",21260.0353491748
"226",16824.6208189451
"227",9152.75633121361
"228",16735.0205698303
"229",14376.2548102737
"230",14573.4199283462
"231",13794.7332242498
"232",12419.6490152786
"233",18289.9359114019
"234",17335.7885768728
"235",11659.1873082053
"236",13203.8094044382
"237",10634.1403306046
"238",12952.1343333211
"239",12044.1697970176
"240",16148.5308206842
"241",10784.1769079644
"242",25146.0010529239
"243",22679.1006608008
"244",14016.7453870965
"245",16498.1572510966
"246",23699.1785399035
"247",16196.3721167745
"248",16870.5317654894
"249",12288.9036214279
"250",21258.8913568183
"251",24698.2513847847
"252",9082.839009191
"253",12605.2699795714
"254",12605.2699795714
"255",14928.2015415025
"256",13347.8411338408
"257",14363.6248349764
"258",22622.9797064592
"259",19979.4534672787
"260",18050.4501710602
"261",22080.3633494317
"262",19496.3781771209
"263",13890.5360908602
"264",21557.2916240142
"265",17454.8090594228
"266",21674.8145755693
"267",12555.9201897075
"268",13382.2959242757
"269",18143.775168128
"270",18454.1791668596
"271",13371.1028164367
"272",9354.7268273527
"273",9858.08904239912
"274",27970.2909634771
"275",24640.8248091182
"276",21765.5729056051
"277",11981.0431311958
"278",11773.0845563381
"279",14683.9103062409
"280",10105.1559413067
"281",17283.5790109626
"282",12080.0144055419
"283",18181.3689187593
"284",13707.3002221007
"285",11617.9834830287
"286",18424.7087604872
"287",10640.0810139823
"288",18325.3843032317
"289",16099.0135392955
"290",8236.36512853845
"291",18548.3892582042
"292",18408.8513004011
"293",15303.7502964708
"294",13931.9886518929
"295",16981.0254108851
"296",14208.9167052877
"297",14897.532795211
"298",12948.6446491723
"299",15488.4122844646
"300",12216.1207970591
"301",15389.5454818904
"302",11538.2441575588
"303",12786.6172926952
"304",16332.5310657948
"305",11280.3204911839
"306",10827.9396756574
"307",10559.9336851853
"308",19038.5436774903
"309",11361.0264382622
"310",16493.657070616
"311",30370.5972653334
"312",20706.1578027744
"313",10824.1792733793
"314",10979.2278957054
"315",8872.92971515348
"316",8872.92971515348
"317",8872.92971515348
"318",12462.4700815188
"319",19176.2270891119
"320",12081.7238893011
"321",20108.0274446924
"322",19094.9776126544
"323",11967.4354804206
"324",17504.8437538625
"325",9274.4754040691
"326",11112.6573159852
"327",16949.0545267247
"328",11686.4253988081
"329",17967.3832028301
"330",13502.2114542115
"331",22380.9537627941
"332",20606.7674899758
"333",12393.6359724637
"334",21414.8153314859
"335",9736.82600401813
"336",15974.2278161644
"337",12158.9287969379
"338",16217.6636393857
"339",9354.57462681129
"340",15296.1249434478
"341",14851.7776457552
"342",15725.0763835879
"343",15510.2268504734
"344",22729.7465202701
"345",20140.9287697541
"346",13022.7492641885
"347",11506.4485338448
"348",19917.053331265
"349",14338.0628303462
"350",13072.7035304436
"351",19389.2434243489
"352",13148.5026765067
"353",10278.4060810096
"354",18746.6752542453
"355",15028.3180403842
"356",13795.549581547
"357",20091.5978910219
"358",12390.0697453166
"359",22940.9854665499
"360",17661.5741167976
"361",16887.3581498481
"362",17865.7507999208
"363",14930.8773464755
"364",16849.5468522927
"365",15477.3886941964
"366",19136.6344037333
"367",24917.3412415593
"368",21225.0204433062
"369",12335.1465078683
"370",15466.5956105599
"371",13375.8286166665
"372",9388.19098398518
"373",19003.4262776118
"374",15612.9416836499
"375",14892.7300646214
"376",19279.7267026848
"377",12152.4034560422
"378",16397.6457502858
"379",13160.9746659832
"380",14296.7121159898
"381",20575.4053125959
"382",13165.0382672042
"383",17621.9485317191
"384",16775.3789067511
"385",19931.0644103048
"386",18000.572011507
"387",21165.9871041919
"388",16721.877035876
"389",18995.3920842503
"390",12173.6595907019
"391",23798.3077460966
"392",16136.5387563664
"393",20364.8035599606
"394",21897.8546706
"395",19716.3184229059
"396",28579.0882107551
"397",12652.5712579635
"398",16635.7032130277
"399",13401.8845689554
"400",21920.7954199481
"401",14635.1703755656
"402",12921.80024482
"403",16073.7531236155
"404",16073.7531236155
"405",11281.8616389698
"406",17807.0341068662
"407",17877.1206382576
"408",15499.4358458186
"409",11195.677603953
"410",12214.5286969702
"411",15005.5658702115
"412",19043.8676079209
"413",24725.3814633469
"414",21317.1176912251
"415",21670.3354604414
"416",10044.128997025
"417",12969.2469011585
"418",14211.8004019352
"419",20853.1077938535
"420",27873.5797493409
"421",18434.1395316031
"422",14881.843978065
"423",19658.8080475567
"424",11420.3299359798
"425",14756.2686071304
"426",9818.79326784722
"427",19943.4288049791
"428",14985.5392075473
"429",20799.8677558445
"430",19393.8886755804
"431",21352.475216266
"432",13800.2254890291
"433",14969.6878841754
"434",14969.6878841754
"435",12054.4043163764
"436",13216.9072632852
"437",18588.244125347
"438",19625.0317664311
"439",15821.3200156069
"440",21062.2079887813
"441",16466.0417315051
"442",11802.3731707042
"443",19686.4523036306
"444",19391.4051444887
"445",17330.6860413437
"446",24739.4582395019
"447",17684.1377103719
"448",11393.2021612515
"449",13983.1046902115
"450",18251.3437445483
"451",18106.0749452452
"452",17269.2058876789
"453",17007.8530300594
"454",14649.3662009145
"455",14598.6760310714
"456",14294.9191020849
"457",12625.361188104
"458",23493.1650856699
"459",14531.4325792815
"460",13287.1344697407
"461",14249.6567250078
"462",13754.0785300665
"463",15764.5283025613
"464",29237.8166848745
"465",11755.3319615305
"466",20715.5890900463
"467",15041.2044001822
"468",18389.8813138495
"469",21942.8715319681
"470",18639.2807733526
"471",15460.5562504792
"472",12514.1824351022
"473",10958.0677467784
"474",14916.3221762472
"475",12286.9521958131
"476",36332.7347104861
"477",25542.3233463692
"478",27192.6693232765
"479",13282.3809829863
"480",14898.8532902669
"481",12538.5291600212
"482",17702.6100068451
"483",18601.7794325587
"484",15664.4223579094
"485",19047.071949835
"486",21183.9480968052
"487",17088.576546602
"488",16940.77286653
"489",15034.146951508
"490",14286.5831855222
"491",9910.38162979571
"492",18538.9858446502
"493",16416.3736058404
"494",23372.7312891287
"495",13109.326231263
"496",12401.05358441
"497",26831.6521949754
"498",18736.2751601078
"499",14537.5245534086
"500",15343.8375877916
"501",17329.4190905599
"502",13353.5179397954
"503",26120.6139635376
"504",16259.6723768411
"505",9864.65511373039
"506",11629.2070891962
"507",11031.2199902956
"508",16564.4237668909
"509",15265.9141208394
"510",11189.209334853
"511",21408.9280401988
