"","x"
"1",8043.26143575838
"2",6725.624803264
"3",8238.38445423959
"4",4861.79150474742
"5",8567.89689826403
"6",9297.38502012239
"7",5078.25087852234
"8",5768.50625145136
"9",6141.99438857838
"10",7157.57470859701
"11",7092.42700813324
"12",9074.79092440929
"13",5909.89172232509
"14",5565.62551672559
"15",6780.80794985365
"16",7361.02012436642
"17",6114.62625623638
"18",4507.96000013106
"19",6703.09929272042
"20",6871.83890084133
"21",4743.44690898648
"22",4163.32425008244
"23",8697.28400470879
"24",3594.25618272647
"25",4151.10965983695
"26",6050.95784389793
"27",6468.24120502646
"28",6114.49352259658
"29",6406.49709106251
"30",5756.38274131562
"31",5901.14196588018
"32",4451.24253005415
"33",6959.21365866351
"34",3968.70447309814
"35",6853.91494195795
"36",6233.51688915187
"37",3917.64412082762
"38",7211.25856683948
"39",4469.90637307312
"40",4361.5974929189
"41",7215.116539106
"42",4997.46333209717
"43",6165.45202644149
"44",4393.0246237909
"45",4727.61165499255
"46",5860.89624082107
"47",9088.7326486371
"48",5255.29052840929
"49",4486.13573174585
"50",5766.465247605
"51",5171.30420979332
"52",6970.26488494789
"53",5873.83559180451
"54",6922.55740810128
"55",3348.30300611174
"56",5755.51912795849
"57",3628.86596284638
"58",8014.09988897957
"59",4678.66644865
"60",6000.69830396057
"61",4256.54032712874
"62",3270.05571756292
"63",6882.81184887577
"64",8809.28294328699
"65",3835.59249573849
"66",6606.46078864778
"67",3956.13701380161
"68",7121.28746452917
"69",4991.40021913697
"70",4967.61021487392
"71",6874.02063454458
"72",6608.89872889803
"73",5335.46506875875
"74",3051.42444955599
"75",3282.56406413577
"76",8691.92677529375
"77",7025.16929589041
"78",5733.79005040841
"79",6506.04660487181
"80",6017.73293671205
"81",6250.38097206252
"82",8279.55027195349
"83",7319.96457555397
"84",6510.54961898094
"85",6510.54961898094
"86",6510.54961898094
"87",7248.29309550829
"88",7427.33542927743
"89",6131.28711399508
"90",6131.28711399508
"91",5595.87991473848
"92",4769.34307857443
"93",4355.57140671368
"94",4723.29129278439
"95",6471.65170091529
"96",7425.53887961194
"97",5638.86805748648
"98",3976.79194679326
"99",7442.33639909123
"100",8931.67479948623
"101",6141.06173899857
"102",6136.91311793103
"103",7753.70275045273
"104",7753.70275045273
"105",7399.39938428311
"106",4643.24707644393
"107",6407.96424940832
"108",4383.78197348258
"109",7647.57312742248
"110",4471.16998891039
"111",9745.77848754346
"112",7696.88868205802
"113",5205.76899313745
"114",7162.07463974368
"115",4750.22227290723
"116",6130.92210599826
"117",7340.12314549183
"118",7594.54330944865
"119",6276.17460408459
"120",6499.07513590301
"121",3904.523982417
"122",4423.10388892787
"123",5467.33715831438
"124",6687.20891421892
"125",3738.29820451155
"126",3528.9345481288
"127",5049.515704343
"128",6172.12369144129
"129",3951.96462214297
"130",4304.01856233156
"131",4605.4237248782
"132",4605.4237248782
"133",5797.99796210281
"134",6016.94401323648
"135",5395.96807562257
"136",4228.98478265189
"137",8919.01909193532
"138",7871.28051087615
"139",5866.32555804217
"140",4915.23970361351
"141",6870.19637157221
"142",5948.99103115572
"143",4861.71222648736
"144",7727.56305776943
"145",8499.38046430324
"146",5397.28226728046
"147",4757.69786738924
"148",5248.02105480418
"149",7123.07880231276
"150",6634.21923576064
"151",7918.19519364841
"152",9993.09689776486
"153",5274.91803868739
"154",9384.29646987499
"155",4047.44663156034
"156",5224.48312857954
"157",5069.73599793968
"158",5396.37256370161
"159",7101.10369318265
"160",6796.7073612819
"161",6588.82578217928
"162",7803.81947520719
"163",11074.2629476579
"164",6607.04188774278
"165",5968.89964301817
"166",4756.11689449426
"167",7878.16186379193
"168",4968.38001846192
"169",3536.79677277595
"170",7977.09899396081
"171",8962.84542975462
"172",4331.84438780456
"173",4210.51277086563
"174",4600.20019536405
"175",5468.91963629374
"176",5652.87788032883
"177",4271.55843351406
"178",5442.35784833481
"179",4371.05737318053
"180",13004.0253096351
"181",5436.08141393387
"182",7566.55569931687
"183",5258.44538236461
"184",7065.44864288772
"185",6752.31613088421
"186",6159.92185280989
"187",4845.88985780697
"188",5574.62751536283
"189",6130.87792902513
"190",4194.30644987056
"191",3961.93566451632
"192",11145.4328344093
"193",3394.94108514679
"194",4282.18932215045
"195",8178.33463987392
"196",10435.4237113398
"197",5282.68860061042
"198",4612.96508516847
"199",8082.34954498322
"200",3236.5850754246
"201",4399.020783226
"202",4616.65724379462
"203",8120.03040293479
"204",4756.12700984228
"205",5126.06177445071
"206",7038.35040982952
"207",6042.04119770788
"208",7411.92990005774
"209",8965.04629549751
"210",4336.33309322986
"211",14948.9656663273
"212",15068.0508473048
"213",5219.06324119765
"214",6520.83896413081
"215",6922.48107416728
"216",7379.34705551656
"217",3830.19069158722
"218",8642.65174836633
"219",6159.82379530976
"220",5728.92144949837
"221",6787.54788210022
"222",6279.12204396458
"223",8606.00443995614
"224",5868.13343280657
"225",7271.65999780835
"226",6008.89134198382
"227",2977.00946949966
"228",4881.00402193828
"229",5179.94195865413
"230",6052.27589521744
"231",5548.28268052437
"232",4893.05184902786
"233",6999.49212902981
"234",6389.77465368764
"235",4522.75176431156
"236",3370.8517748273
"237",5086.08317927728
"238",4720.3088808015
"239",6666.00405062974
"240",8967.71725729073
"241",4411.80349790836
"242",6115.67131191641
"243",4400.50163888663
"244",6430.09857524406
"245",5388.09978385021
"246",7174.7587267951
"247",6867.88286990615
"248",9526.67099506293
"249",6286.33982637259
"250",7270.68777236515
"251",10743.701549056
"252",4094.04335548322
"253",4338.08447609643
"254",4338.08447609643
"255",5855.22132367763
"256",6482.05081205969
"257",4754.81477503385
"258",9033.39695249583
"259",5189.98972083954
"260",5977.30419318386
"261",7967.69883950854
"262",9016.05364105681
"263",4053.53134746683
"264",9058.23742455213
"265",4881.01938018738
"266",9866.15450522326
"267",4298.34177906604
"268",6787.36451631127
"269",5048.47510750266
"270",7546.97006330623
"271",4262.06604229729
"272",4883.78343306806
"273",4550.11548466115
"274",8614.4705394613
"275",7713.48146581721
"276",8226.0444362752
"277",3725.7361403435
"278",4629.4027167237
"279",6839.43939979145
"280",4992.49505339831
"281",4816.97597986965
"282",5877.81555906252
"283",6322.5752556822
"284",5398.12290124957
"285",4293.59847075489
"286",8158.99145211357
"287",4180.1189671637
"288",6259.07284111172
"289",8411.68166735595
"290",3803.62684835307
"291",6036.99542706945
"292",5767.57623704797
"293",7336.89533894382
"294",6593.01319941505
"295",7408.59062918939
"296",6881.62885004602
"297",4641.37863122493
"298",4145.50313164073
"299",3112.55914791768
"300",4741.4035793942
"301",6149.86854556454
"302",4957.49914305712
"303",4596.33063913667
"304",5256.80704060754
"305",3630.35949689148
"306",3656.46043248365
"307",4514.52823424331
"308",6545.1677579324
"309",5087.89807440675
"310",7151.89276953299
"311",8033.81719789135
"312",6634.24809604698
"313",5764.48997999226
"314",5475.30256555986
"315",4116.22318262738
"316",4116.22318262738
"317",4116.22318262738
"318",4976.86197740553
"319",6045.04471233671
"320",5456.58667749968
"321",6184.68697332803
"322",5951.87566552527
"323",6130.64211153282
"324",5791.15516588809
"325",3208.12660016816
"326",4841.37259814429
"327",4832.39226403317
"328",3411.76587283877
"329",7009.407426514
"330",4541.9649144584
"331",9655.04291881544
"332",7477.87767571732
"333",3906.05466441371
"334",7751.35999138616
"335",3793.02734620997
"336",5463.99313851931
"337",6700.63040825315
"338",6973.99967519639
"339",3969.99270038489
"340",5946.65866494212
"341",6639.14818986743
"342",6463.91884001424
"343",5540.94769581438
"344",4389.88636145203
"345",7706.04387370871
"346",3065.27556117509
"347",3549.71372247936
"348",7680.84553046442
"349",5589.73669700392
"350",4879.20456921465
"351",5048.90561556387
"352",6146.51336649261
"353",3314.33627214865
"354",4767.00314610442
"355",5133.35057769059
"356",4917.41706742956
"357",5472.07291158289
"358",4941.23685978825
"359",5276.04856413431
"360",6307.19402277685
"361",6547.55821154279
"362",6467.88053364818
"363",6423.69271280303
"364",4546.96912993419
"365",7350.87867813471
"366",5509.42729278046
"367",5103.40055579534
"368",6022.80416299603
"369",5104.29127824112
"370",7728.62101432726
"371",5784.71540781761
"372",4626.84490352873
"373",4404.25754315235
"374",6327.97194507964
"375",4788.87281020956
"376",4165.06835285212
"377",3525.76235944819
"378",6242.04883402679
"379",5276.65272625556
"380",7062.39406880425
"381",7345.55791911964
"382",5273.34077934527
"383",5690.64095205008
"384",9774.43812643338
"385",6960.82186798832
"386",7136.94933711557
"387",9394.8096906708
"388",8405.20564891763
"389",5144.00180174205
"390",5246.15097925167
"391",4535.93729754538
"392",7618.26750210365
"393",6316.52808850069
"394",7105.6571881034
"395",5846.34136444342
"396",7875.70339002706
"397",6498.71418704189
"398",5778.95410804643
"399",6203.43605647021
"400",7630.52645447893
"401",6821.3452306467
"402",5511.25900679938
"403",5441.01881525544
"404",5441.01881525544
"405",3807.46876717698
"406",6432.47237913499
"407",8378.52837521245
"408",4552.5752253913
"409",4931.19834578838
"410",4945.00417214085
"411",5126.93035400801
"412",7266.50949631642
"413",7924.18039757092
"414",5787.00336522048
"415",5383.43277608539
"416",4286.99167119168
"417",4228.47223626618
"418",4990.48191268702
"419",4960.82175535926
"420",7801.92821485355
"421",6681.93573997006
"422",5335.94900335533
"423",8533.00216372046
"424",3677.97980811426
"425",5334.54141754246
"426",2891.4880244117
"427",8370.59964762697
"428",5641.64380853658
"429",4881.15289553998
"430",5158.54855890547
"431",8483.72587893345
"432",5534.36821167445
"433",7130.08445584801
"434",7130.08445584801
"435",5290.17495306387
"436",5277.06860158047
"437",7447.0401706861
"438",8320.99671893572
"439",4083.43371418387
"440",6837.41985773036
"441",5651.63815710207
"442",4129.19347351405
"443",6945.09445508893
"444",4886.51812568902
"445",5303.21833649865
"446",12299.2383298381
"447",5592.28011071504
"448",5013.14813407559
"449",3895.88471768448
"450",7548.36501612794
"451",7048.13181224082
"452",8836.85353553352
"453",7494.9706013658
"454",5528.92474795929
"455",6302.93984976804
"456",5597.93476507669
"457",7317.68176506763
"458",5097.09323441828
"459",4163.66123526645
"460",4963.60303612025
"461",4868.74080989603
"462",4859.92536314701
"463",7212.76480379996
"464",12145.5889606174
"465",6025.81760518316
"466",11111.1912276833
"467",4956.21697864312
"468",7486.9455879272
"469",10115.8246447535
"470",5005.16099556355
"471",4642.84579776679
"472",4235.43166577243
"473",4220.18281239041
"474",5904.89515726208
"475",5028.03351813955
"476",10139.889739581
"477",7420.31554312329
"478",4388.79146113106
"479",4701.65723606723
"480",6148.1791535287
"481",4314.01350351633
"482",9090.19192044539
"483",4861.65071150743
"484",6577.85848747327
"485",6083.19289825678
"486",5880.56638373084
