"","x"
"1",4062.84567521282
"2",4305.12988174705
"3",3693.35628520314
"4",3834.81373207822
"5",4652.82927305261
"6",5965.35459192226
"7",5268.67139158065
"8",4729.1680447683
"9",6297.4737325876
"10",5910.68740250967
"11",4039.84963794631
"12",5843.53119772239
"13",4206.22259108872
"14",6322.56627462669
"15",5291.20942003813
"16",4316.39178160415
"17",4430.84012214365
"18",5245.73960237257
"19",4253.84480929715
"20",5155.89533334525
"21",4947.58132673271
"22",4934.01775139636
"23",5611.29590031572
"24",5496.97996929893
"25",4114.68669326715
"26",5418.49793062228
"27",5192.97980810715
"28",5545.55406631749
"29",4601.21595147652
"30",6073.02775074922
"31",4420.54986746689
"32",4654.51540801734
"33",6578.49700591201
"34",4629.20149540486
"35",4386.0993177686
"36",6706.36549765065
"37",4374.22952260323
"38",6469.15829024211
"39",3977.25527976243
"40",5772.67130060211
"41",6938.76885572548
"42",6103.06368481208
"43",5706.35773348335
"44",4306.65096121831
"45",6622.84924562348
"46",3658.16381390024
"47",3910.00529336792
"48",4909.11528325727
"49",4545.93032597667
"50",3843.99679552889
"51",4262.21172729675
"52",4660.01852386123
"53",5206.21306961349
"54",3884.15462661252
"55",4169.36036019309
"56",4441.35294844739
"57",3515.41394200018
"58",4858.28879955483
"59",4539.96208619382
"60",5708.3724403981
"61",4707.13808042246
"62",6788.6533424197
"63",3553.61809557326
"64",4469.68396615836
"65",5017.42635787335
"66",5373.01982296261
"67",5630.54411626015
"68",4772.23277754378
"69",6107.48477853138
"70",5716.34286563101
"71",4097.30632888269
"72",5243.65499555762
"73",5317.75715023245
"74",5325.01892171545
"75",4581.81461143485
"76",5848.61882494055
"77",5453.72663782264
"78",4965.14123759826
"79",5766.30454138096
"80",4180.24705038422
"81",5842.24448661315
"82",5869.78834629745
"83",6339.68680179452
"84",5223.33483239213
"85",4710.11029492336
"86",4253.74648941142
"87",4343.30922484459
"88",4226.5277930923
"89",5797.92465971209
"90",4433.35190981193
"91",5029.55635081346
"92",6713.39768780863
"93",5056.09761967627
"94",5293.57824236649
"95",5971.01155632439
"96",3944.34654067787
"97",4328.56836556355
"98",6189.32238094625
"99",4590.84539514637
"100",6144.27332377483
"101",5180.29557667826
"102",4197.19283600088
"103",6499.8911019357
"104",5452.55612938808
"105",5658.63862041972
"106",3713.88424116269
"107",4423.56215131475
"108",3859.43191743919
"109",3809.8746738408
"110",6042.06405764655
"111",4387.93484549727
"112",6141.34332370997
"113",4824.87898746227
"114",6345.57921941165
"115",4744.84930105717
"116",5642.40083296384
"117",6066.43771483533
"118",4043.49836923463
"119",4526.17442598088
"120",5051.62510435661
"121",4423.10818413942
"122",5338.16246941651
"123",3689.18354597633
"124",7511.2056626233
"125",4889.36024945824
"126",4169.17909254106
"127",4728.21091699569
"128",3715.41180497021
"129",4647.81593475448
"130",5089.41108143317
"131",6180.66706574966
"132",5176.76877147208
"133",4050.29998078173
"134",3577.20884210205
"135",5869.45041551771
"136",3585.78091780874
"137",4917.01937630557
"138",5032.61998385537
"139",4866.27076569008
"140",6269.89574849933
"141",4968.66206947134
"142",5502.0629248402
"143",5064.37536351812
"144",5341.78292420047
"145",6226.42250318645
"146",5592.69339809309
"147",3887.43123306267
"148",4654.64286454075
"149",5364.87189840454
"150",3534.36514118271
"151",4665.48095022503
"152",5175.66624443557
"153",3593.2496889956
"154",4111.6830426349
"155",4057.68013801715
"156",4041.3245152097
"157",4613.49323622856
"158",3881.42195769249
"159",5795.75209471999
"160",3583.61635395708
"161",4150.29806861747
"162",4174.37118021986
"163",5659.42573589263
"164",5278.17275534846
"165",3560.56947942722
"166",4925.20692693292
"167",4278.14258790174
"168",4320.82634517847
"169",5925.49662685473
"170",4735.77780308638
"171",6701.08733302786
"172",5222.92084596321
"173",4517.2081777358
"174",4734.96311152607
"175",4938.65590915294
"176",4327.12939478563
"177",4753.89665591655
"178",4050.91723945424
"179",4572.88449913459
"180",4996.01463494457
"181",4404.33473187244
"182",5446.15186526983
"183",4264.52050764329
"184",5100.32911067959
"185",3640.76256670379
"186",5223.93313433879
"187",4664.34815216635
"188",7079.78976755666
"189",3978.48265420734
"190",5673.12680505383
"191",5109.4986839466
"192",3441.17842328271
"193",4776.81514582102
"194",6163.00273285804
"195",5276.48584678647
"196",5329.14535380564
"197",4871.83086652779
"198",4610.75830886572
"199",4886.06430090555
"200",6450.99514343203
"201",3834.87194492503
"202",5224.3226920046
"203",5548.22754225893
"204",5105.76616192665
"205",4496.89047050851
"206",4758.79132034279
"207",6008.7477530036
"208",3900.28412997998
"209",5296.61154509915
"210",4571.65632229667
"211",4756.42178358264
"212",4395.14506594109
"213",4942.1307096663
"214",4348.50548544374
"215",4022.38095649747
"216",4605.29927048758
"217",4178.14435909378
"218",5296.18627692643
"219",3906.30883051878
"220",4813.31734269121
"221",4372.60628046949
"222",4480.70363939657
"223",4098.25345768622
"224",6135.18341965553
"225",4029.68847930599
"226",4101.1678976368
"227",6075.11660071201
"228",4318.4443813234
"229",3872.33986150731
"230",6487.88829215713
"231",4903.56644235695
"232",4647.9070337815
"233",5702.16534251812
"234",5247.07061774964
"235",4656.04169841671
"236",4026.45232277143
"237",4107.850035443
"238",4984.67506849694
"239",5849.332456142
"240",4643.63407837475
"241",5534.22288086389
"242",5320.22033291375
"243",4606.63634871064
"244",5929.26607367358
"245",5939.26970012521
"246",5126.30543364489
"247",4902.59664941726
"248",5288.2119771756
"249",6321.36065486518
"250",3800.74738219625
"251",5303.36242890084
"252",4624.99273521575
"253",5144.10574149549
"254",5837.33700338365
"255",4845.89632443242
"256",4865.99515438046
"257",5679.97508369512
"258",3959.98864365811
"259",4336.10732489236
"260",5074.97742677596
"261",6473.41735152255
"262",4568.58000367329
"263",4097.8487154585
"264",5713.58521355454
"265",4387.63130792785
"266",4572.44386804844
"267",4493.64039675864
"268",6346.23177002017
"269",5091.13146960703
"270",4434.32251762418
"271",5104.14664156161
"272",4309.7479326127
"273",4337.93871849148
"274",4486.52828214141
"275",3276.14397162932
"276",5145.41476669309
"277",4736.07946092073
"278",5410.25905318072
"279",5079.62638723371
"280",4257.36075660388
"281",4804.46648452068
"282",7173.88407861414
"283",5111.50999192384
"284",5480.29727751437
"285",5835.33272101115
"286",5547.13526419862
"287",5624.31662707491
"288",4650.75057093774
"289",5780.47955675883
"290",3670.89557809113
"291",4265.45109002171
"292",5720.19393667769
"293",5711.59021550171
"294",5974.88358055436
"295",4418.92562807323
"296",6408.37478366028
"297",6985.01433089291
"298",6530.01797157432
"299",5533.07603371136
"300",4746.28511252193
"301",4581.37746211063
"302",5225.08091305612
"303",5548.32595398547
"304",4383.66371474986
"305",4787.99291800394
"306",4333.71151633481
"307",5145.97780213906
"308",5443.62193276594
"309",5351.76127375293
"310",5595.76448271469
"311",5402.35704805452
"312",4199.86561128566
"313",5814.81656400305
"314",4732.43572261859
"315",4594.41897390619
"316",4786.27249594408
"317",4506.85381492475
"318",4673.40551053826
"319",6651.82589502003
"320",5653.82870283331
"321",4312.90195026903
"322",4973.36259834746
"323",6393.47042140848
"324",4648.98335705383
"325",5032.49674059881
"326",4067.77565048233
"327",4840.41385826916
"328",4541.02578830176
"329",4630.57731814319
"330",5375.85861499028
"331",5075.02687119178
"332",5653.73547186246
"333",3387.68977866374
"334",5088.49446675887
"335",4681.73960291157
"336",4424.44607940673
"337",6513.4283033562
"338",5624.15798477728
"339",5656.4346953818
"340",5622.34992011411
"341",5256.39149700046
"342",4672.18286077438
"343",3874.90871074706
"344",6948.10005591611
"345",5706.99248697705
"346",6176.84969560497
"347",6015.64587482999
"348",5573.24822162523
"349",5761.33301187763
"350",5842.19893315319
"351",4178.37822860182
"352",5700.17194462639
"353",3430.5216848577
"354",4131.80881083228
"355",4168.47687893252
"356",4677.94113423391
"357",5792.44676027505
"358",5878.90763698801
"359",4092.601179298
"360",4758.52401963155
"361",4816.41506902084
"362",4863.02997680796
"363",4447.73560200871
"364",4243.13021178243
"365",5471.38902109951
"366",4290.87748934595
"367",3477.17113902097
"368",4623.43412676459
"369",4516.89398265896
"370",5072.50163017619
"371",3641.82770873417
"372",4850.29962014167
"373",5456.72755870741
"374",5516.04683757829
"375",4699.36069340757
"376",5634.52663680985
"377",3832.68669167357
"378",4420.77617029731
"379",4736.42295687065
"380",5353.84300509623
"381",4683.26556783632
"382",3188.84951782024
"383",6395.55310581879
"384",4461.68649764689
"385",4906.5831203143
"386",5060.2600052623
"387",4265.53343743214
"388",4900.99077406447
"389",3590.9337179348
"390",4882.65983108936
"391",4390.37248383448
"392",6343.14412680669
"393",4224.32003300576
"394",4470.97649626874
"395",5203.39173748885
"396",5415.47634122785
"397",5175.173220711
"398",4588.13215308042
"399",6787.64507943282
"400",5903.96084248566
"401",5098.91518819792
"402",6302.57387607665
"403",5646.96861607875
"404",7776.84052680272
"405",5601.83986940012
"406",4876.3991717588
"407",4928.17521447815
"408",5096.5045949082
"409",5812.50612050467
"410",4748.312371771
"411",4084.6797863778
"412",3366.15031512107
"413",5731.5334224985
"414",4951.75184850498
"415",4030.64492908301
"416",4541.96653386436
"417",5448.78746940459
"418",5339.4657218652
"419",5422.64419902048
"420",4227.82770959171
"421",4504.10651125299
"422",5254.2527517276
"423",5297.86688097652
"424",4894.58394856448
"425",4258.87511789177
"426",5648.04148253624
"427",3986.85997953685
"428",4204.07559795746
"429",4837.69899952115
"430",5082.01704794121
"431",6601.76396428058
"432",3455.31256426421
"433",4849.96287764927
"434",4494.70601773957
"435",7112.95303022084
"436",5007.69522386438
"437",4037.54982453855
"438",3978.56941190795
"439",5723.4396212734
"440",3789.72418460356
"441",4657.87158825818
"442",6642.48508990779
"443",4328.79490674116
"444",4648.26079707158
"445",5259.75043968985
"446",4977.05662547875
"447",5585.58197445648
"448",5558.31500985669
"449",5285.06274346464
"450",3345.31280278217
"451",4872.55196786707
"452",4319.59015039962
"453",4746.0501965844
"454",5053.58118153344
"455",4031.19665939302
"456",6415.65598382487
"457",4925.58675882954
"458",5885.99023732477
"459",6152.96019593859
"460",5354.30348928431
"461",5897.33621287545
"462",3610.74266970054
"463",6227.6697441791
"464",7067.05545660135
"465",5016.51441315158
"466",4992.44965274322
"467",4864.45707417736
"468",5507.52914703523
"469",6207.93002914075
"470",4957.35954412552
"471",5084.27693034549
"472",5182.70283511425
"473",5634.31155589497
"474",6664.96728276671
"475",3779.77477194603
"476",6292.85605534701
"477",5440.01095932364
"478",4855.1226589154
"479",3681.78435528427
"480",4740.08161764247
"481",5179.01699080319
"482",5921.39427531527
"483",4734.90085000909
"484",5723.2897673849
"485",5424.21747338436
"486",4296.61539928426
"487",6012.22713374269
"488",4600.80546260532
"489",5374.37814569731
"490",4521.74195692826
"491",5227.6128990672
"492",5573.82506766091
"493",4725.44686782221
"494",4740.84183673396
"495",4941.15577729235
"496",5516.42431447611
"497",4531.74071863409
"498",4939.38239723449
"499",4889.80817412582
"500",4920.55863545708
"501",5453.63501021776
"502",4056.88314587583
