CatalogID FB AgeCap Marked
1 13018 Y30 2.5 0
2 13003 Y15 3.75 0
3 13007 Y23 4 0
4 13016 Y28 4.5 0
5 13002 Y17 5 0
6 13020 Y61 5.5 0
7 13025 Y58 5.5 0
8 13004 Y19 6 0
9 13000 Y03 6.5 0
10 13019 Y34 3.25 1
11 13029 YJ5 3.5 1
12 13001 Y06 4 1
13 2467 Y46 4.5 1
14 2534 Y70 4.5 1
15 6123 Y07 5 1
16 2057 Y14 5.75 1
17 6724 Y77 6.25 1
18 2373 Y53 6.5 1
19 6076 Y69 6.5 1
20 7040 Y47 7.5 1
21 13014 Y44 7.5 1
22 2006 Y00 8 1
23 6402 Y38 8.5 1
24 6707 YN9 9 1
25 7032 Y73 11 1
26 2433 Y45 12 1
27 6135 Y22 12 1
28 6715 Y84 12 1
29 6331 Y67 13 1
30 6016 Y08 13 1
31 8037 Y32 13 1
32 6111 Y48 14 1
33 7270 Y80 14 1
34 6210 Y05 16 1
35 3025 Y21 16 1
36 13006 Y12 16 1
37 7099 Y13 17 1
38 7228 Y02 17 1
39 6279 Y81 19 1
40 3060 Y56 19 1
41 6247 Y11 19.5 1
42 6272 Y71 20 1
43 6739 Y52 20 1
44 8000 YV5 21 1
45 7164 Y04 21 1
46 7173 Y16 21 1
47 6046 Y20 21 1
48 7175 Y09 22 1
49 7074 Y95 22 1
50 8035 Y24 22 1
51 7153 Y54 27 1
52 7407 YA4 27 1
53 2088 Y89 30 1
54 2045 Y01 42 1
