Sp	NL	N	NU	Ncv	NeL	Ne	NeU	Necv	PeL	Pe	PeU	Pecv
Bwsp	2235.86639709755	3097.60674119508	4322.61899564936	23.15208129737	286.149733110175	424.483713551886	604.109212034253	19.059849592583	0.0925589299854593	0.139735783944494	0.19115835197169	18.5453650785959
Fatt	1137.03168141354	2152.44341625275	3762.18159203374	31.0529934500118	169.643394839246	310.103113242491	519.93012264762	28.5896703116714	0.127893828280748	0.145225417419287	0.161457444303403	5.8845691035879
Gmac	1378.40802757292	2065.04230840503	2909.97729135516	18.7138726489997	146.11641913665	244.935086452581	373.906082557692	24.2187520127157	0.0772727912717562	0.119501176839232	0.165349365306305	19.2652802254926
Ggri	2488.75611678455	3062.84928361693	3758.57828280054	10.5887506603921	486.185906974543	597.893241577321	730.225460961564	10.7671004960208	0.153579794113493	0.196554595100077	0.247818822487809	11.8887471414024
Kosp	1649.50459174081	2322.07609633674	3288.12962728976	18.0806450192889	311.672737071779	458.047811313304	687.211644699745	20.32658767438	0.166399038776029	0.197386683896934	0.239659157633246	9.66315238363657
Pele	3482.72015571144	5784.26091142205	9073.52610940058	25.5239855061672	531.127931394113	879.236201538112	1363.01966236567	24.846204807634	0.137787287949727	0.152386992853249	0.166316196285342	4.76143368090375
Pmac	2116.66188077379	2560.8926475148	3093.63379494046	9.51012795655169	395.685675989613	489.34870165353	595.345328668738	10.3108850699223	0.168483106757139	0.191331726080553	0.215703497442267	6.43235930312825
Satt	72953.8710820745	81232.9117027217	90463.9106677791	5.54293591596305	10874.984968078	12589.4047166838	14353.3108754247	6.88314887984447	0.142346833088533	0.154987033998051	0.167891745683791	4.21485360412963
Sbre	3271.25673152524	4867.43623689811	6804.27372309044	18.975910873022	490.993721966561	720.473874040054	1005.30603660339	18.495893491146	0.14004335217292	0.148182575754507	0.152397373910435	2.16478686686857
Scly	6873.25352039334	9064.55710643457	11825.6421424824	14.1256552310117	474.042970613789	737.089083074497	1086.50345789824	20.3945193550839	0.0542743772264154	0.0818645506508286	0.113255099798253	18.6028079660147
Scoe	3579.08846994881	5010.8918807621	6751.26032517705	16.483344857269	906.669473807724	1218.50221740231	1588.25950444702	14.5634585238167	0.173930206355629	0.247038177806862	0.322925968271658	15.9926110431086
Sfro	37527.3669438899	48688.2318509649	62825.2123845369	13.6600840185437	2149.56084429524	2762.77192295158	3501.45068353422	11.9893717535944	0.0409589498602072	0.0576345558712671	0.0784788619905528	16.4462344910753
Slon	9589.07495588813	16501.342593186	27476.7643561437	27.8769913301195	3410.50401376187	6090.1912634954	10429.9312700196	29.7664541323883	0.216949127829412	0.377009059097514	0.555400243119566	22.5346500370854
Ttro	13705.2241107163	15791.1428010389	18444.7199468598	7.5543302521793	2867.3697472966	3232.26602213522	3633.37287162149	6.14206707679853	0.173418631829339	0.205516252576419	0.238726739217028	7.83722540054483
Ttrs	56992.4454385696	64897.2588361368	73803.9204057262	6.63714550531703	9942.52958582575	11465.6347963939	13194.7823200539	7.20854532113498	0.158876877874383	0.176864464434738	0.194901428944054	5.41225309499226
