"Sp" "LCYmed" "LCYl" "LCYu" "MPDmed" "MPDl" "MPDu" "YTRmed" "YTRl" "YTRu"
"1" "Bwsp" 1207.18484718148 444.666307406064 2899.2223020627 3.6827834100672 1.38577378059707 6.95050330932221 0 0 11
"2" "Fatt" 1121.78607826524 437.074063471297 2808.5685010657 4.1861863555927 1.93896933477847 6.64151694940007 0 0 13
"3" "Ggri" 2264.12812145566 978.370917745584 5048.63458475154 5.62331135700021 2.56899709892189 9.49405062316662 8 0 18
"4" "Gmac" 963.644194979295 384.599636479331 2291.23262854175 3.43543725897528 1.48561095782239 6.2162469806439 0 0 12
"5" "Kosp" 1294.39666958977 519.14358635784 3112.10160002087 5.1143118012977 2.31460031440816 8.49200229461315 5 0 14
"6" "Pele" 2761.09198245133 1081.36837032897 6767.15573143576 4.14049118082125 1.92461988921317 6.60112954525233 0 0 12
"7" "Pmac" 2356.11733431847 996.411839051049 5239.74169149185 6.34353843482492 2.67171718380383 10.1886085550278 11 0 21
"8" "Satt" 31372.4466699635 12883.708202579 67606.337470935 3.43336081386606 1.56347047052865 5.61542354989854 0 0 9
"9" "Sbre" 2232.03015074357 901.489000197663 5207.08005022731 3.99489865727261 1.83607350246138 6.34886903994841 0 0 11
"10" "Scly" 1726.22473867181 664.450255191201 4067.32319479022 1.73441293114229 0.746537530002723 3.26094566921438 0 0 0
"11" "Scoe" 3387.2480428801 1368.62772695313 7897.34849738588 5.67263580999707 2.47872913007887 10.4257121968872 8 0 17
"12" "Sfro" 6960.80509427104 2721.60519868131 15509.1405681212 1.26439357412884 0.541776673941122 2.27990146068032 0 0 0
"13" "Slon" 15255.3782143926 5302.33906079184 44902.8916046499 8.36293075248018 3.27673313250515 17.7162834590987 12 0 21
"14" "Ttro" 10537.1117287454 4597.29129055931 23219.6318285368 5.60985687703052 2.54552080775485 9.12511068154699 8 0 16
"15" "Ttrs" 32584.3110038686 13376.5884849964 71967.3245239542 4.15228144845868 1.85856166933977 6.75778781510199 0 0 13
