"Sp" "No" "peo" "LCYo" "MPDo" "YTRo" "Nstart" "Nexp" "Pexp" "LCY" "MPD" "YTR" "LCYmed" "MPDmed" "YTRmed"
"1" "Bwsp" 1167 0.119 7838 -0.06 10 3098 424.483713551886 0.14 1320.89931873732 -0.0381663184010848 1.5922 1207.18484718148 3.6827834100672 0
"2" "Fatt" 1696 0.15 2501 -0.07 29 2152 310.103113242491 0.145 1249.5036211739 -0.0419447149629186 2.3082 1121.78607826524 4.1861863555927 0
"3" "Ggri" 1848 0.076 6258 -0.03 NA 3063 597.893241577321 0.197 2449.13697489843 -0.0573518631770244 7.2909 2264.12812145566 5.62331135700021 8
"4" "Gmac" 1641 0.057 5304 -0.03 NA 2065 244.935086452581 0.12 1057.86391165587 -0.0353804448949431 1.1564 963.644194979295 3.43543725897528 0
"5" "Kosp" 6690 0.151 49100 -0.06 11 2322 458.047811313304 0.197 1429.41850605848 -0.0518511939108804 4.8989 1294.39666958977 5.1143118012977 5
"6" "Pele" 1696 0.15 14887 -0.07 29 5784 879.236201538112 0.152 3071.52388209304 -0.0416825596012671 2.1379 2761.09198245133 4.14049118082125 0
"7" "Pmac" 1616 0.161 13197 -0.07 21 2561 489.34870165353 0.191 2549.13921525734 -0.0637510230415462 9.7255 2356.11733431847 6.34353843482492 11
"8" "Satt" 33382 0.196 363780 -0.09 39 81233 12589.4047166838 0.155 33809.6323168635 -0.0347452213273085 0.6357 31372.4466699635 3.43336081386606 0
"9" "Sbre" 2414 0.409 50464 -0.17 54 4867 720.473874040054 0.148 2434.41751311231 -0.0400692624753397 1.6409 2232.03015074357 3.99489865727261 0
"10" "Scly" 3228 0.071 12167 -0.03 NA 9065 737.089083074497 0.082 1901.52570761346 -0.0180129234923402 0 1726.22473867181 1.73441293114229 0
"11" "Scoe" 2602 0.132 18647 -0.06 14 5011 1218.50221740231 0.247 3715.20747611135 -0.0588319065454366 7.1081 3387.2480428801 5.67263580999707 8
"12" "Sfro" NA 0.125 NA NA NA 48688 2762.77192295158 0.058 7509.27013943846 -0.0129686878428212 0 6960.80509427104 1.26439357412884 0
"13" "Slon" 6621 0.465 188713 -0.23 105 16501 6090.1912634954 0.377 17714.7677450363 -0.0889982867578566 11.1967 15255.3782143926 8.36293075248018 12
"14" "Ttro" 8467 0.099 37668 -0.04 NA 15791 3232.26602213522 0.206 11369.5643972352 -0.0565828203884985 6.5869 10537.1117287454 5.60985687703052 8
"15" "Ttrs" 63361 0.125 359996 -0.03 NA 64897 11465.6347963939 0.177 35190.4775237776 -0.0419183613759942 2.4359 32584.3110038686 4.15228144845868 0
